gene,functional_group,annotation_source,annotation_rule
NDUFB7,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFS6,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFS8,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFA3,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFV1,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFB2,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFA2,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFA8,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFS3,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFB6,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFAB1,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFA1,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFA9,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFB8,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFS4,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFS7,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFA7,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFB3,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFB4,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
NDUFS2,Respiratory complex I,Project descriptive assignment; not an ontology or enrichment result,Symbol starts NDUF
SDHB,Respiratory complex II,Project descriptive assignment; not an ontology or enrichment result,"Symbol is SDHA, SDHB, SDHC or SDHD; assigned here before TCA group"
SDHC,Respiratory complex II,Project descriptive assignment; not an ontology or enrichment result,"Symbol is SDHA, SDHB, SDHC or SDHD; assigned here before TCA group"
