sample_id,cell_line,batch,technical_replicate_label,technical_replicate_status,treatment,condition_text,harvest_day,harvest_day_confidence,control_relationship,control_relationship_confidence,block_interpretation_confidence,evidence,metadata_identity_confidence
ctrl1-1,69_2,1,Ctrl_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_1,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
ctrl2-1,69_2,1,Ctrl_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_2,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
ctrl3-1,69_2,1,Ctrl_3,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_3,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt31-1,69_2,1,3D_10µM_Psi_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt32-1,69_2,1,3D_10µM_Psi_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_2,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt33-1,69_2,1,3D_10µM_Psi_10min_3,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_3,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt41-1,69_2,1,3D_10µM_Psi_75µM_Ket_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt4,3D_10µM_Psi_75µM_Ket_10min_1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt42-1,69_2,1,3D_10µM_Psi_75µM_Ket_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt4,3D_10µM_Psi_75µM_Ket_10min_2,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt43-1,69_2,1,3D_10µM_Psi_75µM_Ket_10min_3,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt4,3D_10µM_Psi_75µM_Ket_10min_3,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt511-4,69_2,1,1D_10µM_Psi_10min_1_T1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt5,1D_10µM_Psi_10min_1_T1,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt512-4,69_2,1,1D_10µM_Psi_10min_1_T2 ,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt5,1D_10µM_Psi_10min_1_T2 ,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt52-1,69_2,1,1D_10µM_Psi_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt5,1D_10µM_Psi_10min_2,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt61-1,69_2,1,1D_10µM_Psi_75µM_Ket_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt6,1D_10µM_Psi_75µM_Ket_10min_1,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt62-1,69_2,1,1D_10µM_Psi_75µM_Ket_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt6,1D_10µM_Psi_75µM_Ket_10min_2,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt71-1,69_2,1,Ctrl_4h_PLG_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt7,Ctrl_4h_PLG_1,,unresolved,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt72-1,69_2,1,Ctrl_4h_PLG_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt7,Ctrl_4h_PLG_2,,unresolved,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt81-1,69_2,1,3D_10µM_Psi_4h_PLG_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt8,3D_10µM_Psi_4h_PLG_1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt82-1,69_2,1,3D_10µM_Psi_4h_PLG_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt8,3D_10µM_Psi_4h_PLG_2,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
ctrl1-2,68_3,1,Ctrl_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_1,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
ctrl2-2,68_3,1,Ctrl_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_2,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
ctrl3-2,68_3,1,Ctrl_3,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_3,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt31-2,68_3,1,3D_10µM_Psi_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt32-2,68_3,1,3D_10µM_Psi_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_2,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt33-2,68_3,1,3D_10µM_Psi_10min_3,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_3,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt41-2,68_3,1,3D_10µM_Psi_75µM_Ket_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt4,3D_10µM_Psi_75µM_Ket_10min_1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt42-2,68_3,1,3D_10µM_Psi_75µM_Ket_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt4,3D_10µM_Psi_75µM_Ket_10min_2,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt43-2,68_3,1,3D_10µM_Psi_75µM_Ket_10min_3,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt4,3D_10µM_Psi_75µM_Ket_10min_3,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt511-2,68_3,1,1D_10µM_Psi_10min_1_T1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt5,1D_10µM_Psi_10min_1_T1,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt512-2,68_3,1,1D_10µM_Psi_10min_1_T2 ,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt5,1D_10µM_Psi_10min_1_T2 ,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt52-2,68_3,1,1D_10µM_Psi_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt5,1D_10µM_Psi_10min_2,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt62-2,68_3,1,1D_10µM_Psi_75µM_Ket_10min_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt6,1D_10µM_Psi_75µM_Ket_10min_2,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt63-2,68_3,1,1D_10µM_Psi_75µM_Ket_10min_3,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt6,1D_10µM_Psi_75µM_Ket_10min_3,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
ctrl11-3,68_3,2,Ctrl_1_T1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_1_T1,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
ctrl12-3,68_3,2,Ctrl_1_T2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Ctrl,Ctrl_1_T2,,unresolved,pooled common Ctrl factor; no per-day allocation,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt311-3,68_3,2,3D_10µM_Psi_10min_1_T1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_1_T1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt312-3,68_3,2,3D_10µM_Psi_10min_1_T2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt3,3D_10µM_Psi_10min_1_T2,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt41-3,68_3,2,3D_10µM_Psi_75µM_Ket_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt4,3D_10µM_Psi_75µM_Ket_10min_1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt51-3,68_3,2,1D_10µM_Psi_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt5,1D_10µM_Psi_10min_1,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt61-3,68_3,2,1D_10µM Psi_75µM_Ket_10min_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt6,1D_10µM Psi_75µM_Ket_10min_1,1.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt71-3,68_3,2,Ctrl_4h_PLG_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt7,Ctrl_4h_PLG_1,,unresolved,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt72-3,68_3,2,Ctrl_4h_PLG_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt7,Ctrl_4h_PLG_2,,unresolved,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt81-3,68_3,2,3D_10µM_Psi_4h_PLG_1,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt8,3D_10µM_Psi_4h_PLG_1,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
trt82-3,68_3,2,3D_10µM_Psi_4h_PLG_2,unresolved well/RNA/run identity; source technical samples nested in differentiation,Trt8,3D_10µM_Psi_4h_PLG_2,3.0,confirmed,compared with common Ctrl factor in source code,confirmed as coded; biological day matching unresolved,strongly inferred,Excel + cached RDS colData + all three unchanged Rmd scripts; MDAR and Dryad batch definition,confirmed
