ODCF_name,ID,ASID,Name,sample_name,RIN,Cell_line,Condition,Culture,Batch,QC_comment,timepoint_d,Age generation of fibroblasts ,Sex,Psi_conc_uM,Psi_trt_time_min,Ket_conc_uM,Ket_trt_time_min,PLG_conc_uM,PLG_trt_time_min,Condition_simple,Treatment_simple,block,condition,post_exposure_day,analysis_unit,biological_unit_status,control_time_status
ctrl1-1,,,Ctrl 1,OE0533_MS_692_1_C1,7.0,69_2,Ctrl_1,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,69_2__batch1,control,,69_2__batch1__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
ctrl1-2,,,Ctrl 1,OE0533_MS_683_1_C1,8.1,68_3,Ctrl_1,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,68_3__batch1,control,,68_3__batch1__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
ctrl11-3,,,Ctrl 1 T1,OE0533_MS_683_2_C11,8.9,68_3,Ctrl_1_T1,2D,2,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,68_3__batch2,control,,68_3__batch2__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
ctrl12-3,,,Ctrl 1 T2,OE0533_MS_683_2_C12,8.0,68_3,Ctrl_1_T2,2D,2,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,68_3__batch2,control,,68_3__batch2__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
ctrl2-1,,,Ctrl 2,OE0533_MS_692_1_C2,7.1,69_2,Ctrl_2,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,69_2__batch1,control,,69_2__batch1__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
ctrl2-2,,,Ctrl 2,OE0533_MS_683_1_C2,6.9,68_3,Ctrl_2,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,68_3__batch1,control,,68_3__batch1__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
ctrl3-1,,,Ctrl 3,OE0533_MS_692_1_C3,8.7,69_2,Ctrl_3,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,69_2__batch1,control,,69_2__batch1__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
ctrl3-2,,,Ctrl 3,OE0533_MS_683_1_C3,9.6,68_3,Ctrl_3,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl,68_3__batch1,control,,68_3__batch1__control,conservative line-by-batch grouping; MDAR definition applied to Batch,not assigned per RNA library
trt31-1,,,3D 10µM Psi 10min 1,OE0533_MS_692_1_T31,8.7,69_2,3D_10µM_Psi_10min_1,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi,69_2__batch1,psilocin_day3,3,69_2__batch1__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt31-2,,,3D 10µM Psi 10min 1,OE0533_MS_683_1_T31,6.6,68_3,3D_10µM_Psi_10min_1,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi,68_3__batch1,psilocin_day3,3,68_3__batch1__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt311-3,,,3D 10µM Psi 10min 1 T1,OE0533_MS_683_2_T311,9.2,68_3,3D_10µM_Psi_10min_1_T1,2D,2,,,,Female,10,10,0,0,0,0,Trt3,psi,68_3__batch2,psilocin_day3,3,68_3__batch2__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt312-3,,,3D 10µM Psi 10min 1 T2,OE0533_MS_683_2_T312,9.2,68_3,3D_10µM_Psi_10min_1_T2,2D,2,,,,Female,10,10,0,0,0,0,Trt3,psi,68_3__batch2,psilocin_day3,3,68_3__batch2__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt32-1,,,3D 10µM Psi 10min 2,OE0533_MS_692_1_T32,8.2,69_2,3D_10µM_Psi_10min_2,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi,69_2__batch1,psilocin_day3,3,69_2__batch1__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt32-2,,,3D 10µM Psi 10min 2,OE0533_MS_683_1_T32,9.4,68_3,3D_10µM_Psi_10min_2,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi,68_3__batch1,psilocin_day3,3,68_3__batch1__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt33-1,,,3D 10µM Psi 10min 3,OE0533_MS_692_1_T33,7.7,69_2,3D_10µM_Psi_10min_3,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi,69_2__batch1,psilocin_day3,3,69_2__batch1__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt33-2,,,3D 10µM Psi 10min 3,OE0533_MS_683_1_T33,9.3,68_3,3D_10µM_Psi_10min_3,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi,68_3__batch1,psilocin_day3,3,68_3__batch1__psilocin_day3,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt51-3,,,1D 10µM Psi 10min 1,OE0533_MS_683_2_T51,8.9,68_3,1D_10µM_Psi_10min_1,2D,2,,,,Female,10,10,0,0,0,0,Trt5,psi,68_3__batch2,psilocin_day1,1,68_3__batch2__psilocin_day1,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt511-2,,,1D 10µM Psi 10min 1 T1,OE0533_MS_683_1_T511,7.4,68_3,1D_10µM_Psi_10min_1_T1,2D,1,,,,Female,10,10,0,0,0,0,Trt5,psi,68_3__batch1,psilocin_day1,1,68_3__batch1__psilocin_day1,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt511-4,,,1D 10µM Psi 10min 1 T1,OE0533_MS_692_1_T511,5.2,69_2,1D_10µM_Psi_10min_1_T1,2D,1,"Sample was sent in on a separate plate again (first QC failed), seq was connected to former submission ",,,Female,10,10,0,0,0,0,Trt5,psi,69_2__batch1,psilocin_day1,1,69_2__batch1__psilocin_day1,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt512-2,,,1D 10µM Psi 10min 1 T2 ,OE0533_MS_683_1_T512,7.7,68_3,1D_10µM_Psi_10min_1_T2 ,2D,1,,,,Female,10,10,0,0,0,0,Trt5,psi,68_3__batch1,psilocin_day1,1,68_3__batch1__psilocin_day1,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt512-4,,,1D 10µM Psi 10min 1 T2 ,OE0533_MS_692_1_T512,5.0,69_2,1D_10µM_Psi_10min_1_T2 ,2D,1,"Sample was sent in on a separate plate again (first QC failed), seq was connected to former submission ",,,Female,10,10,0,0,0,0,Trt5,psi,69_2__batch1,psilocin_day1,1,69_2__batch1__psilocin_day1,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt52-1,,,1D 10µM Psi 10min 2,OE0533_MS_692_1_T52,6.7,69_2,1D_10µM_Psi_10min_2,2D,1,,,,Female,10,10,0,0,0,0,Trt5,psi,69_2__batch1,psilocin_day1,1,69_2__batch1__psilocin_day1,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
trt52-2,,,1D 10µM Psi 10min 2,OE0533_MS_683_1_T52,9.1,68_3,1D_10µM_Psi_10min_2,2D,1,,,,Female,10,10,0,0,0,0,Trt5,psi,68_3__batch1,psilocin_day1,1,68_3__batch1__psilocin_day1,conservative line-by-batch grouping; MDAR definition applied to Batch,source condition label + published contrast
