sample_id,genes_n,library_count_sum,zero_genes_n,count_column,integer_nonnegative
ctrl1-1,57820,16671303,28355,num_reads,True
ctrl1-2,57820,15070107,29452,num_reads,True
ctrl11-3,57820,13003129,29597,num_reads,True
ctrl12-3,57820,12692783,29905,num_reads,True
ctrl2-1,57820,12210559,30294,num_reads,True
ctrl2-2,57820,12141133,31281,num_reads,True
ctrl3-1,57820,12815549,30180,num_reads,True
ctrl3-2,57820,19312806,28352,num_reads,True
trt31-1,57820,14805036,29210,num_reads,True
trt31-2,57820,12330896,31546,num_reads,True
trt311-3,57820,13147711,30459,num_reads,True
trt312-3,57820,14414213,30618,num_reads,True
trt32-1,57820,13871175,29793,num_reads,True
trt32-2,57820,17069931,30937,num_reads,True
trt33-1,57820,17373094,28628,num_reads,True
trt33-2,57820,12364878,30826,num_reads,True
trt41-1,57820,17391528,28448,num_reads,True
trt41-2,57820,14393662,28992,num_reads,True
trt41-3,57820,14516521,30157,num_reads,True
trt42-1,57820,13305105,29981,num_reads,True
trt42-2,57820,9590230,30907,num_reads,True
trt43-1,57820,13076102,29869,num_reads,True
trt43-2,57820,14341244,30144,num_reads,True
trt51-3,57820,15808738,28333,num_reads,True
trt511-2,57820,13279948,29481,num_reads,True
trt511-4,57820,12613562,30824,num_reads,True
trt512-2,57820,10851235,30325,num_reads,True
trt512-4,57820,10928486,31433,num_reads,True
trt52-1,57820,15037254,28590,num_reads,True
trt52-2,57820,12410063,31857,num_reads,True
trt61-1,57820,15328846,29455,num_reads,True
trt61-3,57820,15017796,29809,num_reads,True
trt62-1,57820,14193369,29281,num_reads,True
trt62-2,57820,15383152,29288,num_reads,True
trt63-2,57820,17379070,28323,num_reads,True
trt71-1,57820,11725298,28134,num_reads,True
trt71-3,57820,17362540,29125,num_reads,True
trt72-1,57820,14961326,28561,num_reads,True
trt72-3,57820,11063664,31087,num_reads,True
trt81-1,57820,13527962,31232,num_reads,True
trt81-3,57820,11863227,32056,num_reads,True
trt82-1,57820,12550616,31429,num_reads,True
trt82-3,57820,16592355,30704,num_reads,True
