ODCF_name,ID,ASID,Name,sample_name,RIN,Cell_line,Condition,Culture,Batch,QC_comment,timepoint_d,Age generation of fibroblasts ,Sex,Psi_conc_uM,Psi_trt_time_min,Ket_conc_uM,Ket_trt_time_min,PLG_conc_uM,PLG_trt_time_min,Condition_simple,Treatment_simple
ctrl1-1,,,Ctrl 1,OE0533_MS_692_1_C1,7.0,69_2,Ctrl_1,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
ctrl1-2,,,Ctrl 1,OE0533_MS_683_1_C1,8.1,68_3,Ctrl_1,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
ctrl11-3,,,Ctrl 1 T1,OE0533_MS_683_2_C11,8.9,68_3,Ctrl_1_T1,2D,2,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
ctrl12-3,,,Ctrl 1 T2,OE0533_MS_683_2_C12,8.0,68_3,Ctrl_1_T2,2D,2,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
ctrl2-1,,,Ctrl 2,OE0533_MS_692_1_C2,7.1,69_2,Ctrl_2,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
ctrl2-2,,,Ctrl 2,OE0533_MS_683_1_C2,6.9,68_3,Ctrl_2,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
ctrl3-1,,,Ctrl 3,OE0533_MS_692_1_C3,8.7,69_2,Ctrl_3,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
ctrl3-2,,,Ctrl 3,OE0533_MS_683_1_C3,9.6,68_3,Ctrl_3,2D,1,,,,Female,0,0,0,0,0,0,Ctrl,Ctrl
trt31-1,,,3D 10µM Psi 10min 1,OE0533_MS_692_1_T31,8.7,69_2,3D_10µM_Psi_10min_1,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi
trt31-2,,,3D 10µM Psi 10min 1,OE0533_MS_683_1_T31,6.6,68_3,3D_10µM_Psi_10min_1,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi
trt311-3,,,3D 10µM Psi 10min 1 T1,OE0533_MS_683_2_T311,9.2,68_3,3D_10µM_Psi_10min_1_T1,2D,2,,,,Female,10,10,0,0,0,0,Trt3,psi
trt312-3,,,3D 10µM Psi 10min 1 T2,OE0533_MS_683_2_T312,9.2,68_3,3D_10µM_Psi_10min_1_T2,2D,2,,,,Female,10,10,0,0,0,0,Trt3,psi
trt32-1,,,3D 10µM Psi 10min 2,OE0533_MS_692_1_T32,8.2,69_2,3D_10µM_Psi_10min_2,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi
trt32-2,,,3D 10µM Psi 10min 2,OE0533_MS_683_1_T32,9.4,68_3,3D_10µM_Psi_10min_2,2D,1,,,,Female,10,10,0,0,0,0,Trt3,psi
