gene,contrast,gene_id,availability,log2FoldChange,lfcSE,gene_fdr,telomere_le,dna_repair_le
ATM,day1_vs_control,ENSG00000149311.13,retained source symbol,-0.893966812873455,0.205893850288234,0.000547320501818603,False,False
ATM,day3_vs_control,ENSG00000149311.13,retained source symbol,-0.635417869511907,0.205517556327906,0.125630206044129,False,False
ATM,day3_vs_day1,ENSG00000149311.13,retained source symbol,0.258548943361548,0.2061263612995,0.809463961258807,False,False
ATR,day1_vs_control,ENSG00000175054.10,retained source symbol,-0.46147575956179,0.189747160535586,0.0779369284782986,False,False
ATR,day3_vs_control,ENSG00000175054.10,retained source symbol,-0.320052733285441,0.189023310273148,0.538643333968392,False,False
ATR,day3_vs_day1,ENSG00000175054.10,retained source symbol,0.141423026276349,0.190085532655814,0.929870366299208,False,False
H2AX,day1_vs_control,,absent source symbol; not a null,,,,False,False
H2AX,day3_vs_control,,absent source symbol; not a null,,,,False,False
H2AX,day3_vs_day1,,absent source symbol; not a null,,,,False,False
H2AFX,day1_vs_control,ENSG00000188486.3,retained source symbol,1.09465427732981,0.38516828032865,0.0336505588635047,False,False
H2AFX,day3_vs_control,ENSG00000188486.3,retained source symbol,0.491740559788154,0.386204537703211,0.708618706915137,False,False
H2AFX,day3_vs_day1,ENSG00000188486.3,retained source symbol,-0.602913717541657,0.382854828664329,0.716492267511715,False,False
PARP1,day1_vs_control,ENSG00000143799.8,retained source symbol,0.141300321211138,0.15771546461938,0.611907484861307,False,False
PARP1,day3_vs_control,ENSG00000143799.8,retained source symbol,0.164263558827421,0.15752149487487,0.796008233497858,False,False
PARP1,day3_vs_day1,ENSG00000143799.8,retained source symbol,0.022963237616283,0.157659759781305,0.994637144201929,False,False
RAD51,day1_vs_control,ENSG00000051180.12,retained source symbol,0.533560465365217,0.389151679145669,0.390241026630693,False,False
RAD51,day3_vs_control,ENSG00000051180.12,retained source symbol,-0.0152261005395445,0.392005049717085,0.997015564863266,False,False
RAD51,day3_vs_day1,ENSG00000051180.12,retained source symbol,-0.548786565904761,0.38979483450776,0.764352962313029,False,True
BRCA1,day1_vs_control,ENSG00000012048.15,retained source symbol,-0.39581769337291,0.270384593762866,0.350247762892191,False,False
BRCA1,day3_vs_control,ENSG00000012048.15,retained source symbol,-0.30844153749316,0.265188979068674,0.752282108695696,False,False
BRCA1,day3_vs_day1,ENSG00000012048.15,retained source symbol,0.0873761558797494,0.273179274466361,0.983211407828869,False,False
BRCA2,day1_vs_control,ENSG00000139618.10,retained source symbol,-0.756220290507206,0.415950193918692,0.218291266070965,False,False
BRCA2,day3_vs_control,ENSG00000139618.10,retained source symbol,-0.906140289968733,0.412523386693179,0.343149811840664,False,False
BRCA2,day3_vs_day1,ENSG00000139618.10,retained source symbol,-0.149919999461526,0.42552707056912,0.979563876591199,False,False
TERF1,day1_vs_control,ENSG00000147601.9,retained source symbol,-0.212379009586017,0.173462026963566,0.457525676859715,False,False
TERF1,day3_vs_control,ENSG00000147601.9,retained source symbol,0.0487228317409378,0.172739362153311,0.971235723920926,False,False
TERF1,day3_vs_day1,ENSG00000147601.9,retained source symbol,0.261101841326955,0.173429391259038,0.738210995721009,False,False
TERF2,day1_vs_control,ENSG00000132604.6,retained source symbol,0.318549772376713,0.16863476064419,0.19687412071853,True,False
TERF2,day3_vs_control,ENSG00000132604.6,retained source symbol,0.178881283286598,0.168495104936328,0.788317299020359,True,False
TERF2,day3_vs_day1,ENSG00000132604.6,retained source symbol,-0.139668489090115,0.1685475573049,0.915217130541409,True,False
TINF2,day1_vs_control,ENSG00000092330.11,retained source symbol,0.452511722199382,0.182552473042179,0.0710290976036212,True,False
TINF2,day3_vs_control,ENSG00000092330.11,retained source symbol,0.294817429344755,0.18232168001646,0.567727058188096,True,False
TINF2,day3_vs_day1,ENSG00000092330.11,retained source symbol,-0.157694292854627,0.182275191472895,0.906806958167914,True,False
ACD,day1_vs_control,ENSG00000102977.9,retained source symbol,0.892188210089708,0.248832716512253,0.00535911442879902,True,False
ACD,day3_vs_control,ENSG00000102977.9,retained source symbol,0.492169535414131,0.248922663331622,0.425646651478361,True,False
ACD,day3_vs_day1,ENSG00000102977.9,retained source symbol,-0.400018674675577,0.248256567643167,0.702420419152045,True,False
POT1,day1_vs_control,ENSG00000128513.10,retained source symbol,-0.193007820745847,0.190131956924704,0.551987210097169,False,False
POT1,day3_vs_control,ENSG00000128513.10,retained source symbol,-0.263627943179684,0.189392361584769,0.658906571914403,False,False
POT1,day3_vs_day1,ENSG00000128513.10,retained source symbol,-0.0706201224338371,0.190650765267037,0.976579638880185,False,False
TERT,day1_vs_control,,absent source symbol; not a null,,,,False,False
TERT,day3_vs_control,,absent source symbol; not a null,,,,False,False
TERT,day3_vs_day1,,absent source symbol; not a null,,,,False,False
DKC1,day1_vs_control,ENSG00000130826.11,retained source symbol,0.182139615027337,0.173367244953031,0.536144410526923,False,False
DKC1,day3_vs_control,ENSG00000130826.11,retained source symbol,0.127762051463635,0.173027209205087,0.88130644345107,False,False
DKC1,day3_vs_day1,ENSG00000130826.11,retained source symbol,-0.0543775635637015,0.173257331269225,0.984008006904435,False,False
WRAP53,day1_vs_control,ENSG00000141499.12,retained source symbol,0.438117165021511,0.236054566030284,0.206558971267774,True,False
WRAP53,day3_vs_control,ENSG00000141499.12,retained source symbol,0.319794297458282,0.235325022503477,0.672117406099213,True,False
WRAP53,day3_vs_day1,ENSG00000141499.12,retained source symbol,-0.118322867563229,0.235227845334391,0.967563235339134,False,False
NHP2,day1_vs_control,ENSG00000145912.4,retained source symbol,0.871701924429941,0.221570362488837,0.0019729842549149,True,False
NHP2,day3_vs_control,ENSG00000145912.4,retained source symbol,0.503888871575655,0.221557662233692,0.317904017922355,True,False
NHP2,day3_vs_day1,ENSG00000145912.4,retained source symbol,-0.367813052854286,0.220715435566116,0.684503793122504,True,False
NOP10,day1_vs_control,ENSG00000182117.4,retained source symbol,0.559903536637035,0.195755873091668,0.0323193009262066,True,False
NOP10,day3_vs_control,ENSG00000182117.4,retained source symbol,0.360226981829283,0.195576684331666,0.480895933364616,True,False
NOP10,day3_vs_day1,ENSG00000182117.4,retained source symbol,-0.199676554807752,0.195412443632967,0.873170312453579,True,False
