gene,in_dna_le_union,in_telomere_le_union,day1_log2FoldChange,day1_stat,day1_padj,day3_log2FoldChange,day3_stat,day3_padj
ACD,False,True,0.892188210089708,3.58549399208836,0.00535911442879902,0.492169535414131,1.97719857576186,0.425646651478361
ADRM1,True,False,1.75066849088758,3.03977834740222,0.0213571792342613,1.15176946155192,1.9993345059976,0.417759003289013
AK1,True,False,0.824673069442116,3.52853088077683,0.00622260885857329,0.729305683545724,3.12777853182791,0.12019078027225
ALYREF,True,False,1.34339870171875,5.24441789528747,2.35209224660828e-05,0.756361416987627,2.94680621705596,0.153183172632626
APRT,True,False,1.28608373304996,3.42931694324221,0.00800436334037508,0.711332001918503,1.89198066634051,0.459306867451062
BCAM,True,False,0.683785670115382,1.71644624914415,0.252545941352391,0.370976171972564,0.931481050717661,0.828637206170325
BCAP31,True,False,0.741270748131273,3.11579284586543,0.0177465693296791,0.576334944575075,2.42338232844168,0.272793054370231
BRF2,True,False,0.499251396601908,2.05047596416634,0.153063974069888,0.355023250379481,1.46500451250148,0.629051264432181
CANT1,True,False,0.226855415355766,1.06040421720812,0.531583232278844,0.379214918015147,1.77617216755558,0.504672552690243
CCNA1,False,True,0.243456055360635,1.33431902148294,0.406857747000528,0.19911110982959,1.0954030840905,0.780644812709784
CETN2,True,False,-0.00785784550740302,-0.0439085627852912,0.986059224336575,0.158269986744547,0.886558719594943,0.841515603975603
CHTF18,False,True,0.84340715892037,2.02095631717998,0.16063786180803,0.124542388712887,0.297099192080947,0.968008183694767
CHTF8,False,True,0.480788512854657,2.54937774123859,0.0619495558919332,0.336635015743515,1.79000628867526,0.499137669816366
COX17,True,False,0.65677272679839,3.08674492034977,0.0190679200794889,0.310229505161072,1.45829132114203,0.632698051632749
DAXX,False,True,0.539110577102278,2.77794245100553,0.038715787554998,0.401878973993694,2.07328161974929,0.385626957205095
DDB1,True,False,0.295080789934564,1.78316603236593,0.230184910973254,0.331045391642823,2.00123693714661,0.416828480892689
DGCR8,True,False,0.320099283620037,1.87644346101225,0.200641557752453,0.15010361693938,0.880618348880466,0.843967282276684
DGUOK,True,False,0.402828904612701,2.04162626791429,0.155257308835763,0.128846121314743,0.653274052823692,0.902191043968153
DSCC1,False,True,0.95679576324181,2.32449353214133,0.0956014547270694,0.372521490643479,0.89694539221001,0.838750355457886
EDF1,True,False,1.46040394316316,5.2696401007978,2.16701276977634e-05,0.868708879322603,3.13338578165901,0.118299574364513
ELL,True,False,0.969841595769273,3.11796999686274,0.0176454871727764,0.383882808162672,1.22675637389153,0.727794806235273
ERCC2,True,False,0.563530059424149,2.48388500334699,0.0702921661984266,0.479329189764057,2.11476288108432,0.370846574246713
GPX4,True,False,1.55032399346458,5.35185079455048,1.53470807948835e-05,0.948447742139704,3.2730481847605,0.0987134137203676
GTF2A2,True,False,0.299476842846728,1.38259577854245,0.385138217446546,0.254439270473944,1.17686040835571,0.746666192230127
GTF2F1,True,False,0.599163302652646,2.52752565464422,0.0646778799676537,0.410886242282095,1.73401313276324,0.520840916019781
GTF2H5,True,False,0.0458717156534592,0.24484740870063,0.915481446090204,0.196906274970417,1.05302885040516,0.791923226473825
GTF3C5,True,False,0.55290818776632,2.54944065072453,0.0619495558919332,0.428691510850405,1.97834166693521,0.425646651478361
GUK1,True,False,1.65700228575447,5.27443881963387,2.13403685825649e-05,0.819259397765014,2.6057490084561,0.226887065163958
HCLS1,True,False,1.04985027790539,1.94568154208836,0.180537201889862,-0.480170310907157,-0.839237789255571,0.85534271954735
HPRT1,True,False,0.500109379810205,2.57111355422008,0.0594847439481082,0.152941338717085,0.786697930177784,0.868694669288126
IMPDH2,True,False,0.555332166637471,3.16798522382849,0.0156111762289646,0.211000298764068,1.20381185591891,0.73389810738142
ITPA,True,False,1.09859677784031,4.92281762383452,7.75414831154867e-05,0.707476553582534,3.16936165884316,0.111177205038564
LIG1,True,True,0.346572963046713,1.7268344530641,0.249455431114197,0.192765334875387,0.961654793616419,0.819637476602026
MPG,True,False,2.28149855929482,4.61458982555183,0.000221315696457684,1.5074841263871,3.03065978819463,0.134077915253285
MRPL40,True,False,0.722635811612247,3.16240897841105,0.0158295495717116,0.588268087325589,2.58146706640903,0.232013340580449
NELFB,True,False,0.906018813911749,3.15511091558118,0.0161306388539959,0.660517357890654,2.3010447135946,0.306133357425581
NHP2,False,True,0.871701924429941,3.93419911687808,0.0019729842549149,0.503888871575655,2.27430126539325,0.317904017922355
NME1,True,False,0.642888342645337,2.9554900163202,0.0259988323534856,0.453241191313993,2.08553386815769,0.381646893040735
NME3,True,False,2.76676918135279,2.76654027890704,0.039776671229585,1.95092566760949,1.94497470554176,0.435858453061724
NME4,True,False,0.406760361161734,1.69867200539742,0.258442549783569,0.298775680265474,1.24981884861409,0.716543370720794
NOP10,False,True,0.559903536637035,2.86021322269521,0.0323193009262066,0.360226981829283,1.84187078874083,0.480895933364616
NT5C,True,False,1.05637175421639,3.16612767343669,0.0156885064477751,0.388956086736713,1.16179806122951,0.752948466176958
PDE4B,True,False,-0.0910789080532352,-0.54995651394762,0.780178276567554,0.153263185272424,0.926851168470244,0.829656603026381
POLD1,True,True,1.05178564360464,2.81649310306616,0.0355496723739824,0.383093524566354,1.02057669694042,0.8026026147433
POLD2,False,True,0.664090022327132,2.75420587933259,0.0407127967514315,0.668433332694082,2.77569356606042,0.191067147020357
POLD4,True,True,0.774749022060525,1.64966845379339,0.276571205320937,0.519688215283658,1.1103672273617,0.774415359368968
POLE4,True,False,0.757567392407682,2.9963880294682,0.0237143942150454,0.520027843430716,2.06120554987538,0.391797156539897
POLL,True,False,0.458684337713422,2.01884936583173,0.161222825531012,0.460776604663178,2.03525786154355,0.399142314972084
POLR2A,True,True,0.386751443277958,2.04559826446462,0.154244277070414,0.346664223522806,1.83418545066873,0.483836716348536
POLR2C,True,True,0.277159071811353,1.64927411620133,0.27668708782938,0.0274581918366733,0.16352753924927,0.985393265374209
POLR2D,True,True,0.183505093237738,0.859633161915888,0.629905759045727,0.273670269978435,1.2869303301788,0.702598538901948
POLR2E,True,True,2.08201855485096,3.62363150301484,0.00481594021313779,1.35438650472615,2.35645822132584,0.292621265475109
POLR2F,True,True,0.744822192575846,3.75951758263046,0.00333391700243536,0.523596067632411,2.64580034634018,0.217643891638601
POLR2G,True,True,0.419646917339409,2.27603455410639,0.104439321327598,0.317380397989055,1.72396260425591,0.524509937547392
POLR2I,True,True,1.35547666976854,4.50589674910742,0.000313483409166024,1.00868853590624,3.35300383206837,0.0924066827070097
POLR2J,True,True,0.99034384916511,3.21984467006259,0.0137726577520527,0.458114922912897,1.48580538487959,0.619158488253197
POLR2L,False,True,1.88226809628901,2.93674202479469,0.02711111458674,1.45056408646503,2.26264642612417,0.32059617149921
POLR3C,True,False,0.276177953607049,1.58770743215289,0.300354483972061,0.130555175852494,0.752110930544993,0.877289659317989
POM121,True,False,0.334655008553208,1.77391085269331,0.233476257038779,0.24807499346305,1.31615546070372,0.690977414024864
RAE1,True,False,0.119114874095868,0.659610411705004,0.726926572481912,0.192338479207363,1.06673646837441,0.786947901062932
