gene,gene_id,day1_le,day3_le,dna_member,dna_day1_le,dna_day3_le,modules,reactome_children,child_names,reaction_annotations,reaction_ids,annotation_basis,day1_log2fc,day1_SE,day1_stat,day1_gene_fdr,day3_log2fc,day3_SE,day3_stat,day3_gene_fdr,day3_minus_day1_log2fc,day3_minus_day1_SE,day3_minus_day1_stat,day3_minus_day1_gene_fdr
ACD,ENSG00000102977.9,True,True,False,False,False,Packaging / protection;Telomerase extension / RNP;C-strand synthesis;Recombination / chromatin / TERRA,R-HSA-180786;R-HSA-171319;R-HSA-174417;R-HSA-174430;R-HSA-174411;R-HSA-174414;R-HSA-9670095,Extension of Telomeres;Telomere Extension By Telomerase;Telomere C-strand (Lagging Strand) Synthesis;Telomere C-strand synthesis initiation;Polymerase switching on the C-strand of the telomere;Processive synthesis on the C-strand of the telomere;Inhibition of DNA recombination at telomere,TERRA transcription participants;Packaging / protection,R-HSA-9670149;R-HSA-171306,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.892188210089708,0.248832716512253,3.58549399208836,0.00535911442879902,0.492169535414131,0.248922663331622,1.97719857576186,0.425646651478361,-0.400018674675577,0.248256567643167,-1.61131154947145,0.702420419152045
CCNA1,ENSG00000133101.5,False,True,False,False,False,Telomerase extension / RNP,R-HSA-180786;R-HSA-171319,Extension of Telomeres;Telomere Extension By Telomerase,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.243456055360635,0.182457157127282,1.33431902148294,0.406857747000528,0.19911110982959,0.181769718126099,1.0954030840905,0.780644812709784,-0.0443449455310446,0.182166157635157,-0.243431305280418,0.987471505535176
CHTF18,ENSG00000127586.12,True,False,False,False,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.84340715892037,0.417330721970899,2.02095631717998,0.16063786180803,0.124542388712887,0.419194639475675,0.297099192080947,0.968008183694767,-0.718864770207484,0.417267694328326,-1.72279038127943,0.663172346631712
CHTF8,ENSG00000168802.8,True,True,False,False,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.480788512854657,0.188590535281394,2.54937774123859,0.0619495558919332,0.336635015743515,0.188063593895332,1.79000628867526,0.499137669816366,-0.144153497111142,0.187893887683884,-0.767206953286677,0.925117190152986
DAXX,ENSG00000204209.6,True,True,False,False,False,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.539110577102278,0.194068302929435,2.77794245100553,0.038715787554998,0.401878973993694,0.193837137302308,2.07328161974929,0.385626957205095,-0.137231603108584,0.193680874359375,-0.708544937968168,0.936004431774474
DSCC1,ENSG00000136982.5,True,False,False,False,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.95679576324181,0.411614723814872,2.32449353214133,0.0956014547270694,0.372521490643479,0.415322375117634,0.89694539221001,0.838750355457886,-0.58427427259833,0.404017891235724,-1.44615940351373,0.755447166869867
LIG1,ENSG00000105486.9,True,True,True,True,True,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174414,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Processive synthesis on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.346572963046713,0.200698429679669,1.7268344530641,0.249455431114197,0.192765334875387,0.200451696549517,0.961654793616419,0.819637476602026,-0.153807628171327,0.200519744248859,-0.767044805225967,0.925117190152986
NHP2,ENSG00000145912.4,True,True,False,False,False,Telomerase extension / RNP,R-HSA-180786;R-HSA-171319,Extension of Telomeres;Telomere Extension By Telomerase,Telomerase RNP assembly participants,R-HSA-164616,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.871701924429941,0.221570362488837,3.93419911687808,0.0019729842549149,0.503888871575655,0.221557662233692,2.27430126539325,0.317904017922355,-0.367813052854286,0.220715435566116,-1.66645822441406,0.684503793122504
NOP10,ENSG00000182117.4,True,True,False,False,False,Telomerase extension / RNP,R-HSA-180786;R-HSA-171319,Extension of Telomeres;Telomere Extension By Telomerase,Telomerase RNP assembly participants,R-HSA-164616,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.559903536637035,0.195755873091668,2.86021322269521,0.0323193009262066,0.360226981829283,0.195576684331666,1.84187078874083,0.480895933364616,-0.199676554807752,0.195412443632967,-1.02182108311789,0.873170312453579
POLD1,ENSG00000062822.8,True,True,True,True,True,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411;R-HSA-174414,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere;Processive synthesis on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),1.05178564360464,0.373438032729291,2.81649310306616,0.0355496723739824,0.383093524566354,0.37536965689578,1.02057669694042,0.8026026147433,-0.668692119038288,0.371536769134661,-1.79980065121341,0.626361585653656
POLD2,ENSG00000106628.6,True,True,False,False,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411;R-HSA-174414,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere;Processive synthesis on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.664090022327132,0.241118511622688,2.75420587933259,0.0407127967514315,0.668433332694082,0.240816688436828,2.77569356606042,0.191067147020357,0.00434331036695022,0.240540620293505,0.018056452842146,0.999633032301438
POLD4,ENSG00000175482.4,True,True,True,True,True,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411;R-HSA-174414,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere;Processive synthesis on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.774749022060525,0.469639229797358,1.64966845379339,0.276571205320937,0.519688215283658,0.468032739509496,1.1103672273617,0.774415359368968,-0.255060806776867,0.46033396121268,-0.554077752823077,0.963002809338462
POLR2A,ENSG00000181222.10,True,True,True,True,True,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.386751443277958,0.189065199162739,2.04559826446462,0.154244277070414,0.346664223522806,0.189001730112086,1.83418545066873,0.483836716348536,-0.0400872197551521,0.1890047293917,-0.212096384488211,0.990793748815581
POLR2C,ENSG00000102978.8,True,False,True,True,False,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.277159071811353,0.168049124817235,1.64927411620133,0.27668708782938,0.0274581918366733,0.167911728891229,0.16352753924927,0.985393265374209,-0.24970087997468,0.168044141346849,-1.48592434091045,0.743009948856726
POLR2D,ENSG00000144231.6,False,True,True,False,True,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.183505093237738,0.213469071887309,0.859633161915888,0.629905759045727,0.273670269978435,0.21265352409591,1.2869303301788,0.702598538901948,0.0901651767406974,0.213062503389249,0.423186507744971,0.975056141376463
POLR2E,ENSG00000099817.7,True,True,True,True,True,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),2.08201855485096,0.574566854581857,3.62363150301484,0.00481594021313779,1.35438650472615,0.574755152656222,2.35645822132584,0.292621265475109,-0.727632050124818,0.573482803212934,-1.26879488983499,0.808341240346329
POLR2F,ENSG00000100142.10,True,True,True,True,True,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.744822192575846,0.198116427495122,3.75951758263046,0.00333391700243536,0.523596067632411,0.197897044029297,2.64580034634018,0.217643891638601,-0.221226124943434,0.1972365791972,-1.12162827931754,0.847529390682405
POLR2G,ENSG00000168002.7,True,True,True,True,True,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.419646917339409,0.184376338479699,2.27603455410639,0.104439321327598,0.317380397989055,0.1840993518105,1.72396260425591,0.524509937547392,-0.102266519350354,0.184080980455239,-0.555551796266215,0.96279140450225
POLR2I,ENSG00000105258.4,True,True,True,True,True,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),1.35547666976854,0.300822842875184,4.50589674910742,0.000313483409166024,1.00868853590624,0.30083131019985,3.35300383206837,0.0924066827070097,-0.346788133862298,0.298689636628953,-1.16103169087548,0.834436505299904
POLR2J,ENSG00000005075.11,True,True,True,True,True,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.99034384916511,0.307575038750505,3.21984467006259,0.0137726577520527,0.458114922912897,0.308327677080011,1.48580538487959,0.619158488253197,-0.532228926252213,0.305601591645131,-1.74157772996891,0.653957281085194
POLR2L,ENSG00000177700.5,True,True,False,False,False,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),1.88226809628901,0.640937501624987,2.93674202479469,0.02711111458674,1.45056408646503,0.641091807238211,2.26264642612417,0.32059617149921,-0.431704009823988,0.6374666825115,-0.677218153775746,0.941677338486696
RFC2,ENSG00000049541.6,True,True,True,True,True,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.612250251450326,0.215875619781206,2.83612504307274,0.0341579977007623,0.570719911262573,0.215095234766961,2.65333591365194,0.217424026705991,-0.0415303401877523,0.21446125902836,-0.19364961474119,0.991533260370987
RFC3,ENSG00000133119.8,True,False,True,True,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.465716042629067,0.253331556946248,1.8383656905716,0.212049293323385,-0.0474356160171041,0.253670988866434,-0.186996614114515,0.982804560642881,-0.513151658646171,0.25361009134852,-2.02338817007474,0.511351308972745
