"current_symbol","hgnc_id","ensembl_stable_id","source_symbol","source_gene_id","selected_gene_id","status"
"ATP5F1A","HGNC:823","ENSG00000152234","ATP5A1","ENSG00000152234.11","ENSG00000152234.11","rescued"
"ATP5F1B","HGNC:830","ENSG00000110955","ATP5B","ENSG00000110955.4","ENSG00000110955.4","rescued"
"ATP5F1C","HGNC:833","ENSG00000165629","ATP5C1","ENSG00000165629.15","ENSG00000165629.15","rescued"
"ATP5F1D","HGNC:837","ENSG00000099624","ATP5D","ENSG00000099624.3","ENSG00000099624.3","rescued"
"ATP5F1E","HGNC:838","ENSG00000124172","ATP5E","ENSG00000124172.5","ENSG00000124172.5","rescued"
"ATP5MC1","HGNC:841","ENSG00000159199","ATP5G1","ENSG00000159199.9","ENSG00000159199.9","rescued"
"ATP5MC2","HGNC:842","ENSG00000135390","ATP5G2","ENSG00000135390.13","ENSG00000135390.13","rescued"
"ATP5MC3","HGNC:843","ENSG00000154518","ATP5G3","ENSG00000154518.5","ENSG00000154518.5","rescued"
"ATP5ME","HGNC:846","ENSG00000169020","ATP5I","ENSG00000169020.5","ENSG00000169020.5","rescued"
"ATP5MF","HGNC:848","ENSG00000241468","ATP5J2","ENSG00000241468.3","ENSG00000241468.3","rescued"
"ATP5MG","HGNC:14247","ENSG00000167283","ATP5L","ENSG00000167283.3","ENSG00000167283.3","rescued"
"ATP5PB","HGNC:840","ENSG00000116459","ATP5F1","ENSG00000116459.6","ENSG00000116459.6","rescued"
"ATP5PD","HGNC:845","ENSG00000167863","ATP5H","ENSG00000167863.7","ENSG00000167863.7","rescued"
"ATP5PF","HGNC:847","ENSG00000154723","ATP5J","ENSG00000154723.8","ENSG00000154723.8","rescued"
"ATP5PO","HGNC:850","ENSG00000241837","ATP5O","ENSG00000241837.2","ENSG00000241837.2","rescued"
"BCKDHA","HGNC:986","ENSG00000248098","BCKDHA","ENSG00000248098.6","","excluded_by_frozen_count_or_symbol_filter"
"CASP7","HGNC:1508","ENSG00000165806","CASP7","ENSG00000165806.15","","excluded_by_frozen_count_or_symbol_filter"
"TOMM70","HGNC:11985","ENSG00000154174","TOMM70A","ENSG00000154174.7","ENSG00000154174.7","rescued"
