"variant","contrast","baseline_mapped","baseline_NES","baseline_pval","mapped","NES","pval","delta_NES","leading_edge","rescued_leading_edge","bonferroni_15"
"primary","day1_vs_control",182,2.48577205846526,9.96315074925409e-17,198,2.55050445524801,2.14552157064735e-19,0.0647323967827527,"GPX4;TIMM13;CYC1;COX8A;NDUFS6;OGDH;HSD17B10;MRPS12;NDUFB2;CYB5R3;RHOT2;UQCRC1;MDH2;NDUFS8;COX6B1;POLR2F;MRPS15;ATP6V1F;SLC25A11;COX10;SLC25A5;ACO2;MFN2;NDUFV1;ECI1;ACAA1;ECHS1;UQCR10;ATP5MF;COX4I1;IDH2;TIMM8B;TIMM50;ECH1;ATP5MC1;NDUFA3;ATP5MC3;COX5B;SLC25A6;NDUFA2;COX17;UQCRQ;ETFB;MRPL15;GPI;NDUFA8;UQCR11;BAX;MRPL11;ATP6V0C;TOMM22;NDUFB7;TIMM10;ATP5F1B;TCIRG1;IDH3B;IDH3G;ATP5F1D;PHYH;SDHB;SLC25A3;GRPEL1;CYCS;PDHA1;SLC25A4;NDUFA1;ATP6V0B;UQCRFS1;NDUFB6;NDUFS3;ATP5MC2;NDUFAB1;ATP5MG;ATP5ME;ATP6V1E1;PHB2;ATP5F1C;NDUFA9;PMPCA;NDUFS7;GOT2;ATP5PO;MRPS11;COX7C;VDAC1;SDHC;COX6C;HTRA2;NDUFS4;NDUFB3;SURF1;COX7B;MRPL34;ALAS1;ATP5PB;COX5A;COX6A1;NDUFB8;NDUFA7;SDHA;DLST;ATP5F1E;ATP6AP1;UQCRC2;UQCRH;POR;FH","ATP5MF;ATP5MC1;ATP5MC3;ATP5F1B;ATP5F1D;ATP5MC2;ATP5MG;ATP5ME;ATP5F1C;ATP5PO;ATP5PB;ATP5F1E",3.21828235597102e-18
"primary","day3_vs_control",182,2.50104463808893,3.09974262814918e-17,198,2.59283654751272,4.33230305386333e-21,0.0917919094237898,"NDUFS6;SLC25A11;OGDH;HSD17B10;COX6B1;TIMM13;GPX4;GPI;COX4I1;CYC1;UQCRC1;COX8A;ACO2;ATP5MC2;MFN2;ATP6V1F;ECHS1;UQCR10;ATP5MF;NDUFA8;SLC25A6;IDH2;POLR2F;CYB5R3;IDH3G;NDUFA3;MDH2;TIMM10;TOMM22;NDUFV1;ECH1;TIMM8B;SLC25A5;NDUFS8;UQCR11;ACAA1;BAX;ETFB;NDUFB2;TIMM50;MRPL11;ATP5PO;GRPEL1;NDUFA2;COX5B;COX10;PHB2;MRPS11;MRPS12;IDH3B;NDUFS3;NDUFB7;GOT2;MRPS15;ATP5F1B;ATP5F1A;ATP5MC3;ATP6V0B;COX7C;ECI1;ATP5ME;ATP5MC1;SLC25A4;SDHC;ATP5MG;ATP5F1E;NDUFB6;ATP5PB;UQCRH;NDUFA1;ATP5F1D;COX17;NDUFB8;ATP6AP1;SDHA;UQCRFS1;RHOT2;ALAS1;UQCRQ;ATP6V1E1;ATP5PD;NDUFA9;COX6C;ATP5F1C;VDAC1;LDHA;COX5A;POR;COX7B;COX7A2;NDUFAB1;FH;NDUFS4;CS;NQO2;PHYH;SURF1;SDHB;MGST3;ATP6V0C;IMMT;HADHA;PMPCA;DLST;PDHA1;MRPL15;MRPL35;ATP6V1H;SLC25A3;UQCRC2;LDHB;FXN;ALDH6A1;COX7A2L;NDUFB4;NDUFS2;IDH1;AFG3L2;COX6A1;ATP6V1G1;HTRA2","ATP5MC2;ATP5MF;ATP5PO;ATP5F1B;ATP5F1A;ATP5MC3;ATP5ME;ATP5MC1;ATP5MG;ATP5F1E;ATP5PB;ATP5F1D;ATP5PD;ATP5F1C",6.498454580795e-20
"primary","day3_vs_day1",182,-1.82654008002096,5.04212799109696e-06,198,-1.86627079757638,1.93644025708502e-06,-0.0397307175554231,"RHOT2;MRPS12;CYCS;GPX4;TCIRG1;MRPL15;NDUFB2;NDUFV2;MRPS15;TIMM13;ATP6V0C;ECI1;CYC1;UQCRQ;COX10;SLC25A3;MPC1;COX17;PHYH;COX8A;SDHB;NDUFS8;PDHA1;MRPL34;ATP5MC1;CYB5R3;SLC25A5;MDH2;NDUFA7;HSPA9;ATP5MC3;ACAA1;NDUFS7;NDUFV1;NDUFAB1;FDX1;NDUFB3;SLC25A20;NDUFS6;TIMM50;HSD17B10;ATP5F1D;OGDH;POLR2F;COX5B;TIMM8B;NDUFA2;PMPCA;UQCRFS1;NDUFA1;ATP5F1B;NDUFB7;HTRA2;ATP1B1;ECH1;TIMM9;ATP6V1F;NDUFB6;IDH3A;ETFB;SLC25A4;ATP5F1C;UQCRC1;MRPL11;ATP6V1E1;NDUFA9;IDH3B;MTX2;COX6A1;MRPS22;MFN2;ATP5MF;SUCLG1;BAX;IDH2;UQCR11;UQCR10;ECHS1;ATP6V0B;ATP5MG;OXA1L;ACAT1;VDAC2;SURF1;NDUFS4;NDUFA3;ACO2;MRPS30;ABCB7;DLD;TOMM22;GRPEL1;VDAC1;COX7B;DLAT;ATP5ME;TIMM10;NDUFS3;ATP6V0E1;ACADVL;NDUFA6;COX6B1;UQCRC2;SDHD","ATP5MC1;ATP5MC3;ATP5F1D;ATP5F1B;ATP5F1C;ATP5MF;ATP5MG;ATP5ME",2.90466038562752e-05
"omit_68_3__batch1","day1_vs_control",182,2.3164253849605,3.53597502844665e-14,198,2.35240151591488,2.34761222061695e-15,0.0359761309543885,"TIMM13;GPX4;RHOT2;COX8A;CYC1;ECH1;NDUFS7;NDUFS8;CYB5R3;MRPS12;ATP6V0C;NDUFS6;OGDH;SLC25A6;ETFB;NDUFV1;HSD17B10;SLC25A11;ECI1;POLR2F;UQCRC1;MDH2;NDUFB2;ATP6V1F;TCIRG1;NDUFB7;COX5B;ACAA1;IDH2;NDUFA2;NDUFA3;ACO2;ATP5F1D;MRPS15;BAX;UQCR10;UQCRQ;POR;COX6B1;ECHS1;COX17;IDH3G;MRPL11;COX4I1;ATP5MC1;ATP6V0B;SLC25A5;UQCR11;COX10;MFN2;ATP5MF;NDUFAB1;MRPL15;TIMM50;ATP5MC3;TIMM8B;ATP5ME;MRPL34;SDHB;TIMM10;IDH3B;NDUFA8;PMPCA;TOMM22;GPI;NDUFA1;ATP5F1B;ATP5MC2;PHB2;NDUFS3;NDUFB6;UQCRFS1;SLC25A3;CYCS;COX6A1;PHYH;ATP5MG;GRPEL1;SLC25A4;HTRA2;ATP5F1C;PDHA1;SURF1;COX7C;NDUFA9;ATP6V1E1;SDHA;MTX2;ATP6AP1;MRPS11;ATP5PO;NDUFA6;COX5A;TIMM9;MPC1;NDUFB3;NDUFS4;NDUFA7;COX6C","ATP5F1D;ATP5MC1;ATP5MF;ATP5MC3;ATP5ME;ATP5F1B;ATP5MC2;ATP5MG;ATP5F1C;ATP5PO",3.52141833092542e-14
"omit_68_3__batch1","day3_vs_control",182,2.83245241465812,2.28026143778689e-23,198,2.94707704756167,2.20992028561793e-27,0.114624632903556,"HSD17B10;SLC25A11;UQCR10;GPX4;COX6B1;POLR2F;COX8A;COX4I1;TIMM13;CYC1;NDUFS6;TOMM22;ATP5MF;ECHS1;GPI;NDUFA8;MRPL11;OGDH;ATP5MC2;ATP6V1F;MFN2;UQCRC1;SLC25A6;ETFB;SLC25A5;IDH2;ACO2;NDUFB2;ATP5MC1;MDH2;ECH1;BAX;ATP5PO;ACAA1;NDUFV1;ATP5ME;NDUFA3;ATP5MC3;ATP5MG;MRPS12;CYB5R3;GRPEL1;NDUFA2;TIMM8B;NDUFS3;UQCR11;IDH3G;COX5B;ATP5F1E;TIMM10;NDUFA1;COX7C;UQCRFS1;NDUFS8;COX6C;ATP5F1B;NDUFAB1;ATP5F1A;ATP5PB;MRPS11;SLC25A4;IDH3B;COX10;ECI1;NDUFB6;COX17;PHB2;UQCRQ;NDUFB8;TIMM50;RHOT2;MRPS15;VDAC1;ATP5F1C;NDUFB7;ATP6V1E1;COX7B;GOT2;UQCRH;SDHC;COX5A;ATP5PD;ATP5PF;IMMT;LDHA;SDHB;ALDH6A1;PDHB;COX7A2;MTX2;NDUFS7;COX7A2L;MRPL15;ATP6V1G1;ATP6V1H;LDHB;ATP6V0B;NDUFA6;NDUFS4;MRPL35;FH;NDUFS2;MRPL34;NQO2;CS;PHYH;ATP5F1D;PDHA1;SDHA;ALAS1;UQCRC2;NDUFA5;SUCLA2;NDUFB1;DLST;AFG3L2;NDUFA4;MGST3;SLC25A3;IDH1;ATP6V1D;TIMM17A;VDAC3;CYCS;MDH1;NDUFC1;ISCA1;UQCRB;NDUFB3","ATP5MF;ATP5MC2;ATP5MC1;ATP5PO;ATP5ME;ATP5MC3;ATP5MG;ATP5F1E;ATP5F1B;ATP5F1A;ATP5PB;ATP5F1C;ATP5PD;ATP5PF;ATP5F1D",3.31488042842689e-26
"omit_68_3__batch1","day3_vs_day1",182,-1.60222845428367,0.000453970872433928,198,-1.55372640830294,0.000832125861039223,0.048502045980731,"RHOT2;NDUFS7;TIMM13;ATP6V0C;TCIRG1;GPX4;NDUFS8;ECH1;CYB5R3;CYC1;COX8A;POR;MRPS12;ATP5F1D;ECI1;NDUFV1;NDUFB7;SLC25A6;OGDH;ETFB;NDUFS6;MRPS15;COX5B;NDUFV2;MDH2;ATP6V0B;NDUFB2;UQCRQ;PMPCA;NDUFA2;ACAA1;UQCRC1;MRPL15;NDUFA3;COX17;ATP6V1F;MRPL34;IDH2;ACO2;BAX;COX6A1;HSD17B10;MPC1;POLR2F;COX10;IDH3G;SLC25A11;HTRA2;TIMM50;CYCS;SLC25A3;SDHB;UQCR11;NDUFAB1;SURF1;SLC25A20;PHYH;ATP6AP1;TIMM9;ATP5MC1;NDUFA9;PDHA1;NDUFA7;ATP5MC3;TIMM8B;HSPA9;SLC25A5;ECHS1;ATP1B1;IDH3B;MRPL11;FDX1;TIMM10;PHB2;ATP5ME;OXA1L;SDHA;NDUFB3;NDUFB6;MFN2;ATP5F1B;PDK4;NDUFA1;COX6B1;UQCR10","ATP5F1D;ATP5MC1;ATP5MC3;ATP5ME;ATP5F1B",0.0124818879155883
"omit_68_3__batch2","day1_vs_control",182,2.40446314332506,3.02741616929957e-16,198,2.46907903203962,1.84004265991169e-18,0.0646158887145614,"CYC1;GPX4;TIMM13;HSD17B10;COX8A;NDUFS6;CYB5R3;MRPS12;NDUFB2;UQCRC1;UQCR10;OGDH;RHOT2;NDUFS8;ATP6V1F;ATP5MF;ACAA1;COX6B1;COX4I1;ECHS1;MDH2;NDUFV1;IDH2;MRPS15;ACO2;ECI1;SLC25A11;ATP6V0C;BAX;NDUFA3;TIMM50;COX10;NDUFS7;TIMM8B;POLR2F;COX5B;TCIRG1;SLC25A6;UQCR11;ATP5MC1;MFN2;SLC25A5;ETFB;TOMM22;ATP5MC3;ECH1;NDUFS3;IDH3G;IDH3B;MRPL11;ATP6V0B;ATP5F1B;PHB2;NDUFA2;ATP5MC2;TIMM10;UQCRQ;COX17;NDUFA8;NDUFB7;POR;GPI;NDUFA1;MRPL15;UQCRFS1;ATP5F1D;SDHB;ATP5F1C;PHYH;ATP5ME;MRPS11;SLC25A4;NDUFA9;NDUFB6;SURF1;GRPEL1;NDUFAB1;ATP6V1E1;PDHA1;ATP5PO;ATP5MG;PMPCA;SLC25A3;MRPL34;ATP6AP1;HTRA2;NDUFB8;GOT2;COX6A1;COX5A;COX7C;NDUFS4;SDHC;SDHA;UQCRH;COX6C;ATP5PB;NDUFB3;ALAS1;LDHA;CYCS;ATP5F1E;MTX2;COX7B;ATP5PD;AIFM1;VDAC1;DLST;MGST3;UQCRC2;ACAT1;NDUFA7;ATP6V1G1;NDUFA6;OXA1L;ACADVL;COX7A2","ATP5MF;ATP5MC1;ATP5MC3;ATP5F1B;ATP5MC2;ATP5F1D;ATP5F1C;ATP5ME;ATP5PO;ATP5MG;ATP5PB;ATP5F1E;ATP5PD",2.76006398986754e-17
"omit_68_3__batch2","day3_vs_control",182,1.88687036519359,8.40880690053816e-07,198,1.93131110149031,1.57264079151712e-07,0.0444407362967167,"OGDH;CYC1;ACO2;UQCRC1;NDUFS6;COX4I1;GPI;TIMM13;HSD17B10;ATP5MC2;COX6B1;SLC25A11;GPX4;IDH3G;CYB5R3;IDH2;SLC25A6;COX8A;ATP6V1F;MFN2;ECHS1;ATP5MF;NDUFA3;POR;ACAA1;UQCR10;TIMM8B;NDUFV1;BAX;TIMM10;MDH2;PHB2;ATP6V0B;ATP6AP1;NDUFA8;TIMM50;ECH1;NDUFS8;POLR2F;UQCR11;IDH3B;MRPS11;NDUFB7;GOT2;ETFB;NDUFS3;SDHA;COX5B;MRPS15;NDUFA2;COX10;SLC25A5;ATP5PO;ATP5F1B;MRPL11;TCIRG1;ATP5F1A;GRPEL1;TOMM22;ATP5F1D;NDUFB2;ECI1;HADHA;ATP6V0C;SDHC;NDUFA9;ATP5MC1;MRPS12;SURF1;RHOT2;NDUFB8;ALAS1;UQCRH;PMPCA;DLST;ATP5MC3;NDUFA1;SLC25A4;ATP5ME;NDUFS7;NQO2","ATP5MC2;ATP5MF;ATP5PO;ATP5F1B;ATP5F1A;ATP5F1D;ATP5MC1;ATP5MC3;ATP5ME",2.35896118727568e-06
"omit_68_3__batch2","day3_vs_day1",182,-2.58163702137129,4.73809773990934e-18,198,-2.66596814424273,8.7178737420129e-21,-0.0843311228714372,"MRPS12;RHOT2;NDUFB2;MRPL15;MRPL34;NDUFS7;UQCRQ;NDUFAB1;GPX4;ATP6V0C;ECI1;SDHB;CYC1;COX17;MRPS15;PHYH;TIMM13;ATP5MC3;ATP5MC1;COX8A;UQCR10;NDUFS8;NDUFB3;ATP5F1C;MTX2;TCIRG1;COX10;UQCRFS1;HSD17B10;COX5B;NDUFA1;ACAA1;CYB5R3;TOMM22;MDH2;ATP5MG;SLC25A3;CYCS;HSPA9;ACAT1;NDUFB6;SLC25A5;ATP6V1E1;NDUFV1;ATP6V0E1;ATP5MF;COX5A;MRPL11;ATP5F1B;COX6A1;NDUFV2;ETFB;PDHA1;HTRA2;MPC1;ATP5PF;NDUFS3;POLR2F;ATP6V1F;TIMM50;NDUFA2;ECHS1;BAX;ATP5ME;NDUFS6;SLC25A4;NDUFS4;UQCR11;NDUFA6;VDAC2;SLC25A20;ATP5F1D;NDUFC2;IDH3B;TIMM8B;NDUFA7;COX6C;PMPCA;ATP6V1G1;SURF1;NDUFB7;ECH1;NDUFA9;NDUFA3;COX6B1;SUCLG1;UQCRC1;IDH2;COX7B;ATP6V0B;NDUFA4;PHB2;ATP5PB;TIMM9;NDUFA8;GRPEL1;MRPS22;OGDH;COX7C;ACADVL;TIMM10;FDX1;COX7A2;NDUFB8;COX4I1;NDUFC1;AIFM1;ATP5F1E;ATP5PO;VDAC1;MFN2;DLD;SLC25A11;UQCRC2;SLC25A6;OXA1L;MRPS11;NDUFB5","ATP5MC3;ATP5MC1;ATP5F1C;ATP5MG;ATP5MF;ATP5F1B;ATP5PF;ATP5ME;ATP5F1D;ATP5PB;ATP5F1E;ATP5PO",1.30768106130193e-19
"omit_69_2__batch1","day1_vs_control",182,2.49243697398759,4.61937867512326e-18,198,2.56998229406906,3.61358727590874e-21,0.077545320081478,"GPX4;CYCS;COX8A;OGDH;TIMM13;NDUFS6;CYC1;SLC25A5;NDUFB7;NDUFB2;MFN2;COX6B1;MDH2;ATP5F1D;UQCRC1;COX10;HSD17B10;CYB5R3;SLC25A11;ATP6V1F;GPI;MRPS15;NDUFA8;MRPL15;ACO2;SLC25A3;COX4I1;ATP5MC3;RHOT2;NDUFS8;ATP5MF;ECHS1;TIMM50;MRPS12;POLR2F;TOMM22;PHYH;NDUFV1;PDHA1;TIMM8B;UQCR10;IDH2;GRPEL1;UQCRQ;VDAC1;SLC25A4;ATP5F1B;ACAA1;COX17;NDUFB6;ATP5MC1;COX5B;GOT2;ATP6V1E1;SDHB;ATP5MG;TIMM10;IDH3B;PDP1;UQCR11;NDUFA2;NDUFA3;FDX1;IDH3A;UQCRFS1;SDHC;ECI1;ETFB;ATP5F1C;COX7B;COX6C;COX7C;NDUFA1;DLAT;SLC25A6;MRPS30;MRPL11;ECH1;NDUFAB1;ATP6V0C;IDH3G;ATP5PB;ALAS1;FH;NDUFS4;NDUFA9;ATP5PO;NDUFS3;NDUFB3;BAX;ATP5MC2;DLD;MRPL35;SUCLA2;ATP5F1E;COX5A;UQCRC2;ATP5PD;ATP1B1;TOMM70;DLST;ATP5ME;HCCS;CS;UQCRH;MGST3;ATP6V1C1;NDUFC2;ATP6V0B;RHOT1;MRPS11;AFG3L2;OPA1;NDUFS7;HSPA9;PHB2;PMPCA","ATP5F1D;ATP5MC3;ATP5MF;ATP5F1B;ATP5MC1;ATP5MG;ATP5F1C;ATP5PB;ATP5PO;ATP5MC2;ATP5F1E;ATP5PD;TOMM70;ATP5ME",5.4203809138631e-20
