"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt41-1","trt41-2","trt41-3","trt42-1","trt42-2","trt43-1","trt43-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2","trt61-1","trt61-3","trt62-1","trt62-2","trt63-2","trt71-1","trt71-3","trt72-1","trt72-3","trt81-1","trt81-3","trt82-1","trt82-3"
"ctrl1-1",0,132.320233062172,150.381526252115,156.328021122371,119.051107237627,136.109129394575,107.098321367084,132.220810096364,97.1739862505658,142.047994562499,150.127798504545,166.281629629034,102.955171398295,158.665091242587,105.617223730599,142.715171410212,97.3822664936292,136.563563082351,180.954968188145,85.3068989895647,156.61036270478,86.9824855973723,134.450454832533,155.926132349548,136.046357295205,197.001812614873,144.989828382983,204.5841467892,90.8099187115485,150.73400957546,86.1914210223501,168.879001913778,85.0742525821722,145.281609567944,144.108793570191,130.202623372536,172.816914235707,114.840387025973,167.526375017238,117.221101629363,201.336542895296,110.052790891971,209.176662790224
"ctrl1-2",132.320233062172,0,103.437853539909,98.9600707232932,142.763792418002,86.8243252401355,131.900901927801,73.3960585266174,133.015448697207,90.8341493700427,108.118455985285,127.067279600803,136.221071360726,118.349771531652,136.173685561473,96.9037597039825,132.542746380508,85.5557037295001,137.053180699755,129.506307796368,114.103869046999,129.930753051553,80.6983231046444,120.525942085194,98.6652339469954,210.6632107818,108.22734596529,216.912221403119,132.454681431364,120.724072316321,129.827502581182,137.481498687384,130.992132435208,103.529379222366,102.31710157197,150.483208770395,135.051508062475,139.744742045564,129.074170829678,150.211633121644,170.73080405207,147.273153741273,179.129011186453
"ctrl11-3",150.381526252115,103.437853539909,0,93.9945812837342,134.82216857602,132.225908214661,129.010332368999,98.0031023729728,129.07081585234,108.375332079675,84.4070408405123,101.622247841455,129.119645087086,105.311923784566,127.319076672841,92.8149677458525,127.376853491798,86.4704324716496,118.370012365129,137.361592682917,97.2591623199492,135.857817433522,93.3007291480192,93.5530249843111,102.098834423819,188.39763936811,101.300679341131,193.77724717356,135.271866037523,129.835016197004,139.401203261055,108.061878190469,137.981377233838,100.297437822809,93.0810267073868,144.939640813944,109.618251596918,139.93851373695,109.233717454884,161.029191524957,148.994564319977,165.680590031191,154.302250424413
"ctrl12-3",156.328021122371,98.9600707232932,93.9945812837342,0,127.764898035344,128.998435066798,128.23275657965,90.7838351690392,130.420087570959,95.6618413095497,92.9782792940691,96.0006623050284,129.845157690628,100.66415725095,125.887934224594,95.1811923103258,130.69439361726,92.2410915728914,96.1304508241009,145.393831918245,94.405773326155,142.668507939821,90.4920497558417,97.0906707385929,104.645867285271,169.023589543732,100.324676419933,174.276807616746,137.856444364071,128.288265998711,142.166509416633,110.777732224292,143.170233521714,90.8344882990792,86.9526669240084,137.270815076494,105.054926082038,133.729329955082,107.492581503738,152.274833252698,132.950372246486,160.7705049247,137.64864814639
"ctrl2-1",119.051107237627,142.763792418002,134.82216857602,127.764898035344,0,161.016829526046,83.2233076880882,136.407964801214,81.5908710777666,134.258275586088,130.369654270954,131.043022232331,81.5432833875463,138.54739863838,76.3082384346971,134.456443769302,80.6980257344944,132.669589512845,135.542359307925,102.963628007455,132.970628901067,99.272667698582,131.877503273338,133.631309070524,137.707881265428,133.476299917382,135.039849560477,139.981542139766,93.7782033775359,158.462391077078,99.4525149306037,143.419213479207,100.451284800099,130.525727136211,128.405278344937,106.762888140729,140.04985821087,101.545604306843,142.206717449,111.623985427593,157.687857279191,123.083241455656,161.229684560776
"ctrl2-2",136.109129394575,86.8243252401355,132.225908214661,128.998435066798,161.016829526046,0,151.278170448238,92.2550816030126,150.475583679776,100.602828646412,130.851254754272,147.662086758649,154.401147807123,139.846013547722,155.492182331141,119.538791291386,150.628872438917,109.861306365126,159.238083372937,140.531029938365,138.829724295506,142.623908732557,99.414015422377,146.185388562015,114.01579471674,229.868085569304,127.134748270141,236.493537907062,145.289196386005,130.289150644558,138.287723929364,162.707578005523,141.021352474617,124.055356421737,127.379275816255,170.128505936276,159.066341390683,157.243536278037,151.429667562357,151.570130767823,187.54246870819,143.296075438666,197.779731867523
"ctrl3-1",107.098321367084,131.900901927801,129.010332368999,128.23275657965,83.2233076880882,151.278170448238,0,127.650212807378,78.4407378704998,135.905130520173,131.43178608495,141.009164296535,81.2324470073369,140.303745929549,76.9568435350646,130.73121690091,75.4141861355201,126.847696590329,149.480181813101,89.3968410955598,134.503775834854,87.6651108653421,127.935706658541,137.105358302512,135.673974926376,160.04020419895,136.220616884945,166.663536505096,91.1007381147379,156.559716492288,93.3206149888335,146.127021975337,93.8182075531195,133.684843752574,130.866239392561,105.912893326959,146.402925854402,96.1009759369943,145.351873375626,119.610906089908,174.376150685177,125.070349694097,179.483151749252
"ctrl3-2",132.220810096364,73.3960585266174,98.0031023729728,90.7838351690392,136.407964801214,92.2550816030126,127.650212807378,0,128.550536348579,87.1995397991541,98.2634315451132,114.442919158779,132.306863227929,103.933318288547,128.48704068935,85.7672591746189,128.350014712201,85.1617231068807,121.391319176528,129.885965708548,108.053830587668,129.869611427394,78.7719912218527,109.467833452633,91.4527219607402,198.350083763554,98.6309887572825,204.53093092158,127.283972165398,108.508911981849,124.783918243275,127.147411330659,127.255368820101,88.0919797490586,90.2007330843963,141.424312760141,125.079750496067,131.787747704364,120.857539441659,142.905977406809,159.026660486689,142.69307874145,167.1609449403
"trt31-1",97.1739862505658,133.015448697207,129.07081585234,130.420087570959,81.5908710777666,150.475583679776,78.4407378704998,128.550536348579,0,131.740076083712,127.03556860499,136.22590365955,73.5138509962141,137.498654794656,70.893672422213,128.26690947234,68.9432342948717,124.058210985377,147.276660490765,82.9647150450355,132.92517372861,81.1945621579435,124.600870461078,131.992013687386,129.280511521044,153.7710333567,130.126079516433,160.653186546563,79.5376407963116,149.531818599222,83.3957526865101,143.204425339854,82.4043220784004,127.481760079489,124.596349224904,106.624808304661,144.533366682584,96.8952680423832,143.599896361994,110.11687791283,170.125976378001,115.754893494805,175.534556100589
"trt31-2",142.047994562499,90.8341493700427,108.375332079675,95.6618413095497,134.258275586088,100.602828646412,135.905130520173,87.1995397991541,131.740076083712,0,95.1157753820672,101.319853476301,132.727252912509,104.299063940805,131.303463669183,95.5368303113352,133.061438254192,92.4780895174903,111.763058478741,138.18023339525,107.906021381016,137.268123106667,79.497131896968,110.432892117523,93.0083757266094,183.306727896022,97.0246078275071,189.495367222863,131.829357257192,111.565569348368,130.0542163507,127.474333202722,133.468496220027,90.5337706393243,92.7550226007583,149.61949898225,121.69437740332,141.437364615471,118.254996814873,133.641502851673,140.744626555055,136.377375980883,149.344311047862
