"sample_id","PC1","PC2","ID","ASID","Name","sample_name","RIN","Cell_line","Condition","Culture","Batch","QC_comment","timepoint_d","Age.generation.of.fibroblasts","Sex","Psi_conc_uM","Psi_trt_time_min","Ket_conc_uM","Ket_trt_time_min","PLG_conc_uM","PLG_trt_time_min","ODCF_name","Condition_simple","Treatment_simple","sizeFactor"
"ctrl1-1",-39.1403043456738,-12.1419522614328,,,"Ctrl 1","OE0533_MS_692_1_C1",7,"69_2","Ctrl_1","2D","1",,,,"Female",0,0,0,0,"0",0,"ctrl1-1","Ctrl","Ctrl",1.18543661576869
"ctrl1-2",24.9949276208518,-19.1346426665386,,,"Ctrl 1","OE0533_MS_683_1_C1",8.1,"68_3","Ctrl_1","2D","1",,,,"Female",0,0,0,0,"0",0,"ctrl1-2","Ctrl","Ctrl",1.09511864062133
"ctrl11-3",27.9670964036526,-8.06169365254092,,,"Ctrl 1 T1","OE0533_MS_683_2_C11",8.9,"68_3","Ctrl_1_T1","2D","2",,,,"Female",0,0,0,0,"0",0,"ctrl11-3","Ctrl","Ctrl",0.949216003144881
"ctrl12-3",26.1227050139073,-4.20896769499743,,,"Ctrl 1 T2","OE0533_MS_683_2_C12",8,"68_3","Ctrl_1_T2","2D","2",,,,"Female",0,0,0,0,"0",0,"ctrl12-3","Ctrl","Ctrl",0.974775392114259
"ctrl2-1",-38.106605199695,1.93096860482513,,,"Ctrl 2","OE0533_MS_692_1_C2",7.1,"69_2","Ctrl_2","2D","1",,,,"Female",0,0,0,0,"0",0,"ctrl2-1","Ctrl","Ctrl",0.906592824866455
"ctrl2-2",24.610089675474,-23.1183103968991,,,"Ctrl 2","OE0533_MS_683_1_C2",6.9,"68_3","Ctrl_2","2D","1",,,,"Female",0,0,0,0,"0",0,"ctrl2-2","Ctrl","Ctrl",0.829548866758845
"ctrl3-1",-38.553186856509,-5.08152443241447,,,"Ctrl 3","OE0533_MS_692_1_C3",8.7,"69_2","Ctrl_3","2D","1",,,,"Female",0,0,0,0,"0",0,"ctrl3-1","Ctrl","Ctrl",0.944858476014722
"ctrl3-2",24.5863362466688,-16.3171268170632,,,"Ctrl 3","OE0533_MS_683_1_C3",9.6,"68_3","Ctrl_3","2D","1",,,,"Female",0,0,0,0,"0",0,"ctrl3-2","Ctrl","Ctrl",1.41650064274124
"trt31-1",-38.4287589593504,-4.32518887958238,,,"3D 10µM Psi 10min 1","OE0533_MS_692_1_T31",8.7,"69_2","3D_10µM_Psi_10min_1","2D","1",,,,"Female",10,10,0,0,"0",0,"trt31-1","Trt3","psi",1.10335868266781
"trt31-2",26.0813595721549,-12.6278515978506,,,"3D 10µM Psi 10min 1","OE0533_MS_683_1_T31",6.6,"68_3","3D_10µM_Psi_10min_1","2D","1",,,,"Female",10,10,0,0,"0",0,"trt31-2","Trt3","psi",0.859043817955055
"trt311-3",28.4406145003878,-3.85948013348988,,,"3D 10µM Psi 10min 1 T1","OE0533_MS_683_2_T311",9.2,"68_3","3D_10µM_Psi_10min_1_T1","2D","2",,,,"Female",10,10,0,0,"0",0,"trt311-3","Trt3","psi",0.975814005619299
"trt312-3",29.0290187121582,5.69634194220901,,,"3D 10µM Psi 10min 1 T2","OE0533_MS_683_2_T312",9.2,"68_3","3D_10µM_Psi_10min_1_T2","2D","2",,,,"Female",10,10,0,0,"0",0,"trt312-3","Trt3","psi",1.06442133795534
"trt32-1",-38.4731320934059,-2.9639708802132,,,"3D 10µM Psi 10min 2","OE0533_MS_692_1_T32",8.2,"69_2","3D_10µM_Psi_10min_2","2D","1",,,,"Female",10,10,0,0,"0",0,"trt32-1","Trt3","psi",1.01099048188208
"trt32-2",27.3197679716525,-3.62794908913485,,,"3D 10µM Psi 10min 2","OE0533_MS_683_1_T32",9.4,"68_3","3D_10µM_Psi_10min_2","2D","1",,,,"Female",10,10,0,0,"0",0,"trt32-2","Trt3","psi",1.04695933656002
"trt33-1",-38.074588143225,-1.58029582023297,,,"3D 10µM Psi 10min 3","OE0533_MS_692_1_T33",7.7,"69_2","3D_10µM_Psi_10min_3","2D","1",,,,"Female",10,10,0,0,"0",0,"trt33-1","Trt3","psi",1.32806544278679
"trt33-2",25.7505225585864,-10.6602801383739,,,"3D 10µM Psi 10min 3","OE0533_MS_683_1_T33",9.3,"68_3","3D_10µM_Psi_10min_3","2D","1",,,,"Female",10,10,0,0,"0",0,"trt33-2","Trt3","psi",0.817842735561215
