"PC","percent_variance"
1,75.0538477810221
2,14.2948448990478
3,5.06281945841142
4,1.19195354536
5,0.822524786489933
6,0.532116914610276
7,0.392850708770589
8,0.31038649335242
9,0.237073204926322
10,0.219858354904892
11,0.171809899309571
12,0.168912980157968
13,0.149130925976962
14,0.116000190410025
15,0.107388406982593
16,0.0936598835300324
17,0.0772076597796471
18,0.0701574571243454
19,0.066704562624732
20,0.0599873137378144
21,0.0577461772138006
22,0.0547383612051289
23,0.0510609794965113
24,0.0474764465540143
25,0.0453222487399181
26,0.0428375302231138
27,0.041985111543174
28,0.0392652141264014
29,0.0379131887767058
30,0.0365682706390333
31,0.0359528648755002
32,0.034358868771496
33,0.0324951291368961
34,0.032333850588152
35,0.0300553915822335
36,0.0287398314192757
37,0.0279175318104421
38,0.026486917272806
39,0.0258336658147022
40,0.0245430372819692
41,0.0240539422585268
42,0.0230800141408286
43,1.48017615752143e-29
