"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt41-1","trt41-2","trt41-3","trt42-1","trt42-2","trt43-1","trt43-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2","trt61-1","trt61-3","trt62-1","trt62-2","trt63-2","trt71-1","trt71-3","trt72-1","trt72-3","trt81-1","trt81-3","trt82-1","trt82-3"
"ctrl1-1",1,0.974872251253829,0.967780627398504,0.965111474715202,0.979910603334382,0.973901109955054,0.98380517861576,0.974924220433895,0.986559036823541,0.971671711176484,0.968096203443951,0.961315179980791,0.984939747310657,0.965224172830714,0.984126566441753,0.971319796780774,0.98649853220232,0.973262003500576,0.9540448712239,0.989683142662565,0.965177088510889,0.989249047641441,0.974240907198839,0.965185054293663,0.973495631539333,0.946644179622267,0.969996962763601,0.94267634639919,0.988175032404994,0.968490154599441,0.989427978773799,0.960134737508179,0.989639394974797,0.969873043833015,0.970189312083605,0.975742190297565,0.95791836968735,0.981262804589986,0.960524806627214,0.981002862897311,0.944594815290209,0.983364932185479,0.940563548477746
"ctrl1-2",0.974872251253829,1,0.984848815647071,0.986089956151168,0.971143610614712,0.989446270150506,0.975443569177116,0.992301659060054,0.974853235401675,0.988479205202637,0.983479826684012,0.977497099209992,0.97365158400155,0.980788531038663,0.97365604061657,0.986843267137852,0.975035096074225,0.989590189066263,0.973793889724633,0.976175842545058,0.981584626887499,0.976002738263478,0.990731893873944,0.979313901955291,0.986089686647893,0.939047184443669,0.983318203007709,0.935615929601806,0.974908282571119,0.979842203363055,0.975961674938052,0.973704514015637,0.975455871704903,0.984748562012205,0.985058681161814,0.96771641781464,0.974433637629973,0.972323347046961,0.976640472659765,0.968574758708063,0.960361615078534,0.969878362028928,0.956716709470106
"ctrl11-3",0.967780627398504,0.984848815647071,1,0.987478674687213,0.974360692290125,0.97570631453276,0.976573778833763,0.986362732571963,0.976405591758303,0.983755517025281,0.990077320084839,0.985734112921012,0.976443160175468,0.984951060742897,0.977055167213699,0.987992313297261,0.977003804332653,0.989370479404882,0.980470187888221,0.973375852886147,0.986664974051746,0.973910131344183,0.987756062659478,0.987564996462799,0.985218192221754,0.951340067413569,0.985484822708777,0.948732911524036,0.973949935009218,0.976941661081007,0.972532280403657,0.983813005404181,0.972978911242553,0.985757013702487,0.987674189382402,0.970088759205919,0.983176471251044,0.972281675157563,0.983373862181039,0.964083849615977,0.97000115464984,0.962065559805971,0.9680047139665
"ctrl12-3",0.965111474715202,0.986089956151168,0.987478674687213,1,0.976946500778914,0.976808156615249,0.976828457014555,0.988269897316695,0.975877494300205,0.987350484997171,0.987895472017643,0.987264496787552,0.976140348037023,0.986253292799677,0.9775381204709,0.987343355178374,0.97576160656733,0.987882785053115,0.987145368503357,0.970111339833839,0.98741836768403,0.971178414559703,0.9884456992506,0.986590760702752,0.984431644712959,0.960909533804356,0.985730718395456,0.958619610826141,0.972901943453093,0.977430124459678,0.971364461267529,0.982975501531323,0.970845576946719,0.988295380717725,0.989227098179167,0.973163511750613,0.984546415842044,0.974666294525109,0.983877456596889,0.967854871686866,0.976205540790163,0.964237195991665,0.974673057903424
"ctrl2-1",0.979910603334382,0.971143610614712,0.974360692290125,0.976946500778914,1,0.963804167047139,0.990278009102079,0.973646561154132,0.990610513757661,0.974940945378054,0.976195163621445,0.976182926014589,0.990634512699277,0.973683257335943,0.99179025757398,0.974742296040676,0.99081682847459,0.975068502551783,0.974425120621961,0.985087226630808,0.975131442166258,0.986114190700942,0.975505078524036,0.974729704118565,0.973172560857801,0.975792127810696,0.974261480096811,0.973486322856584,0.987560917108695,0.965414798388557,0.986083463744014,0.971450967986649,0.985746367824203,0.975946071513814,0.976633306797971,0.983954386925253,0.972586762015638,0.985478863839017,0.971797211719454,0.982838280105572,0.966333299742356,0.979169362588312,0.965030352697125
"ctrl2-2",0.973901109955054,0.989446270150506,0.97570631453276,0.976808156615249,0.963804167047139,1,0.968153613996116,0.98819285032712,0.968354571779635,0.985856079120516,0.976001488170678,0.969801077929435,0.966626211535891,0.973123948298001,0.966190944489064,0.980170740123277,0.968330114299559,0.983303571526008,0.96504914074428,0.972313021972859,0.973145638375128,0.971510928114823,0.986145149898829,0.970165943983078,0.981802278905721,0.928150006401619,0.977360884707801,0.924166183913412,0.97039810982033,0.976392576387043,0.973055188866137,0.963510629265815,0.971984707167146,0.978505343468223,0.977367098920761,0.959582888633244,0.96500004261371,0.965590457389937,0.968131332207471,0.968186672906501,0.952329889332898,0.971618582640152,0.947524892560568
"ctrl3-1",0.98380517861576,0.975443569177116,0.976573778833763,0.976828457014555,0.990278009102079,0.968153613996116,1,0.97698492178097,0.991345974940219,0.974355771993746,0.975846184979041,0.972440132954317,0.990727157428343,0.97302517942749,0.99167218828558,0.976159106106224,0.992006272376831,0.977270842561102,0.968927901938403,0.988787759115251,0.974601553312571,0.989198917263926,0.976999929267826,0.973459950324321,0.974020587579057,0.965086333522805,0.973864576885446,0.962284864790014,0.988303694210037,0.966290590947977,0.987784638703555,0.970395086362697,0.987608797526844,0.974821116939222,0.975789751443872,0.984265993057651,0.970086698127749,0.98702883716885,0.970575248111257,0.980286187560802,0.958772583774052,0.978500334218747,0.956574098239092
"ctrl3-2",0.974924220433895,0.992301659060054,0.986362732571963,0.988269897316695,0.973646561154132,0.98819285032712,0.97698492178097,1,0.97649273464683,0.989462777673217,0.986403697025939,0.981799403564604,0.975143138077443,0.985303721225381,0.976530612181234,0.989719721279906,0.976557921905092,0.989640540526484,0.97944255425683,0.976056898276399,0.98347326836757,0.976030630371827,0.991199312104237,0.982902201867284,0.988051457664834,0.945961107683711,0.986150008830543,0.942766005332462,0.976810492823678,0.983889167645548,0.977837118829656,0.977515438240633,0.976858947298469,0.988952284976781,0.988363110976494,0.971431062104369,0.978049053268773,0.975344360399384,0.979545286903997,0.971630241435664,0.96570301263079,0.971799397233921,0.962363831669284
"trt31-1",0.986559036823541,0.974853235401675,0.976405591758303,0.975877494300205,0.990610513757661,0.968354571779635,0.991345974940219,0.97649273464683,1,0.975840797201957,0.977346323371066,0.974216960842563,0.992364419752636,0.974077371112849,0.992882675321026,0.976969540062575,0.99326247523805,0.978093494967008,0.969720699001702,0.990300827816649,0.975065033601808,0.990683604162928,0.978067209568826,0.975223718465644,0.976258793799693,0.96771471444142,0.976010964155905,0.964907385861679,0.991000590463749,0.969212352804144,0.990200709585272,0.971480139905881,0.990374970308124,0.97696460282456,0.977885732814652,0.983873076363702,0.970716422066066,0.986716252845885,0.971176655514451,0.983311901630893,0.960720169165651,0.981609057992846,0.958421081844691
"trt31-2",0.971671711176484,0.988479205202637,0.983755517025281,0.987350484997171,0.974940945378054,0.985856079120516,0.974355771993746,0.989462777673217,0.975840797201957,1,0.987374586514874,0.985829987940099,0.975441358582859,0.985094144163201,0.976004459456054,0.98734575071237,0.975381794642564,0.988242499129092,0.982889142148957,0.973312907932087,0.983849524529047,0.973684333611972,0.991184767593701,0.983153509256745,0.987968405441857,0.954583172297559,0.986897787370087,0.95160244830525,0.975746719173186,0.982793550023853,0.976288166774075,0.977673220712868,0.975026222693311,0.988641066008447,0.988166972995724,0.968953296927326,0.979609708804866,0.972248910089138,0.980624326538647,0.975331776495587,0.973303524461632,0.974345195487469,0.970298530595011
