"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt41-1","trt41-2","trt41-3","trt42-1","trt42-2","trt43-1","trt43-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2","trt61-1","trt61-3","trt62-1","trt62-2","trt63-2","trt71-1","trt71-3","trt72-1","trt72-3","trt81-1","trt81-3","trt82-1","trt82-3"
"ctrl1-1",1,0.900316541561118,0.894816707642145,0.894280381506531,0.913604813588963,0.896340058325348,0.916195518492206,0.902803869508398,0.920841922187078,0.89750130711686,0.895504332048082,0.891779538304769,0.919575743034506,0.895288742049907,0.918743911208198,0.897628955735633,0.92094252605505,0.899865906812542,0.887319374799998,0.920919318072461,0.893235802796837,0.920856263965814,0.901634831939366,0.895227814852523,0.899506508618028,0.891845955252942,0.895294786933699,0.888213053442799,0.921140319103616,0.892279819568349,0.921433324988153,0.88907848683663,0.921259815180056,0.898237938556209,0.901091395064559,0.902967258698418,0.889786499628909,0.914589151560129,0.88919288243073,0.910709444247388,0.878624464071248,0.911377383907253,0.879026550130475
"ctrl1-2",0.900316541561118,1,0.920330060213244,0.923566318702692,0.901171067374074,0.92032411327714,0.905350325705062,0.930009506808399,0.903836147648121,0.922008810786227,0.918257492592496,0.914640656148506,0.903781409752929,0.918953042400203,0.902754334684878,0.921976499021201,0.904547859030817,0.924603407579948,0.91368076012302,0.902746667083204,0.916446919001904,0.904368415574507,0.925869569735843,0.917268561930989,0.919884171779443,0.877825943514968,0.915610886186782,0.875803174864237,0.902448538218583,0.911762553749007,0.903692188848396,0.910754941301059,0.901490632075175,0.918954295378207,0.922970824167248,0.892886182593337,0.913384081081969,0.901242087843666,0.911625894138561,0.893187228905406,0.896601765476467,0.89458830905762,0.898657978739711
"ctrl11-3",0.894816707642145,0.920330060213244,1,0.922744563957224,0.902237645163065,0.907664091105735,0.905828246467107,0.922149952574411,0.904002257893974,0.913949782634967,0.924334219677752,0.918918435146543,0.905981662543633,0.920149909540843,0.905356113337006,0.921754397431062,0.907467256587186,0.925229653044292,0.914155766118652,0.900490500579538,0.920878680281067,0.90177986103709,0.921709708866897,0.923831354993217,0.917562370692817,0.882063636397574,0.916281790716053,0.879994227396008,0.901702607645408,0.908393071398313,0.901304143559297,0.919117468527954,0.901602625680271,0.918620069781018,0.922920985871437,0.895067756620923,0.920432906690991,0.901902564691274,0.916507312845199,0.88603859815407,0.90095376621587,0.885952276115919,0.902191809455121
"ctrl12-3",0.894280381506531,0.923566318702692,0.922744563957224,1,0.905698814899816,0.911758544197846,0.906903768194492,0.928378477921407,0.905514163835747,0.922374781797768,0.92247480121015,0.923006367059667,0.905992971603863,0.923138736995863,0.907463458132726,0.922835023597969,0.906190778407221,0.92439557805974,0.923669314581338,0.899753744193746,0.921539649854061,0.901229281953796,0.924750808600328,0.922774032477316,0.920329643916706,0.893850469997162,0.919666878812993,0.891353374731816,0.902150384547564,0.91147852110674,0.902291596047371,0.917650508740302,0.899899574410822,0.923560787760499,0.926516695381508,0.895608360185543,0.919694479873108,0.904244753880229,0.916142965950281,0.893886062980413,0.908607890382688,0.891650259886009,0.909294560107756
"ctrl2-1",0.913604813588963,0.901171067374074,0.902237645163065,0.905698814899816,1,0.894405851055205,0.925716402997421,0.904552814966931,0.925330479440963,0.903681051270358,0.903919014978099,0.905716484693989,0.923774996029617,0.904285913659349,0.926851498885131,0.904539211745984,0.926824995273993,0.904573177379082,0.905261005933731,0.919137635424357,0.903054467917574,0.920784239829061,0.905975710911244,0.903829714208391,0.902082056136534,0.912651750417961,0.90092629003686,0.910450873164866,0.922214906433716,0.894153152905362,0.92294878122246,0.898440869930669,0.920797638646468,0.90597641166486,0.906601805172524,0.911932307239211,0.901741235634522,0.920128159953279,0.897502076474876,0.915894453244655,0.895587567290167,0.912081385635068,0.896436662806808
"ctrl2-2",0.896340058325348,0.92032411327714,0.907664091105735,0.911758544197846,0.894405851055205,1,0.896714717492605,0.920909353579535,0.895627652790675,0.919516960169385,0.90781657981203,0.906621451521556,0.89576855094174,0.908699482407998,0.893707972749759,0.91139842549829,0.896588227887712,0.914300386256497,0.90431986153319,0.896661071226375,0.907215955564754,0.897716253766187,0.918535298535024,0.90323062280441,0.911143423757863,0.87141314989891,0.908158054535963,0.869621095281873,0.894865189406675,0.905519996994289,0.898421214307534,0.89727469315753,0.896115740198313,0.910718852342413,0.909651306236528,0.882899802259459,0.901747625322225,0.89245684686764,0.900755870426004,0.894203520597478,0.892700941009381,0.896532294244845,0.89111402155508
"ctrl3-1",0.916195518492206,0.905350325705062,0.905828246467107,0.906903768194492,0.925716402997421,0.896714717492605,1,0.908523939359433,0.9263250088973,0.902739742907688,0.905109481152771,0.90170463098568,0.925210023465718,0.904325885020494,0.926890145617831,0.90524964577339,0.928786987951705,0.90624996675824,0.90010994295673,0.923280731069275,0.904608998306616,0.9240065033289,0.907463689274987,0.903009503021456,0.902149241929899,0.904119314051361,0.90093865317083,0.90148097948363,0.922206651607414,0.894153816668801,0.923568544106294,0.900296633157559,0.921731956030056,0.904407549257723,0.906840656381452,0.913401188556813,0.900864480440148,0.922254342629666,0.899452195929387,0.910262845610254,0.888786257178039,0.90863484757954,0.889630749328837
"ctrl3-2",0.902803869508398,0.930009506808399,0.922149952574411,0.928378477921407,0.904552814966931,0.920909353579535,0.908523939359433,1,0.907476958774842,0.923665907169802,0.921177193390994,0.919843629498917,0.906080927849646,0.923062859856117,0.907546016679391,0.925960790770901,0.908445318051122,0.927099577493573,0.919741400599339,0.904002397400508,0.918830218152171,0.905996098317729,0.928020700615587,0.921107207770073,0.922223800179652,0.88521132106016,0.91908376608431,0.882577712898373,0.907136761124331,0.915800163789049,0.908373727191305,0.914454519418454,0.906900766651224,0.925507046392896,0.927914254767285,0.897954185662144,0.918240664163181,0.906888416514418,0.913377181694859,0.897469888947746,0.901739643869311,0.897063632061577,0.903326100242572
"trt31-1",0.920841922187078,0.903836147648121,0.904002257893974,0.905514163835747,0.925330479440963,0.895627652790675,0.9263250088973,0.907476958774842,1,0.90323246637677,0.904836041488929,0.903403776202548,0.927621616531555,0.903824033002785,0.928253971708404,0.905103619074883,0.929303552212332,0.906760797714477,0.901706969510365,0.92486883614338,0.903177579674572,0.925212286906179,0.907157861768144,0.905609429777932,0.904016901681634,0.906514733121917,0.902563591331251,0.904131032209051,0.925771340333701,0.896630332600708,0.925118235149776,0.900602739505015,0.925131440352332,0.906550607168117,0.90904324900518,0.911588981687978,0.901603665316543,0.921023414463241,0.899018945804201,0.913448455872084,0.890124366983501,0.911442873506283,0.890743960760265
"trt31-2",0.89750130711686,0.922008810786227,0.913949782634967,0.922374781797768,0.903681051270358,0.919516960169385,0.902739742907688,0.923665907169802,0.90323246637677,1,0.91886221077566,0.921022080692973,0.903701382970065,0.919818757375856,0.903215532240975,0.918323466718403,0.902604780138751,0.920191584237551,0.919855541690974,0.899605245060714,0.916572139364942,0.900811453219038,0.924651546420548,0.915208879207606,0.919682700469664,0.893093498035918,0.918139767433786,0.891056318615329,0.902490392206902,0.914341909964006,0.904238623877789,0.909438208600659,0.901138324906266,0.921980848067375,0.920901387689714,0.88922206710256,0.912701589278768,0.898695102375643,0.911596676791346,0.90197030298065,0.909818674126189,0.90071552591699,0.908168087711206
