"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2"
"ctrl1-1",0,126.948895819515,144.656862948418,150.888889549566,114.524208401553,130.70943506971,102.282410558885,127.051116146662,92.6663776976319,136.590660138642,144.709182519112,161.061308163512,98.5560751408432,153.438533397334,101.32139115233,137.200375421894,150.543202669433,130.653942877997,192.104446416674,139.378855648529,199.749295382147,86.1539286471319,145.223876567191
"ctrl1-2",126.948895819515,0,98.6514965282668,94.6402767607203,137.488320512535,82.0034896802058,126.496397327034,68.9958593552949,127.664251787632,86.1369478224621,103.582621352473,122.853294132863,130.948862645391,114.14187768983,131.015873993046,92.2417188044005,115.979197268843,93.9617348566053,205.055187581029,103.305214664455,211.421145483218,127.001782502241,115.891789683354
"ctrl11-3",144.656862948418,98.6514965282668,0,89.1098296336861,129.155082331175,126.983816537363,123.337691200311,93.3663782465841,123.437203447644,103.13077504525,79.4630011928022,96.9731967971193,123.536413749509,100.603990082817,121.865791840135,87.7465638026564,88.8569548275539,97.1543065665972,182.603822895689,96.1400156314255,188.087241124477,129.629915081929,124.519745601632
"ctrl12-3",150.888889549566,94.6402767607203,89.1098296336861,0,122.335762889518,124.28565383717,122.798998014208,86.6685755481811,125.043644754376,90.9575976005795,88.282794830133,91.5837644384116,124.468860763164,96.2762257172453,120.698487684284,90.4535271490908,92.5034673404181,100.047582702478,163.658932108307,95.4587433560048,168.995698743041,132.464823733253,123.392823421724
"ctrl2-1",114.524208401553,137.488320512535,129.155082331175,122.335762889518,0,155.587994021188,78.4250491471163,131.330734285925,76.878511705232,128.869211280057,124.967274718926,125.868045946279,76.6989223766424,133.345591773438,71.7362536804089,129.043170550062,128.252732373762,132.34125419369,128.992460780821,129.448997206982,135.592329353657,89.2107856216197,152.851139420689
"ctrl2-2",130.70943506971,82.0034896802058,126.983816537363,124.28565383717,155.587994021188,0,145.61186603414,87.6500379222992,144.903104584943,96.0315219098881,126.082949193272,143.225784441953,148.97482172164,135.367690948506,150.105629970342,114.567866207811,141.126491479963,109.041665737271,224.010164965776,121.955788560948,230.76534212027,139.629338660896,125.458705997453
"ctrl3-1",102.282410558885,126.496397327034,123.337691200311,122.798998014208,78.4250491471163,145.61186603414,0,122.475705057076,73.5443736575018,130.274582608406,125.931525046873,135.702908440646,76.328525397359,135.031140860533,72.296601372459,125.193100234997,131.634131226146,130.11416786763,155.345698449471,130.486362033071,162.046349195187,86.2468128318978,150.736914826654
"ctrl3-2",127.051116146662,68.9958593552949,93.3663782465841,86.6685755481811,131.330734285925,87.6500379222992,122.475705057076,0,123.413420054518,82.6072820917567,93.8504103267522,110.412276804389,127.192598455998,99.8910062270379,123.577137802348,81.2515336957974,105.116048248719,86.8753033994089,193.044656370868,93.8671902581914,199.326332353965,122.102299834935,103.831067534793
"trt31-1",92.6663776976319,127.664251787632,123.437203447644,125.043644754376,76.878511705232,144.903104584943,73.5443736575018,123.413420054518,0,126.233075189097,121.612226835078,131.063865033154,68.7345593373515,132.305092545936,66.3172627835354,122.803903971663,126.690827313761,123.868624175805,149.306175579342,124.522786119907,156.269663212524,74.8334707760864,143.883404675108
"trt31-2",136.590660138642,86.1369478224621,103.13077504525,90.9575976005795,128.869211280057,96.0315219098881,130.274582608406,82.6072820917567,126.233075189097,0,90.3529753630174,97.1000209086941,127.325736790311,99.9150845103464,125.994508754038,90.5126216768891,105.554564499238,88.0700935224895,178.034135989631,91.8788032851499,184.331910878931,126.292895019389,106.731834220393
"trt311-3",144.709182519112,103.582621352473,79.4630011928022,88.282794830133,124.967274718926,126.082949193272,125.931525046873,93.8504103267522,121.612226835078,90.3529753630174,0,75.1404827427509,121.800126358051,87.2684928182086,117.787804295344,83.6869014949909,79.3210105540615,87.289606200995,165.907271661761,83.5623027331602,171.613177797264,126.028682112347,109.630013635828
"trt312-3",161.061308163512,122.853294132863,96.9731967971193,91.5837644384116,125.868045946279,143.225784441953,135.702908440646,110.412276804389,131.063865033154,97.1000209086941,75.1404827427509,0,129.311700026783,90.7739521525309,124.058068827517,98.2632635071114,82.6774997331087,100.642084555839,145.160434019412,92.1556459481624,150.298588944181,137.267720981486,119.968104840059
"trt32-1",98.5560751408432,130.948862645391,123.536413749509,124.468860763164,76.6989223766424,148.97482172164,76.328525397359,127.192598455998,68.7345593373515,127.325736790311,121.800126358051,129.311700026783,0,132.694962137977,68.2034712237196,124.758077430416,126.179685903751,125.726388414214,143.788903318872,125.173658396287,150.427506499002,79.085160730664,146.90484678774
"trt32-2",153.438533397334,114.14187768983,100.603990082817,96.2762257172453,133.345591773438,135.367690948506,135.031140860533,99.8910062270379,132.305092545936,99.9150845103464,87.2684928182086,90.7739521525309,132.694962137977,0,125.243726449125,80.1286287330244,95.9151949546464,99.9729824904995,167.561867350273,95.3170558184156,172.944849649473,136.305907046382,91.6065719392396
"trt33-1",101.32139115233,131.015873993046,121.865791840135,120.698487684284,71.7362536804089,150.105629970342,72.296601372459,123.577137802348,66.3172627835354,125.994508754038,117.787804295344,124.058068827517,68.2034712237196,125.243726449125,0,119.742256474764,122.316623210474,124.053528409564,137.5848962674,122.441847443643,144.248571063942,77.7480681826223,140.882271414891
"trt33-2",137.200375421894,92.2417188044005,87.7465638026564,90.4535271490908,129.043170550062,114.567866207811,125.193100234997,81.2515336957974,122.803903971663,90.5126216768891,83.6869014949909,98.2632635071114,124.758077430416,80.1286287330244,119.742256474764,0,94.6772555120825,88.7897607768914,181.242249893232,90.1047406069148,187.139380252758,124.700477395032,95.9704933067096
"trt51-3",150.543202669433,115.979197268843,88.8569548275539,92.5034673404181,128.252732373762,141.126491479963,131.634131226146,105.116048248719,126.690827313761,105.554564499238,79.3210105540615,82.6774997331087,126.179685903751,95.9151949546464,122.316623210474,94.6772555120825,0,85.3912130088192,157.535044579795,78.545139921861,163.080003066955,127.946490826782,114.391532721071
"trt511-2",130.653942877997,93.9617348566053,97.1543065665972,100.047582702478,132.34125419369,109.041665737271,130.11416786763,86.8753033994089,123.868624175805,88.0700935224895,87.289606200995,100.642084555839,125.726388414214,99.9729824904995,124.053528409564,88.7897607768914,85.3912130088192,0,180.794799544948,73.3767419491824,186.988484676419,118.129840702541,97.7382061519572
"trt511-4",192.104446416674,205.055187581029,182.603822895689,163.658932108307,128.992460780821,224.010164965776,155.345698449471,193.044656370868,149.306175579342,178.034135989631,165.907271661761,145.160434019412,143.788903318872,167.561867350273,137.5848962674,181.242249893232,157.535044579795,180.794799544948,0,168.636583508906,70.8131823940197,155.733124599601,193.733584559932
"trt512-2",139.378855648529,103.305214664455,96.1400156314255,95.4587433560048,129.448997206982,121.955788560948,130.486362033071,93.8671902581914,124.522786119907,91.8788032851499,83.5623027331602,92.1556459481624,125.173658396287,95.3170558184156,122.441847443643,90.1047406069148,78.545139921861,73.3767419491824,168.636583508906,0,174.748772281645,121.702759484165,102.04951630811
"trt512-4",199.749295382147,211.421145483218,188.087241124477,168.995698743041,135.592329353657,230.76534212027,162.046349195187,199.326332353965,156.269663212524,184.331910878931,171.613177797264,150.298588944181,150.427506499002,172.944849649473,144.248571063942,187.139380252758,163.080003066955,186.988484676419,70.8131823940197,174.748772281645,0,162.916333049957,199.640687534884
"trt52-1",86.1539286471319,127.001782502241,129.629915081929,132.464823733253,89.2107856216197,139.629338660896,86.2468128318978,122.102299834935,74.8334707760864,126.292895019389,126.028682112347,137.267720981486,79.085160730664,136.305907046382,77.7480681826223,124.700477395032,127.946490826782,118.129840702541,155.733124599601,121.702759484165,162.916333049957,0,136.969861367343
"trt52-2",145.223876567191,115.891789683354,124.519745601632,123.392823421724,152.851139420689,125.458705997453,150.736914826654,103.831067534793,143.883404675108,106.731834220393,109.630013635828,119.968104840059,146.90484678774,91.6065719392396,140.882271414891,95.9704933067096,114.391532721071,97.7382061519572,193.733584559932,102.04951630811,199.640687534884,136.969861367343,0
