"sample_id","library_counts","detected_genes","size_factor","log_library_mad","review_flag"
"ctrl1-1",16671303,29465,1.19942459839401,2.0107315435931,FALSE
"ctrl1-2",15070107,28368,1.11513098587763,1.15563507913443,FALSE
"ctrl11-3",13003129,28223,0.97082805331869,0.0936399232028811,FALSE
"ctrl12-3",12692783,27915,0.991406940103867,0.298204896362585,FALSE
"ctrl2-1",12210559,27526,0.920770073395306,0.626204649668643,FALSE
"ctrl2-2",12141133,26539,0.833550274714063,0.674490759476595,FALSE
"ctrl3-1",12815549,27640,0.964862020114435,0.21669179122778,FALSE
"ctrl3-2",19312806,29468,1.44126462374596,3.25625040830988,TRUE
"trt31-1",14805036,28610,1.12655932345272,1.00535837562404,FALSE
"trt31-2",12330896,26274,0.871731693476205,0.543156417358065,FALSE
"trt311-3",13147711,27361,0.994716890135273,0,FALSE
"trt312-3",14414213,27202,1.07648927725092,0.778807886029408,FALSE
"trt32-1",13871175,28027,1.02842610167205,0.453608672681118,FALSE
"trt32-2",17069931,26883,1.06304716099441,2.21083522802159,FALSE
"trt33-1",17373094,29192,1.35221559233001,2.35991343617581,FALSE
"trt33-2",12364878,26994,0.833730783546803,0.519851122243112,FALSE
"trt51-3",15808738,29487,1.29391119056854,1.5608424854177,FALSE
"trt511-2",13279948,28339,1.0246818418826,0.0847473169181787,FALSE
"trt511-4",12613562,26996,0.923242975973014,0.351224973302256,FALSE
"trt512-2",10851235,27495,0.859766880867585,1.62565596086152,FALSE
"trt512-4",10928486,26387,0.786012023637891,1.56558263752542,FALSE
"trt52-1",15037254,29230,1.17452869218629,1.13715386260645,FALSE
"trt52-2",12410063,25963,0.770899088492123,0.488961672037357,FALSE
