"sample_a","sample_b","block_a","block_b","condition_a","condition_b","same_analysis_unit","pearson_vst"
"ctrl1-1","ctrl1-2","69_2__batch1","68_3__batch1","control","control",FALSE,0.974535072892702
"ctrl1-1","ctrl11-3","69_2__batch1","68_3__batch2","control","control",FALSE,0.967101589151756
"ctrl1-1","ctrl12-3","69_2__batch1","68_3__batch2","control","control",FALSE,0.964178481954684
"ctrl1-1","ctrl2-1","69_2__batch1","69_2__batch1","control","control",TRUE,0.979516021291632
"ctrl1-1","ctrl2-2","69_2__batch1","68_3__batch1","control","control",FALSE,0.97357915204426
"ctrl1-1","ctrl3-1","69_2__batch1","69_2__batch1","control","control",TRUE,0.983695517896246
"ctrl1-1","ctrl3-2","69_2__batch1","68_3__batch1","control","control",FALSE,0.974500223302382
"ctrl1-1","trt31-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.986508954817257
"ctrl1-1","trt31-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.971192947830061
"ctrl1-1","trt311-3","69_2__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.967358112265496
"ctrl1-1","trt312-3","69_2__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.960112780279131
"ctrl1-1","trt32-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.984791016394291
"ctrl1-1","trt32-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.964268036647166
"ctrl1-1","trt33-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.98389462655764
"ctrl1-1","trt33-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.970804658904215
"ctrl1-1","trt51-3","69_2__batch1","68_3__batch2","control","psilocin_day1",FALSE,0.964199192396846
"ctrl1-1","trt511-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.97306150654799
"ctrl1-1","trt511-4","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.944132232009247
"ctrl1-1","trt512-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.969415757273297
"ctrl1-1","trt512-4","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.939940641009782
"ctrl1-1","trt52-1","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.988258618384023
"ctrl1-1","trt52-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.967888112116836
"ctrl1-2","ctrl11-3","68_3__batch1","68_3__batch2","control","control",FALSE,0.984773441201556
"ctrl1-2","ctrl12-3","68_3__batch1","68_3__batch2","control","control",FALSE,0.985972658273315
"ctrl1-2","ctrl2-1","68_3__batch1","69_2__batch1","control","control",FALSE,0.970505537655548
"ctrl1-2","ctrl2-2","68_3__batch1","68_3__batch1","control","control",TRUE,0.989649868424789
"ctrl1-2","ctrl3-1","68_3__batch1","69_2__batch1","control","control",FALSE,0.975071157413853
"ctrl1-2","ctrl3-2","68_3__batch1","68_3__batch1","control","control",TRUE,0.992501584803635
"ctrl1-2","trt31-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.974430330538156
"ctrl1-2","trt31-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.988603261555797
"ctrl1-2","trt311-3","68_3__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.983284100142651
"ctrl1-2","trt312-3","68_3__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.976890361772169
"ctrl1-2","trt32-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.973158095061589
"ctrl1-2","trt32-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.980377730648054
"ctrl1-2","trt33-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.973108668026231
"ctrl1-2","trt33-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.986863894063888
"ctrl1-2","trt51-3","68_3__batch1","68_3__batch2","control","psilocin_day1",FALSE,0.978848081977442
"ctrl1-2","trt511-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.986079270360729
"ctrl1-2","trt511-4","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.936411568312952
"ctrl1-2","trt512-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.983208262060279
"ctrl1-2","trt512-4","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.932779110734761
"ctrl1-2","trt52-1","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.97453595609012
"ctrl1-2","trt52-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.979593757950687
"ctrl11-3","ctrl12-3","68_3__batch2","68_3__batch2","control","control",TRUE,0.987569335720323
"ctrl11-3","ctrl2-1","68_3__batch2","69_2__batch1","control","control",FALSE,0.974031131724521
"ctrl11-3","ctrl2-2","68_3__batch2","68_3__batch1","control","control",FALSE,0.975277283451439
"ctrl11-3","ctrl3-1","68_3__batch2","69_2__batch1","control","control",FALSE,0.976349078924586
"ctrl11-3","ctrl3-2","68_3__batch2","68_3__batch1","control","control",FALSE,0.986326435624573
"ctrl11-3","trt31-1","68_3__batch2","69_2__batch1","control","psilocin_day3",FALSE,0.976157926470477
"ctrl11-3","trt31-2","68_3__batch2","68_3__batch1","control","psilocin_day3",FALSE,0.983774525767768
"ctrl11-3","trt311-3","68_3__batch2","68_3__batch2","control","psilocin_day3",FALSE,0.990295151881181
"ctrl11-3","trt312-3","68_3__batch2","68_3__batch2","control","psilocin_day3",FALSE,0.985706536871977
"ctrl11-3","trt32-1","68_3__batch2","69_2__batch1","control","psilocin_day3",FALSE,0.976193879588168
"ctrl11-3","trt32-2","68_3__batch2","68_3__batch1","control","psilocin_day3",FALSE,0.984908297037296
"ctrl11-3","trt33-1","68_3__batch2","69_2__batch1","control","psilocin_day3",FALSE,0.976789149038797
"ctrl11-3","trt33-2","68_3__batch2","68_3__batch1","control","psilocin_day3",FALSE,0.988163446399778
"ctrl11-3","trt51-3","68_3__batch2","68_3__batch2","control","psilocin_day1",FALSE,0.98760265708444
"ctrl11-3","trt511-2","68_3__batch2","68_3__batch1","control","psilocin_day1",FALSE,0.985212064900096
"ctrl11-3","trt511-4","68_3__batch2","69_2__batch1","control","psilocin_day1",FALSE,0.949639567280591
"ctrl11-3","trt512-2","68_3__batch2","68_3__batch1","control","psilocin_day1",FALSE,0.985551228492114
"ctrl11-3","trt512-4","68_3__batch2","69_2__batch1","control","psilocin_day1",FALSE,0.946886952760077
"ctrl11-3","trt52-1","68_3__batch2","69_2__batch1","control","psilocin_day1",FALSE,0.973564927957144
"ctrl11-3","trt52-2","68_3__batch2","68_3__batch1","control","psilocin_day1",FALSE,0.976650955973402
"ctrl12-3","ctrl2-1","68_3__batch2","69_2__batch1","control","control",FALSE,0.976691749761572
"ctrl12-3","ctrl2-2","68_3__batch2","68_3__batch1","control","control",FALSE,0.976298937529848
"ctrl12-3","ctrl3-1","68_3__batch2","69_2__batch1","control","control",FALSE,0.976544218408913
