"PC","percent_variance"
1,77.8041172080651
2,15.5324809505861
3,1.73974003764498
4,1.63765349981921
5,0.867145381153161
6,0.441066925699784
7,0.320748935036141
8,0.240095452657303
9,0.233854081428511
10,0.155316140202626
11,0.134557216877411
12,0.124659057535163
13,0.115636087041231
14,0.0991772286631184
15,0.0908909686159705
16,0.0862139239150957
17,0.0780853587406562
18,0.0705847442123459
19,0.0680104773093723
20,0.0593054302042968
21,0.0557049620038341
22,0.044955932588526
23,5.64888349458666e-30
