"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2"
"ctrl1-1",1,0.974535072892702,0.967101589151756,0.964178481954684,0.979516021291632,0.97357915204426,0.983695517896246,0.974500223302382,0.986508954817257,0.971192947830061,0.967358112265496,0.960112780279131,0.984791016394291,0.964268036647166,0.98389462655764,0.970804658904215,0.964199192396846,0.97306150654799,0.944132232009247,0.969415757273297,0.939940641009782,0.988258618384023,0.967888112116836
"ctrl1-2",0.974535072892702,1,0.984773441201556,0.985972658273315,0.970505537655548,0.989649868424789,0.975071157413853,0.992501584803635,0.974430330538156,0.988603261555797,0.983284100142651,0.976890361772169,0.973158095061589,0.980377730648054,0.973108668026231,0.986863894063888,0.978848081977442,0.986079270360729,0.936411568312952,0.983208262060279,0.932779110734761,0.97453595609012,0.979593757950687
"ctrl11-3",0.967101589151756,0.984773441201556,1,0.987569335720323,0.974031131724521,0.975277283451439,0.976349078924586,0.986326435624573,0.976157926470477,0.983774525767768,0.990295151881181,0.985706536871977,0.976193879588168,0.984908297037296,0.976789149038797,0.988163446399778,0.98760265708444,0.985212064900096,0.949639567280591,0.985551228492114,0.946886952760077,0.973564927957144,0.976650955973402
"ctrl12-3",0.964178481954684,0.985972658273315,0.987569335720323,1,0.976691749761572,0.976298937529848,0.976544218408913,0.988208229039938,0.975519895443463,0.987414950554698,0.987977888032323,0.987264740559428,0.975818637353331,0.986202400922303,0.977220091640862,0.987406524404552,0.986556559430553,0.984300552226931,0.959638892290804,0.985741018751648,0.957236527159442,0.972377527572814,0.977053937756869
"ctrl2-1",0.979516021291632,0.970505537655548,0.974031131724521,0.976691749761572,1,0.962826496283211,0.99047557171839,0.973073058547481,0.990805285876596,0.974586232976871,0.975903602337243,0.975833591181944,0.990867253132153,0.973206660027503,0.992000358458114,0.974366112877965,0.974311641434934,0.972680875725016,0.975110604152019,0.973909073732939,0.972680308815252,0.987586832844859,0.964629050931867
"ctrl2-2",0.97357915204426,0.989649868424789,0.975277283451439,0.976298937529848,0.962826496283211,1,0.967480606373711,0.988270280536947,0.967667529723007,0.985832877989539,0.975480943798887,0.96881288545344,0.965818482877613,0.972338905967335,0.965322012036308,0.97992945095123,0.969354223221887,0.981670360285092,0.924964870015459,0.977029240660191,0.920745789586436,0.969889677807083,0.975986400185548
"ctrl3-1",0.983695517896246,0.975071157413853,0.976349078924586,0.976544218408913,0.99047557171839,0.967480606373711,1,0.976615088863141,0.991600701718467,0.974022382050122,0.975536221008056,0.971899668525045,0.990963974350433,0.972510007653052,0.991887977231553,0.975884809403101,0.972978598614438,0.973621412896544,0.963780262958971,0.973512881393661,0.960821399389332,0.988425798506976,0.965602128050954
"ctrl3-2",0.974500223302382,0.992501584803635,0.986326435624573,0.988208229039938,0.973073058547481,0.988270280536947,0.976615088863141,1,0.976085794247448,0.989595965422265,0.986330510140166,0.981382113366067,0.974672316154193,0.985098063814428,0.976057670368601,0.989834829124313,0.982591960289004,0.988104944224587,0.943631452387903,0.986147414016757,0.940251471092661,0.976446921943699,0.983802255360741
"trt31-1",0.986508954817257,0.974430330538156,0.976157926470477,0.975519895443463,0.990805285876596,0.967667529723007,0.991600701718467,0.976085794247448,1,0.975548979257266,0.977095931428939,0.973733234564669,0.992634050369981,0.973601814183753,0.993126485941951,0.976717002543444,0.974782535246456,0.975934984368596,0.966490601743491,0.975731096009316,0.963524258799724,0.991201821047116,0.968629449355566
"trt31-2",0.971192947830061,0.988603261555797,0.983774525767768,0.987414950554698,0.974586232976871,0.985832877989539,0.974022382050122,0.989595965422265,0.975548979257266,1,0.987455567065444,0.985711497346166,0.975114852228168,0.984976214060351,0.975665050364966,0.9874879998705,0.983035892160712,0.988122777853156,0.952864300389537,0.987049101280825,0.949716571119756,0.975470462548346,0.982704949700702
"trt311-3",0.967358112265496,0.983284100142651,0.990295151881181,0.987977888032323,0.975903602337243,0.975480943798887,0.975536221008056,0.986330510140166,0.977095931428939,0.987455567065444,1,0.991431245295327,0.977041508526701,0.988568467207354,0.978543602573206,0.989230767773154,0.990372081437361,0.988175995757753,0.958892421681401,0.989170284827927,0.956259456746923,0.975307889765862,0.981760425775936
"trt312-3",0.960112780279131,0.976890361772169,0.985706536871977,0.987264740559428,0.975833591181944,0.96881288545344,0.971899668525045,0.981382113366067,0.973733234564669,0.985711497346166,0.991431245295327,1,0.974444624310803,0.987647584304338,0.976495633615496,0.985307875374989,0.989732859127908,0.984559797550591,0.968718175800625,0.987072746354978,0.966637731006541,0.971119858526908,0.978376111565803
"trt32-1",0.984791016394291,0.973158095061589,0.976193879588168,0.975818637353331,0.990867253132153,0.965818482877613,0.990963974350433,0.974672316154193,0.992634050369981,0.975114852228168,0.977041508526701,0.974444624310803,1,0.973420852111467,0.992754560350741,0.975989483369594,0.97508480958625,0.97527323773904,0.969013281498898,0.975534136984323,0.966298811821742,0.990223553968404,0.96725655829523
"trt32-2",0.964268036647166,0.980377730648054,0.984908297037296,0.986202400922303,0.973206660027503,0.972338905967335,0.972510007653052,0.985098063814428,0.973601814183753,0.984976214060351,0.988568467207354,0.987647584304338,0.973420852111467,1,0.976389323994661,0.990382669299694,0.986425234219311,0.985047697609014,0.958606021846314,0.986412589438606,0.956089929789612,0.971953437964592,0.98745917006156
"trt33-1",0.98389462655764,0.973108668026231,0.976789149038797,0.977220091640862,0.992000358458114,0.965322012036308,0.991887977231553,0.976057670368601,0.993126485941951,0.975665050364966,0.978543602573206,0.976495633615496,0.992754560350741,0.976389323994661,1,0.97788552069433,0.976528321643649,0.975898052420085,0.971613305584821,0.976568204944586,0.96900315376157,0.990520734798205,0.969968037543459
"trt33-2",0.970804658904215,0.986863894063888,0.988163446399778,0.987406524404552,0.974366112877965,0.97992945095123,0.975884809403101,0.989834829124313,0.976717002543444,0.9874879998705,0.989230767773154,0.985307875374989,0.975989483369594,0.990382669299694,0.97788552069433,1,0.986230751382595,0.987834105651736,0.950835167791125,0.987467878453149,0.947858568031145,0.975927706293733,0.986144532128593
"trt51-3",0.964199192396846,0.978848081977442,0.98760265708444,0.986556559430553,0.974311641434934,0.969354223221887,0.972978598614438,0.982591960289004,0.974782535246456,0.983035892160712,0.990372081437361,0.989732859127908,0.97508480958625,0.986425234219311,0.976528321643649,0.986230751382595,1,0.988550275868327,0.962552833206864,0.990354533823673,0.960140322419788,0.974111538200202,0.98045877377094
"trt511-2",0.97306150654799,0.986079270360729,0.985212064900096,0.984300552226931,0.972680875725016,0.981670360285092,0.973621412896544,0.988104944224587,0.975934984368596,0.988122777853156,0.988175995757753,0.984559797550591,0.97527323773904,0.985047697609014,0.975898052420085,0.987834105651736,0.988550275868327,1,0.950684774768411,0.991540564261691,0.947559991494395,0.977986063373397,0.985661022429448
"trt511-4",0.944132232009247,0.936411568312952,0.949639567280591,0.959638892290804,0.975110604152019,0.924964870015459,0.963780262958971,0.943631452387903,0.966490601743491,0.952864300389537,0.958892421681401,0.968718175800625,0.969013281498898,0.958606021846314,0.971613305584821,0.950835167791125,0.962552833206864,0.950684774768411,1,0.957224715128802,0.992600226898035,0.963451079882323,0.944605389968147
"trt512-2",0.969415757273297,0.983208262060279,0.985551228492114,0.985741018751648,0.973909073732939,0.977029240660191,0.973512881393661,0.986147414016757,0.975731096009316,0.987049101280825,0.989170284827927,0.987072746354978,0.975534136984323,0.986412589438606,0.976568204944586,0.987467878453149,0.990354533823673,0.991540564261691,0.957224715128802,1,0.954343525075965,0.976694986011576,0.984309187285362
"trt512-4",0.939940641009782,0.932779110734761,0.946886952760077,0.957236527159442,0.972680308815252,0.920745789586436,0.960821399389332,0.940251471092661,0.963524258799724,0.949716571119756,0.956259456746923,0.966637731006541,0.966298811821742,0.956089929789612,0.96900315376157,0.947858568031145,0.960140322419788,0.947559991494395,0.992600226898035,0.954343525075965,1,0.960257455249725,0.941426210511042
"trt52-1",0.988258618384023,0.97453595609012,0.973564927957144,0.972377527572814,0.987586832844859,0.969889677807083,0.988425798506976,0.976446921943699,0.991201821047116,0.975470462548346,0.975307889765862,0.971119858526908,0.990223553968404,0.971953437964592,0.990520734798205,0.975927706293733,0.974111538200202,0.977986063373397,0.963451079882323,0.976694986011576,0.960257455249725,1,0.971582050343642
"trt52-2",0.967888112116836,0.979593757950687,0.976650955973402,0.977053937756869,0.964629050931867,0.975986400185548,0.965602128050954,0.983802255360741,0.968629449355566,0.982704949700702,0.981760425775936,0.978376111565803,0.96725655829523,0.98745917006156,0.969968037543459,0.986144532128593,0.98045877377094,0.985661022429448,0.944605389968147,0.984309187285362,0.941426210511042,0.971582050343642,1
