"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2"
"ctrl1-1",1,0.901807531834332,0.895825763363553,0.895388157122691,0.915935730170795,0.898264062965222,0.918660393004566,0.904224713941396,0.923375609477134,0.899306686249318,0.896847282473537,0.892841800211541,0.922058302032731,0.896586356515828,0.921057958194178,0.899241989297591,0.896062489966123,0.900942418284732,0.892377043308635,0.896856608780502,0.888799860755611,0.923646754856579,0.893969162204305
"ctrl1-2",0.901807531834332,1,0.922604531729629,0.926055056292474,0.902733731534168,0.923133603390081,0.907111874603428,0.932709568690667,0.905464238835702,0.924726229763812,0.920571579373843,0.91672054961419,0.905290877370142,0.921165068775127,0.904292254892468,0.924479308699406,0.919172346444279,0.922226319991374,0.877741439631693,0.917971974945338,0.875672482409645,0.903971784714387,0.914040511288721
"ctrl11-3",0.895825763363553,0.922604531729629,1,0.925225833087006,0.903861317695308,0.909629259329029,0.907580336079798,0.924482633545698,0.905697017223221,0.916364063535333,0.927036851470438,0.921412185173651,0.907590232110669,0.922564407629512,0.907031340576347,0.924328870431905,0.926258252515219,0.919918792436748,0.882477698469299,0.91877057084904,0.880445786501436,0.9031738899161,0.910441120316311
"ctrl12-3",0.895388157122691,0.926055056292474,0.925225833087006,1,0.907534579032303,0.913981380544842,0.908767591570332,0.930945682399091,0.907261065751383,0.92501047405978,0.925034560041024,0.925636827202674,0.907780946227872,0.925663707253215,0.909302706356495,0.9253619366761,0.925267806956581,0.922675084296552,0.894928433279632,0.922077429918059,0.892411783514196,0.903729184275406,0.913639401245636
"ctrl2-1",0.915935730170795,0.902733731534168,0.903861317695308,0.907534579032303,1,0.895751434667544,0.92843624022036,0.906287932098817,0.92813501927466,0.905487746224238,0.905744523485137,0.907549780516925,0.926567169482267,0.905975068202837,0.929706475579207,0.906301424278684,0.905520001303996,0.903694467258427,0.914613819694164,0.902684735141164,0.912401438815832,0.924865262425886,0.895499166219849
"ctrl2-2",0.898264062965222,0.923133603390081,0.909629259329029,0.913981380544842,0.895751434667544,1,0.8982713574362,0.923786337353798,0.897254627059003,0.922013919622947,0.909875042573543,0.908408575277094,0.897211341699703,0.910586107590999,0.895260077153416,0.913680821556364,0.905097995799086,0.913582375216952,0.871045356157494,0.910290840572917,0.869133564724325,0.896573165280402,0.90753574565454
"ctrl3-1",0.918660393004566,0.907111874603428,0.907580336079798,0.908767591570332,0.92843624022036,0.8982713574362,1,0.910394022941416,0.929144509881382,0.904506637435466,0.906851651515744,0.903398517349361,0.927964388367531,0.906017827824652,0.929753108994399,0.907133365699149,0.904634750697358,0.9037933402432,0.905474765347705,0.902689155090353,0.902853821118922,0.924831834515779,0.895527701739359
"ctrl3-2",0.904224713941396,0.932709568690667,0.924482633545698,0.930945682399091,0.906287932098817,0.923786337353798,0.910394022941416,1,0.90912262738354,0.926568494563192,0.923723550613272,0.922194717152104,0.907693913727213,0.925639246010631,0.909198936444534,0.928730361372261,0.923099656321767,0.924723634504666,0.885468897258868,0.92163687432004,0.882866497229101,0.908679747219239,0.918470166023696
"trt31-1",0.923375609477134,0.905464238835702,0.905697017223221,0.907261065751383,0.92813501927466,0.897254627059003,0.929144509881382,0.90912262738354,1,0.905198050905448,0.906735306604825,0.905209506803748,0.930498802155299,0.905656622468631,0.931129709803128,0.907054751910029,0.907148108412303,0.905698939540461,0.908163385402399,0.904406064573803,0.905751723513586,0.928562810149651,0.898231237781257
"trt31-2",0.899306686249318,0.924726229763812,0.916364063535333,0.92501047405978,0.905487746224238,0.922013919622947,0.904506637435466,0.926568494563192,0.905198050905448,1,0.921518163074085,0.923575882081467,0.905585277853788,0.92221253065539,0.905244558144577,0.920953231580838,0.917818300088729,0.922400995796589,0.893912544707543,0.920727277440345,0.891752580724258,0.904507223375922,0.916647667165287
"trt311-3",0.896847282473537,0.920571579373843,0.927036851470438,0.925034560041024,0.905744523485137,0.909875042573543,0.906851651515744,0.923723550613272,0.906735306604825,0.921518163074085,1,0.928438434377638,0.907876946874332,0.925332040822972,0.909003429074663,0.924864633955438,0.927112069240454,0.92270114516944,0.893418238970026,0.923043330962351,0.891255278559317,0.904938459186557,0.916088748387357
"trt312-3",0.892841800211541,0.91672054961419,0.921412185173651,0.925636827202674,0.907549780516925,0.908408575277094,0.903398517349361,0.922194717152104,0.905209506803748,0.923575882081467,0.928438434377638,1,0.907109363114994,0.924581307816146,0.907995554214602,0.921462952696287,0.9267695264607,0.921987584701737,0.903719877782175,0.921657308689225,0.901908783157498,0.902671612442444,0.915621617086078
"trt32-1",0.922058302032731,0.905290877370142,0.907590232110669,0.907780946227872,0.926567169482267,0.897211341699703,0.927964388367531,0.907693913727213,0.930498802155299,0.905585277853788,0.907876946874332,0.907109363114994,1,0.907346796187982,0.930860196416546,0.906748194048093,0.907479298924753,0.906372636112319,0.910222953358639,0.905521187170184,0.908799270176343,0.927782481594115,0.897966961689509
"trt32-2",0.896586356515828,0.921165068775127,0.922564407629512,0.925663707253215,0.905975068202837,0.910586107590999,0.906017827824652,0.925639246010631,0.905656622468631,0.92221253065539,0.925332040822972,0.924581307816146,0.907346796187982,1,0.908420478283049,0.927351473425971,0.923519941530947,0.921390513803111,0.896319184207942,0.921687577814758,0.893253925110086,0.904354779734004,0.921639821418549
"trt33-1",0.921057958194178,0.904292254892468,0.907031340576347,0.909302706356495,0.929706475579207,0.895260077153416,0.929753108994399,0.909198936444534,0.931129709803128,0.905244558144577,0.909003429074663,0.907995554214602,0.930860196416546,0.908420478283049,1,0.909451677728243,0.908443531986171,0.906042920772292,0.912422056028657,0.905284042384408,0.910711718907103,0.927335545725484,0.899938445320529
"trt33-2",0.899241989297591,0.924479308699406,0.924328870431905,0.9253619366761,0.906301424278684,0.913680821556364,0.907133365699149,0.928730361372261,0.907054751910029,0.920953231580838,0.924864633955438,0.921462952696287,0.906748194048093,0.927351473425971,0.909451677728243,1,0.923177534159927,0.922260408147528,0.888095462375875,0.921167964771754,0.886065466344587,0.906828154230217,0.91921461430091
"trt51-3",0.896062489966123,0.919172346444279,0.926258252515219,0.925267806956581,0.905520001303996,0.905097995799086,0.904634750697358,0.923099656321767,0.907148108412303,0.917818300088729,0.927112069240454,0.9267695264607,0.907479298924753,0.923519941530947,0.908443531986171,0.923177534159927,1,0.92748831302887,0.897364497148345,0.926596976884298,0.894271182945303,0.906700548329862,0.916259468773809
"trt511-2",0.900942418284732,0.922226319991374,0.919918792436748,0.922675084296552,0.903694467258427,0.913582375216952,0.9037933402432,0.924723634504666,0.905698939540461,0.922400995796589,0.92270114516944,0.921987584701737,0.906372636112319,0.921390513803111,0.906042920772292,0.922260408147528,0.92748831302887,1,0.888884848289442,0.927011924160627,0.887099372262018,0.908512053030375,0.918848310691631
"trt511-4",0.892377043308635,0.877741439631693,0.882477698469299,0.894928433279632,0.914613819694164,0.871045356157494,0.905474765347705,0.885468897258868,0.908163385402399,0.893912544707543,0.893418238970026,0.903719877782175,0.910222953358639,0.896319184207942,0.912422056028657,0.888095462375875,0.897364497148345,0.888884848289442,1,0.893468441564327,0.93186287282776,0.907096091225375,0.885983195670161
"trt512-2",0.896856608780502,0.917971974945338,0.91877057084904,0.922077429918059,0.902684735141164,0.910290840572917,0.902689155090353,0.92163687432004,0.904406064573803,0.920727277440345,0.923043330962351,0.921657308689225,0.905521187170184,0.921687577814758,0.905284042384408,0.921167964771754,0.926596976884298,0.927011924160627,0.893468441564327,1,0.89023208327225,0.905974524572499,0.917020351059456
