symbol,gene_id,tested_module_membership,curated_NRF2_context_member,primary__day1_vs_control__log2FoldChange,primary__day1_vs_control__lfcSE,primary__day1_vs_control__stat,primary__day1_vs_control__pvalue,primary__day1_vs_control__padj,RIN_ge6__day1_vs_control__log2FoldChange,RIN_ge6__day1_vs_control__lfcSE,RIN_ge6__day1_vs_control__stat,RIN_ge6__day1_vs_control__pvalue,RIN_ge6__day1_vs_control__padj,68_3__batch1__day1_vs_control__log2_normalized_ratio,68_3__batch2__day1_vs_control__log2_normalized_ratio,69_2__batch1__day1_vs_control__log2_normalized_ratio,primary__day3_vs_control__log2FoldChange,primary__day3_vs_control__lfcSE,primary__day3_vs_control__stat,primary__day3_vs_control__pvalue,primary__day3_vs_control__padj,RIN_ge6__day3_vs_control__log2FoldChange,RIN_ge6__day3_vs_control__lfcSE,RIN_ge6__day3_vs_control__stat,RIN_ge6__day3_vs_control__pvalue,RIN_ge6__day3_vs_control__padj,68_3__batch1__day3_vs_control__log2_normalized_ratio,68_3__batch2__day3_vs_control__log2_normalized_ratio,69_2__batch1__day3_vs_control__log2_normalized_ratio
ATF4,ENSG00000128272.10,,True,-0.14319972142086,0.185257194117344,-0.772977924572017,0.439535445390621,0.67218556796776,-0.226244292147778,0.126888320589231,-1.78301904459896,0.0745832032366413,0.254884181141827,-0.359976933923425,-0.288640506789308,0.195576725896659,-0.247585164142855,0.185204939819382,-1.33681728135496,0.181282286815777,0.6804535296653,-0.247746198730632,0.126593933905269,-1.95701477225617,0.050345731597291,0.244092421273041,-0.324106608341816,-0.138403882451309,-0.284814836347419
BACH1,ENSG00000156273.11,,True,-0.294208236231485,0.194341911119978,-1.5138692139847,0.130059013680386,0.329372991502592,-0.0576739326071679,0.13252718281339,-0.43518568329018,0.663427653581483,0.84590604573487,-0.183548438078864,0.0280545053164669,-0.732707565049378,-0.0289332798058822,0.193732540719656,-0.149346515037712,0.881280213113928,0.988211059009384,-0.0230224453318132,0.131232415552366,-0.175432611180021,0.860739717893422,0.961318602848361,-0.0812002494616646,0.167210827587178,-0.152547777198114
CAT,ENSG00000121691.4,,False,-0.353268772424746,0.18470845261786,-1.91257501981037,0.0558024801506555,0.190149108425736,-0.292274516409683,0.150586757370275,-1.94090450922596,0.0522698609732186,0.204383851945927,-0.465121623186478,-0.313272890800295,-0.274975161838077,-0.0131612313049365,0.18242223488207,-0.072147078526062,0.942484860569431,0.995461208667522,-0.0142148569805712,0.146414290214281,-0.0970865409364573,0.922657669143207,0.981694039255948,-0.118749553841848,-0.0401667147482332,0.115760998710263
CHAC1,ENSG00000128965.7,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,-0.157493149633886,0.321789374153639,-0.489429304644132,0.624537793436299,0.807399161666655,-0.728510177959214,0.204113595787851,-3.56914087543881,0.0003581538077193,0.0070873579499481,-0.420196957981699,-0.848885578529831,0.581597893498014,-0.129812291251427,0.320877353785884,-0.404554231452708,0.685805206912394,0.948037516249261,-0.177197312750254,0.195696922626126,-0.905468059345954,0.365217473810382,0.703295358776726,0.415856046827658,-0.311098679018114,-0.663718584819989
CHAC2,ENSG00000143942.4,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,0.173166413317769,0.33300397298235,0.520013055000239,0.603054475985143,0.794087418922484,0.30679666079051,0.293853309834732,1.04404698032177,0.296463654173579,0.571886924551989,0.242678524309624,0.777982321781762,-0.327216721443843,0.119633622766094,0.329689866775232,0.362867151290563,0.716704126120434,0.956541503323602,0.116050064128262,0.286459519170841,0.405118546816562,0.685390374075559,0.89448750528684,-0.207307607342021,1.01528685959472,-0.296608782896904
CHD6,ENSG00000124177.10,,True,-0.589652045815777,0.200513557794666,-2.9407091086559,0.0032746189267164,0.0268389340471757,-0.446460308088822,0.148261640008129,-3.01130021268038,0.002601315230586,0.0283974494348548,-0.458729090052563,-0.575534188699722,-0.739568984066471,-0.215309828571697,0.200256637072886,-1.0751695010904,0.282298847476458,0.784680459818469,-0.222063406786858,0.1477260325655,-1.50321106531036,0.132784625004946,0.426629094373425,0.0116933263794436,-0.685881768296362,-0.0125762655153761
CNDP2,ENSG00000133313.10,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,0.562848582224999,0.180055968729267,3.12596458866244,0.0017722289061354,0.0173355374150312,0.425646021534253,0.135369778747795,3.14432087775858,0.0016647279064986,0.0210494047424218,0.733041795258737,0.315336599420037,0.630665743474117,0.489408931957545,0.179867460996213,2.72094201612069,0.0065096178683114,0.203532302934311,0.485138242709874,0.134420556113362,3.60910754081941,0.0003072522265576,0.0101240087236784,0.688971640834211,0.470120103894693,0.305547211049536
CREBBP,ENSG00000005339.8,,True,0.288770961522588,0.181211817334288,1.593554801064,0.111035784868804,0.297994045649184,0.305883898819505,0.137859810757261,2.21880399471964,0.0265000621351871,0.131870692638849,0.414313018268572,0.207741103140226,0.257583519382253,0.235928628859188,0.181112244998068,1.30266525524933,0.192689068875599,0.695321009191295,0.236961034075493,0.137503706249787,1.72330652415313,0.0848331085788715,0.3301250145102,0.588288346014734,-0.0699674431964272,0.179759948559148
DERA,ENSG00000023697.8,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,-0.246360328332897,0.394952359391954,-0.623772266387214,0.53277715563119,0.74364054074349,-0.206913028741568,0.367104064951982,-0.563635896455226,0.573001951874403,0.79030852791889,0.252510337344045,-0.537518646364537,-0.64648032974516,0.34019302117893,0.384144370829559,0.885586375883327,0.375840455793713,0.842037586160989,0.337655952645353,0.346764570850685,0.97373255813595,0.330189347040477,0.674393431605942,-0.0925374287088401,1.13154970612322,-0.125196525844147
EP300,ENSG00000100393.9,,True,0.14452157469901,0.187892629506553,0.769171069022535,0.441791762747253,0.673852689390396,0.231292912936818,0.133120701221821,1.73746765765162,0.0823046579824859,0.271237378869218,0.37658216763182,0.161805920523495,-0.104877184512057,0.0874356187841792,0.187794426654875,0.465592192173343,0.641507432785341,0.935948722600098,0.0877953728238883,0.132802538863787,0.661097096298276,0.508550047330384,0.803772135868479,0.368091645494165,-0.221105971111511,0.106778051446105
G6PD,ENSG00000160211.11,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.890766713617435,0.284611602538783,3.12976247514735,0.0017494770030974,0.0172052238603084,0.382308460946341,0.236866388755954,1.61402579299775,0.10652183173705,0.319535284822114,1.10465618392202,0.463732237967299,1.09378594993872,0.907977820835359,0.283986155674079,3.19726086181967,0.0013873939611089,0.110253961341785,0.843962934800627,0.232041691594536,3.63711766192149,0.0002757060068184,0.0095420101556959,1.72550355593419,0.682602754587322,0.198315590528871
