"symbol","statistic"
"DLK1",16.7534548249303
"SST",14.8621913379703
"LINC00473",13.3344994271631
"VGF",13.3316805120284
"TH",13.1613174835364
"NPAS4",11.8327559285115
"ETV4",11.1758836092474
"PTPRH",10.6864536393424
"RP11-867G23.10",10.5935435196213
"NR4A1",9.77753280698729
"UTS2",9.72737073414302
"CYSTM1",9.65760888071905
"BDNF",9.47309017009954
"FOSB",9.09589922383594
"DUSP4",9.0066859517606
"EMD",8.98781501805461
"CALR",8.96879464600002
"ODC1",8.7889091642993
"RP11-466P24.7",8.60225929719075
"TSC22D3",8.54904194967589
"PAK6",8.47804502348146
"PPARGC1A",8.21931519044835
"CNN2",8.09629345847179
"DUSP26",8.05127266635262
"DUSP5",7.99228350809526
"EGR1",7.93280322271605
"SNAP25",7.90872596490249
"FAT1",7.88187384204883
"ZCCHC12",7.81225275492415
"FABP3",7.76390510785757
"LGI2",7.61474105142329
"GNB4",7.4729414470133
"CSRNP1",7.45869072848288
"ARHGDIA",7.45144732165865
"STAC",7.44886980310456
"NSMF",7.28948631566343
"SH3GL2",7.19735663447537
"TYRO3",7.17249561299358
"MAP1LC3A",7.1264155234012
"ALDOA",7.11340089149424
"SIK1",7.10187916396778
"PDE3A",7.08465926610351
"RBP4",7.08200426545837
"WDR1",7.06826837489665
"SPAG4",7.0666345001665
"ZNF259",7.06633465011552
"SPRY4",7.058375261159
"RASGRP3",7.04585490979453
"FAM96B",7.04376414632772
"TP53INP2",6.91630696119757
"SLC6A17",6.83032773290103
"B2M",6.81117359500336
"GNG4",6.72274643807035
"POLR2E",6.70716274614986
"ETV6",6.64983373874554
"CLUH",6.64139436913767
"NPTX1",6.63827340822975
"HSPA8",6.61789517829521
"SLC25A22",6.60403189311454
"FRAS1",6.57735635470164
"HSPBP1",6.57513452677712
"MYH9",6.527646958586
"IL13RA2",6.47543489667579
"HSPB1",6.47137963142446
"GPX4",6.45942873644085
"MFGE8",6.44439633580791
"GABRQ",6.40994669903963
"CDC37",6.40658087511522
"EDF1",6.39705746098616
"BAIAP3",6.35513470664503
"ECSIT",6.34514318014826
"HRAS",6.31467326801629
"BANF1",6.31242316874334
"MGLL",6.29415226962768
"GUK1",6.28459429118382
"ANXA2",6.28089040756761
"CCDC86",6.27647332743485
"GPCPD1",6.25665405366438
"PSMD8",6.22790836635177
"BTBD6",6.21169942779143
"UTP20",6.20580423128449
"PUF60",6.16393984122559
"GYS1",6.13210883671185
"MAMLD1",6.11970859931033
"DIO3",6.11914490852154
"CSDC2",6.11863045730309
"FOSL2",6.09861438872773
"BPIFC",6.08648959862272
"HSF1",6.05190670622169
"PTPRN",6.04686002656666
"TRMT1",6.03598786322262
"FAM50A",6.01059654054915
"NOP2",6.00670960501274
"IRAK1",6.00566810692027
"FNDC4",5.99523268471018
"FLNA",5.99260282932548
"REM2",5.98316676594901
"PENK",5.95195985480513
"STMN3",5.93555745041655
"PTN",5.91753267054899
"STIP1",5.90832218632909
"MAPK8IP1",5.89929760664
"PARD6A",5.8901374450082
"TXN2",5.87355626338063
"TSR3",5.87135516308823
"GMDS",5.86098161049247
"UBE2M",5.85861109526038
"NTHL1",5.8572978199461
"PDIA4",5.8490563336024
"FARSA",5.83724473672764
"EEF1A2",5.82894370658182
"GNB2",5.82487471712013
"SRM",5.82345127605201
"DGCR6L",5.8144889880855
"TOMM40",5.81085526995223
"NFKBIB",5.79792730896766
"HMGN5",5.79449324903335
"DCXR",5.79150952385955
"CEND1",5.79118733261611
"SNRNP25",5.78693565259486
"CYC1",5.77302414529074
"GNA11",5.76797941475126
"FKBP4",5.76152643605128
"CYP26B1",5.75397907193231
"KIF17",5.74964807649203
"ABHD17A",5.73305294334866
"FAM46A",5.7323514917
"SRF",5.7166993594719
"POLRMT",5.71383749954649
"APBB1",5.70305980597664
"SPSB4",5.70212167911736
"MMP1",5.7000531554831
"ATP6V0E2-AS1",5.69576330039387
"DHX37",5.69062136976521
"BTBD2",5.68839147355883
"PPIB",5.68377441737433
"DGKZ",5.67902971068184
"AC007620.3",5.67616375530861
"FOS",5.66905681987983
"KCTD12",5.66505953494326
"C7orf50",5.66126420458621
"DVL1",5.65159551862505
"MRPL54",5.6381319403731
"GIT1",5.63164466359785
"UBE2S",5.62945946929498
"USP13",5.62534412192849
"SLC27A3",5.61943094025153
"SLC35A4",5.61174427129457
"SCRIB",5.60405083671638
"PRELID1",5.59672763009749
"NR4A2",5.58864787819719
"SURF2",5.57756113523158
"ATP6V0D1",5.57666340310164
"MAP2K2",5.57617272957119
"KCNK9",5.55969101563864
"CTNNBIP1",5.55053246933893
"NOC2L",5.52937496701442
"CYCS",5.52584561385461
"PHB",5.52196073603775
"SZRD1",5.51962843117528
"NCS1",5.51818543573083
"PLOD3",5.51794164525806
"TRIM28",5.5170934547012
"ENO1",5.51583035892913
"PER1",5.50590461370438
"PPP4C",5.50327460884164
"PPP1CA",5.50254251619311
"MAP1S",5.49508129469626
"NUDT14",5.49335253859598
"TPBGL",5.49081816736617
"RNH1",5.48643492914117
"PPP1R15A",5.48214914480113
"EIF5A",5.47950154731343
"TRMT112",5.47936574756147
"BEGAIN",5.44257109542904
"NUDC",5.43739066675792
"DPP9",5.43450368043733
"TLE1",5.43361422740452
"ARHGAP36",5.43321727835967
"EIF3I",5.42893490156157
"HEMK1",5.42757920702954
"TIMM13",5.42731624715962
"DRAP1",5.4217709863262
"FBXW5",5.42030987409778
"DDN",5.41769189878136
"PKN1",5.40458717400286
"GPSM1",5.40352975984255
"FLOT2",5.39941152408086
"CA5BP1",5.38975203770332
"SGTA",5.38820120059048
"HDAC5",5.3865288733082
"CCDC94",5.38315121418121
"MRPL28",5.38278460359566
"SLC4A3",5.38213590136246
"PHPT1",5.37887178609572
"PFAS",5.37208168231
"APOA1BP",5.37150076843398
"ALYREF",5.37077754875747
"SERPINB8",5.36791802731054
"VAC14",5.36509288613801
"RTL1",5.35110532734856
"AES",5.3443603024847
"RAC3",5.3395617505884
"SHCBP1",5.33352316320745
"TAGLN",5.32713165485425
"OSBPL10",5.32640535555905
"MAPRE1",5.32528647226993
"COX8A",5.31990000343032
"BRF1",5.31959284472978
"NTMT1",5.31701233296339
"RBM42",5.29840936510421
"DUSP8",5.29425038156671
"GAPDH",5.2859764330334
"PEA15",5.27716084404602
"TRIM46",5.2768592145063
"EPN1",5.26101390370837
"FAM149A",5.26074249183225
"R3HCC1",5.25884524853874
"DAAM2",5.25093085128331
"SLC2A4RG",5.24472630360199
"PSMC3",5.24413604103947
"IGFBP2",5.24359254784326
"RBM14",5.24067374734913
"ITPA",5.23643830630937
"CCT5",5.22614680459233
"OPA3",5.22160439396468
"DDX39A",5.21284300919169
"F12",5.21171868316933
"KLC2",5.21123948727405
"ATP6V0C",5.20877828078215
"PPDPF",5.20708898172522
"HYAL3",5.2065262620545
"SPRY2",5.20375733114313
"ARMC6",5.19769690934435
"REXO1",5.19740310012185
"TBCB",5.19409612040758
"RBBP8",5.19356057917152
"MED29",5.19272465888509
"C9orf142",5.19202261430946
"PRDX2",5.1889697496236
"AHCY",5.18629608160635
"KXD1",5.18621435218641
"NRIP3",5.18471115186418
"ZC3H3",5.18076821581633
"PRKAR1B",5.17988512957257
"CHGA",5.17985958595833
"C19orf53",5.17843326908407
"ACOT7",5.16970266470955
"CIB2",5.16690027644884
"MKLN1-AS1",5.16503068827616
"CORO1B",5.16264908192198
"STK32B",5.16260676980178
"PPP1R37",5.15878243833011
"CAMK2B",5.15654573466484
"CEP170B",5.14617627283548
"TMEM222",5.12846347632536
"ARHGDIG",5.12797267193222
"SAMD4B",5.11750532402305
"KLF4",5.1148703421053
"RRP12",5.1084931467058
"PITPNA",5.10570421355291
"RYR3",5.09840136810786
"ADRBK1",5.09709109630591
"NAPA",5.09504464404484
"RBM10",5.0914745865931
"CDC34",5.08357401240157
"RRP7A",5.08047808001753
"NCLN",5.07994427512213
"MPND",5.07724478866771
"RPUSD1",5.07472775976425
"CIDECP",5.07334619333103
"DCAF15",5.06881252062017
"PRPF6",5.0534184444116
"PRDX5",5.04943021220892
"ADRM1",5.0477232673551
"KCTD17",5.04554343045737
"NDUFB7",5.04205143107447
"GCAT",5.0414403977624
"MFSD10",5.04080308931721
"AC005789.11",5.02856658931673
"CKB",5.02507029654261
"JUNB",5.02406355275881
"ESRRA",5.0220468522529
"SF3A1",5.02173710072599
"KIAA1644",5.02037845665083
"ZNF768",5.01935152451314
"EIF6",5.01794496391246
"SH3GL1",5.01499983774862
"LINC00617",5.01360403471089
"CTD-3193O13.9",5.01354445023568
"MLLT1",5.01199394812002
"TSSC4",5.01061686355155
"GFER",5.00971419260157
"TRAPPC1",5.00707801547993
"FAM73B",5.00512030779343
"BAD",5.00445689332148
"MGRN1",5.00264154200786
"CORO1A",5.0024557028197
"MEA1",4.99746458159181
"ZYX",4.99068645806441
"MT3",4.98625288005237
"LAMTOR1",4.97885595911448
"RANGAP1",4.97870937653627
"CHMP1A",4.9747956973868
"C19orf54",4.97381145542348
"ELOF1",4.96912449141423
"FAM131C",4.96857044618696
"KPTN",4.96799077425219
"NACC1",4.96645635944316
"TONSL",4.96291052710575
"NUDT16L1",4.96219245206578
"SCAF1",4.95328266927327
"MLST8",4.95288727675836
"PLEKHJ1",4.95146831521922
"CITED1",4.94564263161722
"MYL5",4.94528944390753
"ADARB1",4.94188876589555
"PITPNM1",4.93577875425748
"TMEM259",4.93310695076428
"STAG3L4",4.92464214977706
"IPO13",4.9238286221071
"RPS19BP1",4.92202131362385
"AF003625.3",4.92169375119519
"STK40",4.92146613970076
"CCDC137",4.91959247583327
"SUSD5",4.91903370677169
"SNRPB",4.91621251896698
"CDR2L",4.91290914035469
"HPX",4.91152402552303
"STX4",4.91034474539371
"GAD2",4.90952293014716
"AVEN",4.90732669537215
"ETNK2",4.89419389723896
"DIO3OS",4.8926013056434
"TRMT61A",4.88952543903148
"SEPT5",4.88855085809664
"OGDH",4.88281883648949
"ATP6V0E2",4.88051718694761
"PEF1",4.87760875780894
"NOLC1",4.87449453085007
"FAM213B",4.87330811780216
"FAM20A",4.87121153468863
"FAM211B",4.86998305199848
"CRH",4.86826948779295
"SPATA2L",4.86755831758638
"GPATCH4",4.86542409190541
"POLR2I",4.86413821337287
"POLR3B",4.84988742623956
"P2RY11",4.84711309562753
"AC092171.4",4.8471101589963
"ECEL1",4.84546131393419
"RNF40",4.84363467740455
"SLC52A2",4.83799091027896
"TMIE",4.83205222008459
"H3F3B",4.8306026955399
"INO80E",4.82745614338808
"CCDC85C",4.82474783588277
"URM1",4.8240954249389
"HMOX2",4.82128431002291
"RALY",4.82036631436108
"VPS18",4.82006593968659
"SH3BGRL3",4.81469068937684
"GPS1",4.80425153606534
"MIR4435-1HG",4.79751463499946
"ZNF385C",4.78845013273463
"C16orf45",4.78139146390602
"GSTP1",4.78115179455295
"RHOT2",4.77847425732647
"MBD3",4.77808431861497
"GADD45GIP1",4.76658380397268
"BYSL",4.76453670187436
"NACAD",4.76410606226068
"RPL8",4.76382334982522
"FSCN1",4.76319906499255
"NTS",4.76233118416612
"IQSEC3",4.75709785154586
"TUFM",4.74539303538687
"NKIRAS2",4.74233340429827
"ATAD3A",4.74087488065809
"AP1M1",4.73977256596911
"EDC4",4.73910545245138
"FKBP2",4.73590199195016
"GRWD1",4.7296403745874
"LYPLA2",4.7291882013611
"PRPF19",4.7287033758259
"PDGFB",4.72310674443585
"SF3B5",4.72096843933363
"PPP1R14B",4.71989336708183
"SCN1B",4.71892456343902
"PDLIM5",4.71860991973974
"CIC",4.71779554736554
"CENPB",4.71631894644488
"ARVCF",4.71630185664075
"ELFN1",4.71553505422709
"SLC22A20",4.71370611230969
"THOP1",4.69797533277494
"RRP9",4.69699139088647
"RPS6KA4",4.69442238464786
"MRPL41",4.69278513896949
"CAPNS1",4.68266118376226
"BAIAP2",4.68175695832698
"XAB2",4.67033562790139
"SLC25A5",4.66262240833466
"IMPDH1",4.66185363909106
"ZNF414",4.65860911765827
"CARTPT",4.65704219095162
"TRAPPC9",4.6498075170149
"AURKAIP1",4.64797286152421
"ZNF48",4.63933751342572
"TTBK1",4.6387373331974
"RFNG",4.63738412969195
"CYB5R3",4.63649477795497
"BTBD9",4.63531664731644
"FAM207A",4.63344993399867
"C17orf70",4.63273161802193
"CCDC97",4.631006576386
"TMSB10",4.62918383795452
"ARL8A",4.62259631784802
"MDK",4.61984730072283
"BCL7B",4.61920805189126
"SLC6A8",4.61672041365538
"SNHG15",4.61624994712397
"FNDC9",4.61588720135961
"RELB",4.61452054942625
"MIDN",4.61377788939228
"SBNO2",4.61161689444195
"GPR3",4.61135636337328
"IGDCC3",4.60742537701445
"MRPL23",4.60723750567432
"NCDN",4.60330309778874
"PAFAH1B3",4.60114457236731
"SAMD10",4.59577137369209
"RHOBTB2",4.59085747495128
"GBE1",4.58882087081568
"GCH1",4.58590834241494
"RAB31",4.58177068176177
"RP11-82L18.2",4.57971331302591
"CLN6",4.57950915984643
"IL22",4.57862665450249
"CAMK2N2",4.57498756711356
"ZBTB9",4.57394394437216
"NDUFS6",4.57181603612171
"GPKOW",4.56779114230023
"PPP2R1A",4.56554932214156
"DIRAS1",4.56404254782501
"SF3A2",4.56359607702022
