"symbol","statistic"
"KIT",7.80911713725024
"SCD5",7.20689241494058
"TUBB",7.13975907839945
"MXD4",6.88701806700228
"TUBB2B",6.76044114812171
"YPEL1",6.56760940189167
"ENC1",6.47275451451645
"COL13A1",6.40461392975387
"TUBA1A",6.192498253522
"ADAMTS7",6.17662254427935
"PDCD4",6.0828925826924
"SYT6",6.07477648820532
"RP11-395I6.3",6.05204047806451
"BCAS3",5.95802681138187
"YPEL3",5.81030303051704
"EPHB1",5.72484318545621
"RPH3A",5.65962779592323
"IGSF9",5.65089673498885
"TUBB4A",5.61297986512677
"IGF1R",5.56806295632827
"RP11-317P15.5",5.5282903585162
"CXXC11",5.50161556237919
"ISLR2",5.48825996599162
"GALNT18",5.47688889629889
"RPL3",5.44325942394388
"C10orf85",5.41905848654967
"SCGN",5.41345597268425
"GPC2",5.34794443440722
"PRRT2",5.32590872519038
"EEF1A1",5.27727497383224
"TMEM74B",5.2680459953454
"AC084018.1",5.23158459530516
"TUBB4B",5.21308251301612
"SH3GL3",5.19146092521861
"CNTNAP4",5.17022900894431
"PNRC1",5.10070921993403
"SHD",5.04113908183422
"EPHB6",5.03168525838908
"RIT2",5.02968909305227
"TRANK1",5.02911381494967
"PLA2G6",5.00776633794886
"MSMO1",4.97503984516644
"BTN3A1",4.96691529541186
"KATNB1",4.96442890757806
"SLC6A1",4.93074894841468
"ULK1",4.93031967098148
"GNG8",4.91929577846109
"RP5-1126H10.2",4.9114654306624
"CADM1",4.87419501875532
"DACT1",4.86785109347834
"RNFT2",4.8597419068426
"KLHDC9",4.78128952491052
"CTA-390C10.10",4.78086667508262
"RAB26",4.76981528723808
"ZDHHC22",4.75823424043064
"FABP7",4.74545042008656
"B3GAT2",4.73084937195857
"LDB2",4.72417531857107
"RP11-196G18.22",4.70993304956043
"ST6GAL1",4.69301479053852
"C14orf1",4.67671940368893
"MAP7D1",4.67351742868296
"TUBB2A",4.66731804865731
"LPPR1",4.65070928037633
"GPM6A",4.6448924556247
"YPEL2",4.6393255913534
"RPL13A",4.63503363022851
"PDZRN4",4.60718350950803
"VSTM2L",4.60243815114223
"SULF2",4.60229765283081
"CTD-2636A23.2",4.58174614817926
"TMEM178A",4.56137358311774
"RP5-1074L1.4",4.54167431216116
"NELL1",4.53394357382619
"COL9A1",4.53274792439937
"TMEM97",4.52837781110813
"TUBA1B",4.52321696234814
"CADM3",4.52024187617482
"GRIA1",4.51845518476718
"SMTN",4.51588669006506
"YIPF3",4.50688655467757
"SLC8A2",4.49428395316832
"ATRNL1",4.49195194637519
"IFT27",4.48777398014408
"N4BP2L1",4.4875970749767
"BRAT1",4.48259903841793
"KLK10",4.47837059240447
"KCNIP2",4.47809122418138
"RP11-999E24.3",4.47465069468344
"AC007362.1",4.46346321046969
"ARID5B",4.44475466370964
"CACNA2D3",4.44365213261878
"GRIP2",4.43826035137191
"GFRA2",4.43477923346506
"PRKCG",4.43188349457026
"SLC44A2",4.42643625546978
"MYCL",4.41441540671113
"SEC14L5",4.39333664928168
"SIRPA",4.38672205949077
"SCN1A",4.37886997011886
"WSCD2",4.35747496448656
