"symbol","statistic"
"DIO3",5.94226443886177
"NTHL1",5.46631051072058
"CD320",5.45205632520529
"GNG8",5.30938243436033
"R3HCC1",5.28227873286944
"RPS9",5.25773460422253
"TBCB",5.17871543156214
"CTD-3193O13.9",5.15139029276099
"C7orf43",5.12270502166376
"DEAF1",5.0840229997592
"ATP6V0E2",5.08040307896601
"SLC25A6",5.06344367319744
"JUP",5.05513398343007
"VAC14",5.01879412678166
"ECSIT",5.01369469541286
"MT3",5.00773260751563
"GNG3",4.99440243958271
"CUEDC2",4.97181931977292
"FIS1",4.96965258339327
"RPS2",4.96071134002354
"MRPL54",4.95554856776743
"KCTD17",4.95191180018029
"TMSB10",4.94263748109478
"PPP2R1A",4.93802994329462
"PRKAR1B",4.92135268944244
"ARHGDIA",4.90214007681188
"SRM",4.88291578357153
"PPP1CA",4.86487771032666
"DDX54",4.8459578274624
"PRDX5",4.84326109743575
"AHCY",4.81840797928092
"CALM3",4.81210248070166
"FBXL19",4.80170284883395
"ALDOA",4.79951507796033
"BOK",4.78739737252139
"GADD45GIP1",4.77582851656203
"ACOT7",4.77007942184091
"PSMC3",4.76008313036993
"KCNF1",4.75913250842728
"RPL8",4.75637291445746
"LY6E",4.74949479110422
"RPS28",4.7403128231576
"CIB2",4.732804199993
"PHPT1",4.73027428756806
"ARL8A",4.6966635007831
"TSR3",4.69483614537955
"SGTA",4.68289936463599
"STMN3",4.67333406287393
"ACTL6B",4.66692871778592
"RPL28",4.64771667506162
"RPL36",4.64718643184381
"EDF1",4.64587000797072
"PPP4C",4.62308009989833
"LDOC1",4.6190474115055
"PPP2R4",4.61857800012493
"PRDX2",4.60879185619374
"COA3",4.60274899487135
"PRR5",4.59963364945765
"POLR2I",4.57367848426093
"FRS3",4.56999690688764
"SLC25A11",4.5618239625819
"LL22NC03-86G7.1",4.55763649461621
"SNRNP25",4.55643637454608
"ARNT2",4.55621063907203
"CTC-503J8.6",4.53954742050266
"CHCHD6",4.53277380773335
"FIBP",4.53212346508461
"PUF60",4.53122189278904
"GSK3A",4.51955842180504
"RP11-161M6.2",4.51925656377586
"RAB3A",4.5135004855399
"SH3GL1",4.50749056095851
"SCAF1",4.50461344942125
"NDUFB7",4.5020494857002
"H2AFY2",4.4993529310125
"MEA1",4.49225945274708
"PSMB6",4.48930570594549
"COTL1",4.47880298719807
"RAC3",4.47207021064383
"REXO1",4.47055386729741
"BTBD2",4.46927972727941
"MLLT1",4.46621203581678
"SAMD14",4.46469352642733
"SEPT5",4.45379657744099
"SMARCA4",4.44793304651238
"FAM195B",4.44328739306595
"C11orf68",4.44081632293829
"MPND",4.4386417729798
"MAP2K2",4.42625137523384
"CCDC101",4.42438926902595
"CCDC124",4.42187793434991
"TXN2",4.41748392803856
"RNF187",4.41693489601234
"GPX4",4.41292598114858
"DPYSL4",4.40895745947675
"USP5",4.4069635501856
"AES",4.40514118015151
"LYPLA2",4.39982028832625
"FARSA",4.39276675163914
"C9orf16",4.39127568058084
"CYC1",4.38698636651013
"DPF1",4.38525557626389
"EIF6",4.38442920090333
