"symbol","statistic"
"TUBB",7.64150038826388
"YPEL1",7.38930265061254
"COL13A1",7.38828004392666
"TUBB2B",7.34122971977352
"TUBA1A",6.74244673851267
"ADAMTS7",6.42829570728174
"YPEL2",6.40111565440506
"YPEL3",6.22537096907238
"TMEM74B",6.13571398956631
"SCD5",6.0354638893955
"MXD4",5.90534915737055
"CTA-390C10.10",5.8440125176033
"GRIP2",5.70321956272337
"RAB26",5.68594250277313
"SERPINI1",5.68270288960688
"TUBB4A",5.67589911869897
"TUBB4B",5.55496105913156
"RIT2",5.53263585903551
"NRSN1",5.52132411113241
"CRIP3",5.51988100932189
"TUBA1B",5.47024972120969
"TUBB2A",5.41293830245485
"PCDHGC4",5.41287880090764
"BCAS3",5.41063115084271
"SNX32",5.33916495550861
"NPFFR1",5.31475111709886
"TCP11L2",5.27061214742364
"BTN3A1",5.24522918848259
"SYT6",5.2147455870531
"PRRT2",5.19810655241138
"SEMA4G",5.19292880201338
"EEF1A1",5.16123111107262
"RP11-627G23.1",5.1598394781134
"CADM3",5.14542502045414
"ZDHHC22",5.13083795277432
"GPC2",5.11453163760482
"PLA2G6",5.10764113079287
"EPHB1",5.068564100588
"C10orf85",5.05189134875975
"KIT",4.99542037379153
"MDGA1",4.99043344566925
"ATRNL1",4.98810665086079
"SLC44A2",4.97719430382282
"CALCOCO1",4.96357659029725
"RP11-317P15.5",4.94221643497333
"SLC6A1",4.93402095496768
"SIAH3",4.90943478717932
"TUBA1C",4.90275780324479
"SEC14L5",4.88190500317728
"PDCD4",4.87914299523385
"CXXC11",4.86965679847068
"IFT140",4.85286758143237
"B3GAT2",4.85110896076283
"NEGR1",4.83318103025829
"WSCD2",4.82829415757104
"ULK1",4.80878877313608
"KCNAB2",4.77662098717948
"SCUBE1",4.76383789694033
"RP11-660L16.2",4.74305435880675
"AC084018.1",4.7359903298564
"CPSF4",4.72579708656166
"MICU1",4.71277128278198
"ISLR2",4.71068067353045
"ST6GAL1",4.70494462780835
"COL25A1",4.70284622901857
"AC144831.1",4.69937116159146
"COL9A1",4.69929686276577
"ASIC1",4.693708936247
"CHST2",4.67698306726178
"ENC1",4.6706663932201
"SLC8A2",4.66738025599174
"RFX5",4.64341829321959
"HTR2C",4.63717797085313
"C15orf27",4.5894434408839
"SEC31B",4.58566984707682
"PPP2R3A",4.58291664023914
"GPM6A",4.58003707047244
"STX16-NPEPL1",4.57561489392817
"SEMA3F",4.57442653421406
"MAOA",4.53476751448711
"CAMK2A",4.5344601848749
"KATNB1",4.51953312614191
"CACNG8",4.51715712328057
"RPL3",4.50595987001785
"SCN1A",4.50253935090874
"PTPN18",4.48439989254949
"CA11",4.47958499678999
"CNTNAP4",4.47351299780778
"PPOX",4.47141161885954
"WNT7A",4.46473931835222
"NSG2",4.44961723820847
"RP11-999E24.3",4.43553274537464
"TMEM91",4.43323607594742
"NDRG2",4.42911100652466
"MVD",4.415886773348
"N4BP2L1",4.4041341853727
"GALNT18",4.39435844790117
"ETNK1",4.35899692883364
"RP11-355I22.7",4.3381792734795
"SLC19A1",4.33632845821706
"LDB2",4.33620571036754
"MAN1C1",4.33080345334131
"NEIL1",4.33037660995218
"STK36",4.3251035312851
"LPAR2",4.32459193320908
"RP11-37E23.5",4.31629329770261
"FGD3",4.31437705072641
"NIPAL3",4.31113989274474
"RPL13A",4.30869533480616
"COLQ",4.30168497309988
"CLSTN1",4.29570924559992
"PLXNC1",4.29193392850514
"GRM2",4.28908641843342
"RP11-252A24.7",4.28002928662476
"HPCA",4.27517041866339
"SLC6A7",4.27073645874873
"ATP8A1",4.26770075007847
"EMID1",4.26640914691389
"SEMA3C",4.2641080279002
"GRAMD4",4.25088966297506
"PRKCG",4.24290804740134
"H3F3A",4.20984104082904
"SEMA5B",4.20848792450411
"SMTN",4.20218999610977
"NXPH3",4.19847649901984
"MAP7D1",4.17710700967358
"RELN",4.15643095526095
"SCGN",4.14628372410798
"ELMOD1",4.14263404527441
"OPCML",4.13824779745899
"RP11-125B21.2",4.13823436095233
"RPS6KA5",4.13621514878434
"MYCL",4.13084828086298
"POMGNT1",4.12997383406234
"RGL2",4.12385769849048
"SEMA6C",4.10957765965235
"RNF145",4.08411540992151
"TMEM158",4.07205348013817
"RASSF4",4.0702847695937
"FBXO32",4.06261467593978
"HIST2H2BE",4.05908080176157
"UNC5A",4.05594799177043
"WBP1",4.05501708995323
"CGREF1",4.04326550492333
"RAD51-AS1",4.04257523783297
"CDH20",4.03483038265442
"SORCS3",4.0315463173227
"CPNE5",4.02625941566386
"SH3GL3",4.02555368705925
"BRAT1",4.01942064459647
"KLHDC9",4.0172665323903
"NTN4",4.01657920838219
"SYN2",3.99819667802927
"TMC2",3.99215854318202
"ANKZF1",3.99153006952088
"RP11-395I6.3",3.99140312937269
"AC144652.1",3.98954325146393
"PTPRZ1",3.98811621890832
"IGSF9",3.98708993661611
"PAIP2B",3.96555901560873
"RPS14",3.95908570412101
"GALNT16",3.95286691952924
"RP5-1126H10.2",3.95285588113645
"LSS",3.93612837994851
"ANKS6",3.9323461297347
"HES7",3.92716425584107
"RPS4X",3.925894302064
"MATK",3.92443218659078
"PTPRN2",3.92424130801157
"SIRPA",3.91911123097492
"RP4-610C12.4",3.91291527870634
"ARHGEF25",3.90855770025871
"MTG1",3.89486615828908
"TMEM229B",3.89395269850547
"DHCR24",3.88934201862922
"PRKCD",3.88575710190846
"NCAN",3.88557914677195
"NTN1",3.87988748532025
"ADC",3.87483161665677
"ACLY",3.874142478836
"DENND6B",3.87199993862707
"ROBO1",3.86097638145139
"ING4",3.85498960630691
"C14orf132",3.85387927301283
"NTM",3.85189924683904
"ZNF488",3.8494593291705
"SLC9A9",3.84940218100487
"GOLGA7B",3.84820063035563
"RTN1",3.84604023866262
"ULK3",3.84548048924891
"TSHZ2",3.8438706038376
"TMEM44",3.8386971834308
"SHF",3.83172250785771
"EIF3L",3.8298347611801
"MMP15",3.82907780426405
"GAL3ST4",3.82009183490292
"PASK",3.81720032792191
"SOX12",3.81173864471847
"RP11-95O2.1",3.80831612728383
"RPH3A",3.80818610817887
"DGCR2",3.80574107931078
"CACNA2D3",3.80473465514036
"CHL1",3.80275421538603
"SHD",3.78551318375372
"CSAD",3.78290913307608
"RAPGEF3",3.78148497525308
"EPHB6",3.77977768580896
"AFMID",3.77657664717217
"NARF",3.76616516360306
"ST3GAL6",3.75661989775424
"GNG8",3.74750277178269
"TMEM145",3.74573332794792
"WDR86",3.7366663523714
"C1orf95",3.73397411351233
