"pathway","contrast","block_equal_mean_log_ratio","block_sign_flip_p","minimum_attainable_two_sided_p"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day1_vs_control",0.348474691688566,0.25,0.25
"HALLMARK_GLYCOLYSIS","day1_vs_control",0.180621318159704,0.25,0.25
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day1_vs_control",0.409008339336914,0.25,0.25
"HALLMARK_MTORC1_SIGNALING","day1_vs_control",0.0975261450722567,0.25,0.25
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day1_vs_control",0.196618696999851,0.25,0.25
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day1_vs_control",0.324014467059865,0.25,0.25
"REACTOME_AUTOPHAGY","day1_vs_control",0.163324368040598,0.25,0.25
"REACTOME_MITOPHAGY","day1_vs_control",0.223306602383792,0.25,0.25
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day1_vs_control",-0.0660435578065128,0.5,0.25
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day1_vs_control",0.102650678749867,0.5,0.25
"HALLMARK_FATTY_ACID_METABOLISM","day1_vs_control",0.166261081904487,0.25,0.25
"HALLMARK_DNA_REPAIR","day1_vs_control",0.322853026773122,0.25,0.25
"REACTOME_TELOMERE_MAINTENANCE","day1_vs_control",0.263948697913096,0.25,0.25
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day1_vs_control",0.133651520643871,0.5,0.25
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day3_vs_control",0.225166054352874,0.25,0.25
"HALLMARK_GLYCOLYSIS","day3_vs_control",0.0562090334582925,1,0.25
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day3_vs_control",0.279794657208685,0.25,0.25
"HALLMARK_MTORC1_SIGNALING","day3_vs_control",0.0357481402212617,0.75,0.25
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_control",0.133754638647931,0.25,0.25
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_control",0.22279327281067,0.25,0.25
"REACTOME_AUTOPHAGY","day3_vs_control",0.143483037188156,0.25,0.25
"REACTOME_MITOPHAGY","day3_vs_control",0.203392375670435,0.25,0.25
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_control",-0.109044488929488,0.25,0.25
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_control",0.159466067076202,0.25,0.25
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_control",0.0951973920327964,0.5,0.25
"HALLMARK_DNA_REPAIR","day3_vs_control",0.183135918535294,0.25,0.25
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_control",0.141367120023051,0.25,0.25
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_control",0.0302737388160371,1,0.25
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day3_vs_day1",-0.123308637335692,0.75,0.25
"HALLMARK_GLYCOLYSIS","day3_vs_day1",-0.124412284701412,0.25,0.25
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day3_vs_day1",-0.129213682128229,0.75,0.25
"HALLMARK_MTORC1_SIGNALING","day3_vs_day1",-0.061778004850995,0.5,0.25
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day3_vs_day1",-0.0628640583519199,0.5,0.25
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day3_vs_day1",-0.101221194249195,0.75,0.25
"REACTOME_AUTOPHAGY","day3_vs_day1",-0.0198413308524426,1,0.25
"REACTOME_MITOPHAGY","day3_vs_day1",-0.0199142267133562,1,0.25
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_day1",-0.0430009311229753,1,0.25
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_day1",0.0568153883263351,0.25,0.25
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_day1",-0.0710636898716905,0.75,0.25
"HALLMARK_DNA_REPAIR","day3_vs_day1",-0.139717108237828,0.75,0.25
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_day1",-0.122581577890045,0.5,0.25
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_day1",-0.103377781827834,0.75,0.25
