"pathway","pval","log2err","ES","NES","size","leadingEdge","tier","variant","contrast","rank_kind","fgsea_internal_padj","ranked_genes","rank_ties","family_fdr"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.51077316022485e-17,1.05746357275086,0.556645418038892,2.47890938672093,182,"GPX4;TIMM13;CYC1;COX8A;NDUFS6;OGDH;HSD17B10;MRPS12;NDUFB2;CYB5R3;RHOT2;UQCRC1;MDH2;NDUFS8;COX6B1;POLR2F;MRPS15;ATP6V1F;SLC25A11;COX10;SLC25A5;ACO2;MFN2;NDUFV1;ECI1;ACAA1;ECHS1;UQCR10;COX4I1;IDH2;TIMM8B;TIMM50;ECH1;NDUFA3;COX5B;SLC25A6;NDUFA2;COX17;UQCRQ;ETFB;MRPL15;GPI;NDUFA8;UQCR11;BAX;MRPL11;ATP6V0C;TOMM22;NDUFB7;TIMM10;TCIRG1;IDH3B;IDH3G;PHYH;SDHB;SLC25A3;GRPEL1;CYCS;PDHA1;SLC25A4;NDUFA1;ATP6V0B;UQCRFS1;NDUFB6;NDUFS3;NDUFAB1;ATP6V1E1;PHB2;NDUFA9;PMPCA;NDUFS7;GOT2;MRPS11;COX7C;VDAC1;SDHC;COX6C;HTRA2;NDUFS4;NDUFB3;SURF1;COX7B;MRPL34;ALAS1;COX5A;COX6A1;NDUFB8;NDUFA7;SDHA;DLST;ATP6AP1;UQCRC2;UQCRH;POR;FH","primary","primary","day1_vs_control","Wald",9.76400510829231e-16,21098,0,5.63307987016864e-16
"HALLMARK_GLYCOLYSIS",0.000147963686733144,0.518848077743792,0.373975544604155,1.66841234041781,184,"ALDOA;GYS1;SPAG4;ENO1;CLN6;FKBP4;PGLS;TPI1;MDH2;ARTN;TALDO1;GAL3ST1;B4GALT2;PKM;GPC1;SLC25A10;B4GALT7;DPYSL4;MPI;PSMC4;AGRN;B3GALT6;PC;GALE;G6PD;CACNA1H;PGAM1;PYGB;IGFBP3;ME1;PGK1;PFKP;XYLT2;RBCK1;POLR3K;GMPPB;HSPA5;HDLBP;HAX1;QSOX1;LHPP;ENO2;B3GAT1;MED24;TXN;CITED2;IDUA;MIF;ISG20;SDC3;NOL3;B3GAT3;GOT2;ALG1;CHPF2;PLOD1;SLC16A3;CHST1;CXCR4;CHPF;SDHC;PPIA;SOD1;PRPS1;IER3;IL13RA1;PDK3;ELF3;PGM2;GALK1;NSDHL;EFNA3;BIK;CD44;ME2;CLDN9","primary","primary","day1_vs_control","Wald",0.000276557368016307,21098,0,0.000279216573478002
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",5.56688130301332e-05,0.557332238758646,0.570385540028934,2.00520962473967,42,"JUNB;GPX4;SBNO2;PRDX2;HMOX2;STK25;TXNRD2;MSRA;G6PD;CDKN2D;ATOX1;PFKP;NQO1;ERCC2;GLRX2;TXN;EGLN2;FTL;LAMTOR5;SOD1;PRDX1","primary","primary","day1_vs_control","Wald",0.000155310289882572,21098,0,0.0001670064390904
"HALLMARK_MTORC1_SIGNALING",0.0174848688634835,0.125952931638622,0.308544686405794,1.38063715506516,189,"CALR;ALDOA;NFKBIB;STIP1;PPP1R15A;ENO1;TOMM40;GAPDH;RRP9;DDX39A;FKBP2;SQSTM1;TPI1;SERPINH1;GBE1;PSMC4;ABCF2;HSPE1;MCM2;G6PD;CDC25A;GPI;PDAP1;PSMB5;CDKN1A;CORO1A;HSPD1;ME1;PGK1;MAP2K3;YKT6;ARPC5L;CYP51A1;HPRT1;CACYBP;HSPA5;NFYC;SDF2L1;HSP90B1;QDPR;PGM1;CYB5B;MCM4;FDXR;SLC2A1;CCNF;TM7SF2;CXCR4;PPIA;RPN1;PFKL;PRDX1;CFP;HMBS;PSMD13;GLA;DHFR;PNO1;PSME3;PNP;TES","primary","primary","day1_vs_control","Wald",0.0227303295225286,21098,0,0.0238430029956593
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.000148915505854935,0.518848077743792,0.440692091339322,1.79998953664487,96,"CALR;HRAS;ARHGDIA;ECSIT;NFKBIB;PPP1CA;SQSTM1;TRAF2;RPTOR;AKT1;PIN1;AP2M1;CFL1;AKT1S1;PFN1;MKNK2;PAK4;TSC2;CDKN1A;DUSP3;ARF1;MAP2K3;RPS6KA1;RALB;HSP90B1;MYD88;MAPKAP1;CDK4;E2F1;SLC2A1","primary","primary","day1_vs_control","Wald",0.000276557368016307,21098,0,0.000279216573478002
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1.32218574402873e-11,0.875325132024659,0.531608452308215,2.30216033245925,145,"ECSIT;SLC25A22;CYC1;COX8A;NDUFS6;NDUFB2;UQCRC1;MDH2;NDUFA13;TACO1;NDUFS8;COX6B1;SLC25A11;NDUFV1;COA3;UQCC2;UQCR10;NDUFAF3;COX4I1;SCO2;NDUFA3;COX5B;NDUFA2;COX17;LETM1;UQCRQ;ETFB;PNKD;NDUFB11;NDUFA8;NDUFB10;UQCR11;NDUFB7;TMEM126A;HIGD2A;SDHB;CYCS;NDUFAF2;NDUFA1;NDUFA12;UQCRFS1;NDUFB6;NDUFS3;NDUFAB1;LYRM4;NDUFA11;BCS1L;NDUFA9;NDUFB9;NDUFAF1;NDUFS7;ACAD9;GOT2;COX7C;SDHC;SLC25A18;COX6C;COX16;NDUFS4;NDUFS5;NDUFB3;TMEM223;SURF1;TRAP1;COX7B;COX5A;COX6A1;NDUFB8;HIGD1A;NDUFA7;TIMM21;PET100;COX19;SDHA;UQCRC2;UQCRH","secondary","primary","day1_vs_control","Wald",8.59420733618678e-11,21098,0,1.38829503123017e-10
"REACTOME_AUTOPHAGY",0.000865634943205027,0.477270815362862,0.369962029697294,1.60129926330684,144,"MAP1LC3A;HSPA8;TOMM40;HSF1;LAMTOR1;MLST8;SQSTM1;VPS37B;ATG4D;CHMP6;RPTOR;DYNLL1;VPS28;LAMTOR2;MFN2;HSP90AB1;VPS37C;MVB12B;CHMP2A;LAMTOR4;AMBRA1;TSC2;TUBB3;PGAM5;VPS37D;PARK7;PINK1;TOMM22;HSP90AA1;UBAP1;VIM;UBA52;UBB;UBE2L3;TUBA8;UBC;MTMR14;RHEB;GABARAP;DYNLL2;VDAC1;LAMTOR5;WDR45B;SRC","secondary","primary","day1_vs_control","Wald",0.00125036158462948,21098,0,0.00259690482961508
"REACTOME_MITOPHAGY",0.0226035307704999,0.122637391177921,0.456788311816459,1.5433682298309,35,"MAP1LC3A;TOMM40;SQSTM1;MFN2;PGAM5;PINK1;TOMM22;UBA52;UBB;UBE2L3;UBC;VDAC1;SRC","secondary","primary","day1_vs_control","Wald",0.0267132636378635,21098,0,0.043152195107318
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0.233479105928086,0.0442587547733942,-0.347761958139385,-1.16415143377563,25,"HERPUD1;ASNS;EXOSC8;CCL2;CEBPB;DCP2;CEBPG;NFYB;DDIT3;EXOSC3;ATF6","secondary","primary","day1_vs_control","Wald",0.252935698088759,21098,0,0.350218658892128
"REACTOME_SIGNALING_BY_NTRK2_TRKB",0.749616499062553,0.0162843739747895,0.259221891145435,0.804203037121072,24,"HRAS;FRS3;BDNF;CDK5;SRC;GRB2;CDK5R1","secondary","primary","day1_vs_control","Wald",0.749616499062553,21098,0,0.925996851783154
