"gene_id","symbol","mean_normalized_count","selected"
"ENSG00000210082.2","MT-RNR2",558351.620479613,TRUE
"ENSG00000198804.2","MT-CO1",555202.378661106,TRUE
"ENSG00000198886.2","MT-ND4",533120.691967435,TRUE
"ENSG00000198938.2","MT-CO3",334430.617843529,TRUE
"ENSG00000198763.3","MT-ND2",305444.289919773,TRUE
"ENSG00000198727.2","MT-CYB",270610.15211825,TRUE
"ENSG00000198786.2","MT-ND5",256559.379481174,TRUE
"ENSG00000131711.10","MAP1B",256271.29746717,TRUE
"ENSG00000198712.1","MT-CO2",252432.753223131,TRUE
"ENSG00000198899.2","MT-ATP6",224469.723805633,TRUE
"ENSG00000167552.9","TUBA1A",219453.783758326,TRUE
"ENSG00000198888.2","MT-ND1",203895.978130277,TRUE
"ENSG00000242265.1","PEG10",133557.980339667,TRUE
"ENSG00000113657.8","DPYSL3",124688.751219286,TRUE
"ENSG00000104435.9","STMN2",121248.991041184,TRUE
"ENSG00000077279.12","DCX",107689.110318699,TRUE
"ENSG00000087460.19","GNAS",94586.9386383204,TRUE
"ENSG00000198695.2","MT-ND6",91527.5330451892,TRUE
"ENSG00000075624.9","ACTB",90026.9651444754,TRUE
"ENSG00000110321.11","EIF4G2",81174.7988964709,TRUE
"ENSG00000184009.5","ACTG1",80982.2736111138,TRUE
"ENSG00000078018.15","MAP2",68123.6074719805,TRUE
"ENSG00000149294.12","NCAM1",66155.5108801418,TRUE
"ENSG00000142192.16","APP",65906.0605054287,TRUE
"ENSG00000198840.2","MT-ND3",65500.7372555648,TRUE
"ENSG00000109971.9","HSPA8",65154.7352779256,TRUE
"ENSG00000143324.9","XPR1",61683.3811643365,TRUE
"ENSG00000168280.12","KIF5C",61366.0880364331,TRUE
"ENSG00000212907.2","MT-ND4L",61165.6411555487,TRUE
"ENSG00000117632.16","STMN1",61150.597856214,TRUE
"ENSG00000211459.2","MT-RNR1",60293.4178056925,TRUE
"ENSG00000134313.10","KIDINS220",58133.2287426923,TRUE
"ENSG00000150625.12","GPM6A",58036.7200894539,TRUE
"ENSG00000139970.12","RTN1",57066.5470436555,TRUE
"ENSG00000182670.9","TTC3",56681.7942821837,TRUE
"ENSG00000115310.13","RTN4",55507.0500104581,TRUE
"ENSG00000080824.14","HSP90AA1",54393.7465886983,TRUE
"ENSG00000145362.12","ANK2",53529.1467543038,TRUE
"ENSG00000148798.5","INA",51944.7420291355,TRUE
"ENSG00000170091.6","NSG2",50996.011327573,TRUE
"ENSG00000164924.13","YWHAZ",50716.9154448159,TRUE
"ENSG00000092964.12","DPYSL2",49570.9286609954,TRUE
"ENSG00000196230.8","TUBB",48150.0364434397,TRUE
"ENSG00000228253.1","MT-ATP8",47208.6087780221,TRUE
"ENSG00000156508.13","EEF1A1",46622.1147097338,TRUE
"ENSG00000111897.6","SERINC1",45815.7777379421,TRUE
"ENSG00000133318.9","RTN3",45217.953239555,TRUE
"ENSG00000096384.15","HSP90AB1",44889.3192416737,TRUE
"ENSG00000100167.15","SEPT3",43779.9970766057,TRUE
"ENSG00000197102.6","DYNC1H1",43673.6772994707,TRUE
"ENSG00000054793.9","ATP9A",43117.5571432237,TRUE
"ENSG00000172020.8","GAP43",43077.5799357082,TRUE
"ENSG00000118816.5","CCNI",42937.5878152967,TRUE
"ENSG00000225783.2","MIAT",42784.5287756705,TRUE
"ENSG00000072832.10","CRMP1",41975.5211992267,TRUE
"ENSG00000205542.6","TMSB4X",41881.1355730065,TRUE
"ENSG00000197694.9","SPTAN1",41077.6453300078,TRUE
"ENSG00000198668.6","CALM1",41020.4318642961,TRUE
"ENSG00000100201.14","DDX17",40272.1521704577,TRUE
"ENSG00000112972.10","HMGCS1",39336.5111482374,TRUE
"ENSG00000186868.11","MAPT",38550.1702394795,TRUE
"ENSG00000170027.5","YWHAG",38292.5243979869,TRUE
"ENSG00000176788.7","BASP1",37956.0296511387,TRUE
"ENSG00000123562.12","MORF4L2",37756.4976665467,TRUE
"ENSG00000154277.8","UCHL1",37008.5240485243,TRUE
"ENSG00000034510.4","TMSB10",36423.136361996,TRUE
"ENSG00000130294.10","KIF1A",36254.0576080882,TRUE
"ENSG00000104725.9","NEFL",35598.9635654339,TRUE
"ENSG00000015479.13","MATR3",34342.7791386992,TRUE
"ENSG00000054523.12","KIF1B",33737.819699273,TRUE
"ENSG00000141367.7","CLTC",33548.6770064346,TRUE
"ENSG00000134986.9","NREP",33320.5607853205,TRUE
"ENSG00000115306.11","SPTBN1",33261.9770903126,TRUE
"ENSG00000113161.11","HMGCR",33205.1764273237,TRUE
"ENSG00000171951.4","SCG2",33104.6271343246,TRUE
"ENSG00000108953.12","YWHAE",32753.3902634056,TRUE
"ENSG00000100320.18","RBFOX2",32742.5755361406,TRUE
"ENSG00000213190.2","MLLT11",32393.0928414516,TRUE
"ENSG00000133872.9","TMEM66",32378.943431612,TRUE
"ENSG00000105409.11","ATP1A3",30682.1530360896,TRUE
"ENSG00000134308.9","YWHAQ",30605.3866405247,TRUE
"ENSG00000163539.11","CLASP2",30029.2414959638,TRUE
"ENSG00000143933.12","CALM2",30021.624126945,TRUE
"ENSG00000006125.12","AP2B1",29957.6111989244,TRUE
"ENSG00000155130.5","MARCKS",29472.4342859665,TRUE
"ENSG00000145495.10","MARCH6",28875.7205061775,TRUE
"ENSG00000078369.13","GNB1",28670.4278210885,TRUE
"ENSG00000162512.11","SDC3",28336.1148322485,TRUE
"ENSG00000137285.9","TUBB2B",28287.9335921229,TRUE
"ENSG00000175130.6","MARCKSL1",28261.7449093505,TRUE
"ENSG00000077264.10","PAK3",28255.8203916117,TRUE
"ENSG00000108654.7","DDX5",28111.0123637557,TRUE
