"pathway","contrast","block","leading_edge_genes","mean_leading_edge_log_ratio","fraction_same_gene_direction"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day1_vs_control","68_3__batch1",95,0.68096167247599,1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day1_vs_control","68_3__batch2",95,0.40181011085287,0.957894736842105
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","day1_vs_control","69_2__batch1",95,0.992250970305034,0.989473684210526
"HALLMARK_GLYCOLYSIS","day1_vs_control","68_3__batch1",76,0.743481443907773,0.973684210526316
"HALLMARK_GLYCOLYSIS","day1_vs_control","68_3__batch2",76,0.459427916053839,0.907894736842105
"HALLMARK_GLYCOLYSIS","day1_vs_control","69_2__batch1",76,0.944279657229712,0.934210526315789
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day1_vs_control","68_3__batch1",21,0.827603372653449,1
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day1_vs_control","68_3__batch2",21,0.617992065580178,0.952380952380952
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","day1_vs_control","69_2__batch1",21,1.02720154932537,1
"HALLMARK_MTORC1_SIGNALING","day1_vs_control","68_3__batch1",61,0.754306106431082,1
"HALLMARK_MTORC1_SIGNALING","day1_vs_control","68_3__batch2",61,0.459215542168064,0.967213114754098
"HALLMARK_MTORC1_SIGNALING","day1_vs_control","69_2__batch1",61,0.792877868386629,0.983606557377049
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day1_vs_control","68_3__batch1",30,0.860282714985917,1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day1_vs_control","68_3__batch2",30,0.523459031373097,1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","day1_vs_control","69_2__batch1",30,1.07507865234774,1
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day1_vs_control","68_3__batch1",76,0.662478735215508,1
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day1_vs_control","68_3__batch2",76,0.386073609198626,0.960526315789474
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","day1_vs_control","69_2__batch1",76,0.884430504200884,0.986842105263158
"REACTOME_AUTOPHAGY","day1_vs_control","68_3__batch1",44,0.741751266059372,1
"REACTOME_AUTOPHAGY","day1_vs_control","68_3__batch2",44,0.475137215507335,0.954545454545455
