pathway,contrast,robustness,mapped_size,leading_edge_n,top5_abs_rank_weight_fraction,max_gene_abs_rank_weight_fraction,68_3__batch1__edge_mean_log_ratio,68_3__batch1__edge_same_direction_fraction,68_3__batch2__edge_mean_log_ratio,68_3__batch2__edge_same_direction_fraction,69_2__batch1__edge_mean_log_ratio,69_2__batch1__edge_same_direction_fraction,max_abs_block_mean_fraction
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day1_vs_control,robust,182.0,95,0.09166608989642844,0.019808822091939265,0.6809616724759903,1.0,0.4018101108528705,0.9578947368421052,0.992250970305034,0.9894736842105263,0.4781879950797403
HALLMARK_GLYCOLYSIS,day1_vs_control,robust,184.0,76,0.12901935897693326,0.028615172457973514,0.7434814439077734,0.9736842105263158,0.45942791605383926,0.9078947368421053,0.9442796572297119,0.9342105263157895,0.4397748170605384
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day1_vs_control,robust,42.0,21,0.37975781049780755,0.08340886590932774,0.8276033726534486,1.0,0.617992065580178,0.9523809523809523,1.0272015493253708,1.0,0.4154006796730066
HALLMARK_MTORC1_SIGNALING,day1_vs_control,robust,189.0,61,0.1582959937438873,0.04024335949953837,0.754306106431082,1.0,0.4592155421680638,0.9672131147540983,0.7928778683866292,0.9836065573770492,0.395174471322528
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day1_vs_control,robust,96.0,30,0.2816059711812289,0.06873650533303623,0.8602827149859176,1.0,0.5234590313730975,1.0,1.075078652347743,1.0,0.437233501443697
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_control,robust,182.0,107,0.08622058926648131,0.017529115217374484,0.5799100411123265,1.0,0.5069121163448445,0.9906542056074766,0.14617398990846306,0.794392523364486,0.4703259149279071
HALLMARK_GLYCOLYSIS,day3_vs_control,block-dependent,184.0,54,0.15484598166947097,0.03251104218331115,0.8450523357313654,1.0,0.4527411432753911,0.9814814814814815,0.23283670332000078,0.9074074074074074,0.552094389284011
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_control,robust,42.0,18,0.383141499300891,0.08911825876879606,0.8561221706659844,1.0,0.6587098087323394,1.0,0.22931539036339826,0.8888888888888888,0.4908542623797576
HALLMARK_MTORC1_SIGNALING,day3_vs_control,unsupported,189.0,52,0.16189423966879546,0.03427687983145233,0.7640089258457604,1.0,0.4420822378803655,0.9230769230769231,0.19138201809556635,0.9615384615384616,0.546707397167957
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_control,robust,96.0,24,0.29038649525690435,0.0653024746464771,0.9705821869372159,1.0,0.5873422691071145,1.0,0.29440400106304015,1.0,0.5239795259923256
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day3_vs_day1,block-dependent,182.0,96,0.10614292940559643,0.024792865271995777,-0.1339721257769998,0.71875,0.0629328734104984,0.3229166666666667,-0.7644830139293299,0.9166666666666666,0.7951867544623002
HALLMARK_GLYCOLYSIS,day3_vs_day1,directionally consistent but uncertain,184.0,66,0.16132014603055111,0.052438877405067766,-0.1317738715213421,0.6212121212121212,-0.45532372400892357,0.8181818181818182,-0.7963333125972958,0.9696969696969697,0.5756220335391471
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day3_vs_day1,unsupported,42.0,11,0.6408573962718813,0.2724020917784538,-0.32350688690479623,0.6363636363636364,-0.3437338523182216,0.6363636363636364,-1.213180893347619,1.0,0.6451642931213973
HALLMARK_MTORC1_SIGNALING,day3_vs_day1,block-dependent,189.0,45,0.19807596219800414,0.04696718376336027,-0.3363586411673876,0.8222222222222222,-0.3000622681268434,0.8888888888888888,-0.7550042514071074,1.0,0.5426121883742224
HALLMARK_PI3K_AKT_MTOR_SIGNALING,day3_vs_day1,unsupported,96.0,30,0.32444151115864744,0.08828501685773717,-0.15721423682336588,0.5333333333333333,-0.0896719057362889,0.5666666666666667,-0.8920684655497226,0.9666666666666667,0.783234431994198
