primary_pathway,contrast,context_pathway,primary_membership_shared_n,edge_n,context_members_n,edge_shared_n,edge_shared_fraction,jaccard,shared_genes
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day1_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,95,25,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day1_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0,95,63,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day1_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,95,87,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day1_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,95,51,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day1_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,95,24,0,0.0,0.0,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,day1_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,95,105,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day1_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,76,25,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day1_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,4,76,63,3,0.039473684210526314,0.022058823529411766,AGRN;ARTN;CACNA1H
HALLMARK_GLYCOLYSIS,day1_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,2,76,87,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day1_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,1,76,51,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day1_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,1,76,24,0,0.0,0.0,
HALLMARK_GLYCOLYSIS,day1_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3,76,105,1,0.013157894736842105,0.005555555555555556,CXCR4
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day1_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,21,25,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day1_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,1,21,63,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day1_vs_control,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,21,87,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day1_vs_control,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,21,51,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day1_vs_control,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,21,24,0,0.0,0.0,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,day1_vs_control,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,21,105,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day1_vs_control,REACTOME_SIGNALING_BY_NTRK2_TRKB,0,61,25,0,0.0,0.0,
HALLMARK_MTORC1_SIGNALING,day1_vs_control,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0,61,63,0,0.0,0.0,
