"symbol","statistic"
"DLK1",9.02732251460818
"TH",8.53109742617256
"PTPRH",8.22672646471568
"ETV4",7.80593245052991
"VGF",7.1949069320992
"EGR1",5.88242032765108
"ODC1",5.72593955738631
"ARHGAP36",5.57976846929281
"EMD",5.38787209101617
"CALR",5.31707112496554
"DUSP26",5.25479019075767
"NSMF",5.1372452682388
"HYAL3",5.10377461420967
"HSPB1",5.06996272858085
"GPR50",5.03407986364839
"AMH",4.99722684127588
"BANF1",4.98622112979386
"HRAS",4.91020647247822
"RBP4",4.84268412495011
"CLN6",4.8407478993362
"FAM96B",4.82521652367576
"CLIC1",4.82384373438932
"PHB",4.81031369158175
"MAP1LC3A",4.80976641546371
"SNRNP25",4.79685034178049
"POLR2E",4.78689465720944
"CYC1",4.78105583978047
"CNN2",4.75660404603082
"NUDT14",4.73659910256295
"ALDOA",4.73562980345773
"ITPA",4.73088239805347
"CCDC86",4.69345552491852
"ANXA2",4.6803126676345
"NR4A1",4.6306711702563
"TPBGL",4.62012487676198
"NTHL1",4.61811599407455
"ENO1",4.59511009808627
"ARHGDIA",4.59002075094616
"SURF2",4.58138550353712
"SRM",4.55694339400511
"F12",4.54606943442259
"CORO1B",4.53984807069494
"GCAT",4.53485109453288
"PPP1CA",4.5256717963324
"IGFBP2",4.51609595416657
"APOA1BP",4.51572911358172
"CLUH",4.50997117831399
"POLRMT",4.50808577315327
"UBE2S",4.49348778432045
"FAM211B",4.48625169633513
"HSPBP1",4.47481928984844
"GUK1",4.4546106718797
"GYS1",4.45337076113888
"COL7A1",4.4511833894874
"PUF60",4.449609225969
"DCTPP1",4.44442658569436
"SLC35A4",4.43921707027435
"TSR3",4.43440478456368
"MMP1",4.42049690849838
"ECSIT",4.41242186723931
"CYSTM1",4.40751898205438
"DHX37",4.40462421158285
"IRAK1",4.39474327747424
"PARD6A",4.39018557031618
"GPX4",4.3881143776925
"BTBD6",4.38598645935554
"DUSP5",4.38432274283022
"DIO3",4.37860816546353
"TIMM13",4.37243847732879
"ADRM1",4.37220160221135
"DGCR6L",4.36899633152403
"PRELID1",4.36888592396123
"PTPRN",4.36312882505466
"STMN3",4.35798685116276
"R3HCC1",4.35494817739604
"DCXR",4.35447302279816
"APOE",4.35405686326766
"PSMD8",4.350742237889
"MRPL54",4.32569213831251
"PTK6",4.32451666488892
"EEF1A2",4.31797505187884
"ZNF414",4.31655741260238
"HES4",4.31505540400778
"SST",4.31453954305003
"PRDX2",4.29959077534881
"GNB2",4.29938215715975
"C19orf53",4.29372590241833
"ATP6V0D1",4.29178968417437
"MGLL",4.29124405630582
"CA5BP1",4.28413058339669
"CSDC2",4.28311764620464
"GAPDH",4.28156966871413
"C9orf142",4.27412513059561
"TRAPPC1",4.27404184520208
"BAIAP3",4.26889016574954
"FAM207A",4.26420596363295
"DPP9",4.25963673148047
"MFSD10",4.25609793014162
"MAPK8IP1",4.2506993150472
"FAM50A",4.24122531361879
"SH3BGRL3",4.23993881088485
"CEND1",4.23738210533552
"P2RY11",4.23588261075406
"MT3",4.2231652405969
"SLC52A2",4.22300673350834
"PRR19",4.22269889830009
"PAK6",4.22050140037939
"PSMC3",4.21936085268705
"DCAF15",4.21891138992381
"TMIE",4.2182671270907
"C16orf13",4.21285815699596
"ABHD17A",4.21207978910014
"ZC3H3",4.20937768772526
"NUDC",4.20656539311088
"NTMT1",4.20603504877375
"RRP9",4.20359804487924
