"symbol","statistic"
"NPFFR1",6.25835372002791
"PCDHGC4",5.31719815069319
"YPEL2",4.95322037133951
"SCN1A",4.90050484586563
"YPEL1",4.85414106728774
"SEMA3C",4.44446990707835
"SIAH3",4.27040443400495
"RELN",4.25998177840275
"COL25A1",4.22696063910078
"PTPRZ1",4.13841126994284
"ERBB4",4.10663227701942
"ATRNL1",4.04187942350688
"RGS8",3.9924456423838
"NRSN1",3.99193321454278
"HTR2C",3.97750665977201
"KAL1",3.96590512471119
"CNTNAP4",3.85880524853241
"PDCD4",3.82654029110955
"CACNG8",3.82086538325132
"ARID5B",3.75439241475316
"MMRN1",3.74248005906942
"GPM6A",3.71902162595857
"PLXNC1",3.68105380448268
"BTN3A1",3.62782692846264
"EDIL3",3.62241848785781
"NIPAL3",3.60941745703102
"SCD5",3.60512833210282
"COL24A1",3.59192370067954
"SERINC5",3.57989530221183
"SEZ6L",3.56150569666873
"SORL1",3.55634787302797
"NEGR1",3.53109485439899
"RP11-627G23.1",3.52444769210323
"RP11-355I22.7",3.51964612371329
"RNF145",3.5073745117174
"NRXN3",3.47440800043303
"ROBO1",3.455967744465
"KIT",3.43138676158736
"FUT9",3.42749852655202
"ZBED6",3.42024485418838
"TCP11L2",3.41334087678357
"TENM2",3.40471112601603
"NAALAD2",3.40121039779587
"ETNK1",3.38593008828854
"XPR1",3.36881665398744
"ATP8A1",3.3677887787987
"DCHS2",3.3546253110608
"PPP2R3A",3.35252993331208
"CRIM1",3.35006452299543
"RPS6KA5",3.34090925478642
"OPCML",3.33493873728958
"COL11A1",3.33135078716846
"NRCAM",3.32628266402102
"KIAA1377",3.31831914437943
"SCN2A",3.31795450035931
"RIT2",3.31697411020484
"KIAA1239",3.30403835979775
"DOCK4",3.28492108404424
"PRLR",3.28002974362608
"VCAN",3.27636026848468
"TP53INP1",3.25999491898253
"PAG1",3.25510560700582
"KCNS2",3.25244701662912
"CECR2",3.24753831445834
"PLCL1",3.2413726438583
"SMAD9",3.23881748715279
"B3GAT2",3.19916123485638
"CTA-390C10.10",3.19597848592378
"BDH2",3.17593111882439
"CNR1",3.16898780463576
"NCAM1",3.15379628004231
"SLC6A1",3.15375499882955
"C7orf63",3.14822866249018
"KLHL24",3.14481495097747
"ANO5",3.13003124327735
"DCC",3.12049741982586
"GRIA2",3.1163547554711
"CAPS2",3.11127922145559
"PCDH17",3.1055500168992
"IGF1R",3.10419843459994
"TSHZ2",3.08540610399543
"GPRIN3",3.08499061248006
"TMC2",3.08166053397914
"MARCH6",3.07219576583371
"CDH20",3.06602742979893
"CREBRF",3.06080708118943
"SLC2A13",3.02741185922102
"PNPLA3",3.02643566432911
"ENC1",3.01194380267919
"CDK19",3.01046235148462
"KIDINS220",3.00892676649536
