"symbol","statistic"
"DLK1",9.56807235820162
"PTPRH",9.54662959826771
"TH",8.50118960594109
"VGF",7.54002496750353
"NR4A1",7.36727728612928
"SST",7.27034371466744
"ETV4",7.10066464383501
"EMD",6.61220459808058
"DUSP26",6.48864860428281
"CNN2",6.31826333677289
"PAK6",6.21618994479172
"CALR",6.09762654457572
"TYRO3",6.087322844439
"PARD6A",5.88240324211606
"JUNB",5.66815817386537
"C19orf26",5.64397491089786
"MYH9",5.58658395207198
"CYSTM1",5.54701827059743
"RP11-867G23.10",5.50212332229025
"KIF17",5.42886308279387
"TPBGL",5.34074814202298
"ODC1",5.32566605403367
"MAP1LC3A",5.32144975234755
"HDAC5",5.21557998927653
"NPAS4",5.12413121354048
"SPSB4",5.07875081722184
"ALDOA",5.04602134391108
"FAM83G",5.01177977962134
"FNDC4",4.97510716054309
"FABP3",4.95752909993978
"CCDC124",4.92707598833682
"TRMT112",4.89656416324263
"HSPB1",4.88109064017468
"MPND",4.87160859325762
"SPATA2L",4.84397825668455
"CPNE6",4.83704241917667
"CCDC86",4.82960950585517
"NTHL1",4.80283469460013
"C1orf233",4.74145008956349
"BAK1",4.74045479064523
"CSDC2",4.73590302709739
"GYS1",4.68857117397402
"NSMF",4.68646377081812
"RBP4",4.6854850965195
"DHX37",4.66199017856192
"SF3B5",4.65990597784839
"MT3",4.65203937409151
"IRAK1",4.64903873085591
"ATP6V0D1",4.64789483573894
"SLC6A17",4.64127045323207
"POLR2E",4.61459846861813
"PER1",4.61366130150095
"SNX8",4.59922701302355
"PRELID1",4.59366456389221
"GNB2",4.58212030351036
"CSRNP1",4.57277129783275
"TPPP3",4.57264965390112
"RPUSD1",4.55488872425715
"GPX4",4.54922500420808
"FAM96B",4.54108803628359
"FAM195A",4.52114857053368
"NGB",4.52086915118793
"NCS1",4.50543763854412
"UBE2S",4.49807100555505
"HRAS",4.49656224553436
"BAD",4.49480455457077
"NOP2",4.49297308256785
"NPTX1",4.48893239288512
"ARHGDIA",4.48701804673725
"CTNNBIP1",4.47883821065085
"SNRNP25",4.47853491663378
"SLC25A22",4.47271072154365
"REM2",4.46675958678826
"HES4",4.4630170150879
"PSMD8",4.45030111197218
"EEF1A2",4.44793226273407
"ERF",4.44091247949247
"ALKBH7",4.43876279963392
"NFKBIB",4.43686654212191
"ZCCHC12",4.43621601447623
"MAP1S",4.42735440276954
"TSC22D3",4.42243864819215
"GUK1",4.4170040356876
"SLC2A4RG",4.41506763195401
"EDF1",4.41368154272956
"PTPRN",4.40569381740218
"C19orf53",4.37513229433941
"DCXR",4.36935118379123
"CYP26B1",4.35648305341124
"BTBD6",4.34984430280118
"NUDT14",4.34914088926426
"WDR1",4.34685800812352
"EIF6",4.34451592765673
"SRM",4.34442397198421
"ECSIT",4.33604510180676
"UBE2M",4.32161928675522
"MRPL41",4.31490975861083
"PPDPF",4.31218124980748
"CDK2AP2",4.31139875053969
"ANXA2",4.31103364745153
"SCN1B",4.30978884373166
"WDR24",4.30763141081955
"MFGE8",4.30379246144063
"GAPDH",4.30185502131332
"TXN2",4.28995738600127
"HSPBP1",4.28515787575029
"PEF1",4.28503912887313
"RBM14",4.2780481918248
"CLUH",4.27019159582638
"PPP1R14B",4.26344900262576
"GADD45GIP1",4.26137073255285
"APOC1",4.25818558398855
"FBXW9",4.2547489796539
"TWF2",4.246720552762
"CISD3",4.24022835922321
"CYC1",4.23941358490926
"GFER",4.23698708596546
"RBM42",4.23204872943343
"TRMT61A",4.23171009435426
"RELB",4.22729465194156
"GIT1",4.22321731003487
"MRPL54",4.21931783719383
"AC005789.11",4.21840470289705
"ZP3",4.21740447590664
"IGDCC3",4.21728108487361
"MRPL23",4.21410440616695
"SZRD1",4.21199612808462
"SRF",4.20088506805045
"PKN1",4.20078758348623
"FKBP4",4.19980700509672
"EIF3I",4.19943315021564
"EIF5A",4.19709519049478
"FAM57B",4.18935639090673
"PPP4C",4.18254414155895
"MGLL",4.18234239743547
"FBLL1",4.18219260982233
"MRPS18A",4.18040627160487
"TOMM40",4.17563866426287
"FARSA",4.17395984999869
"POLR2L",4.17361522043631
"MAPK8IP1",4.17359924908542
"SLC52A2",4.1716429800436
"PALM",4.16672765301119
"TMSB10",4.1593531341228
"DRAP1",4.15882060273704
"TAS1R3",4.15595801344702
"DGCR6L",4.14631376025195
"ZNF385C",4.14540764465242
"NPM3",4.14517085807487
"CORO1B",4.1392638233108
"FERMT3",4.13658537181828
"ZC3H3",4.13416531807089
"LAGE3",4.13358146506417
"CPLX1",4.12873948966849
"ELFN1",4.12053967537014
"HAGHL",4.11937804107924
"OGDH",4.11759570528211
"CA5BP1",4.11696216246523
"ETNK2",4.11565018116407
"CIB2",4.11521751105034
"APBB1",4.11340990667773
"KXD1",4.11178539325408
"SPAG4",4.11073298354334
"PDGFB",4.1093953717726
"DCTPP1",4.10870993131083
"C9orf169",4.1035935178965
"CENPB",4.10323501648142
"MAP2K2",4.10019986506564
"BANF1",4.09903556060671
"PUF60",4.09617438792389
"ATP5D",4.09400682306737
"ARHGDIG",4.09258838048075
"PPP1CA",4.09221154849148
"RPS19BP1",4.08922119095368
"CDR2L",4.0883590779525
"PRDX5",4.08160675834603
"ADRM1",4.08077393592275
"ZNF628",4.07606432971164
"TRMT1",4.07580755718647
"SH3BGRL3",4.07164183567574
"CPLX2",4.06854525933652
