"symbol","statistic"
"MMRN1",5.71512125365655
"PDCD4",5.23074035619864
"ARID5B",4.82137559876553
"COL25A1",4.72749525157
"SCN1A",4.62498168080754
"TCF4",4.52434240827697
"YPEL1",4.51466416511741
"RP5-1074L1.4",4.45619094607416
"NPFFR1",4.38440830641511
"B3GAT2",4.37850484823724
"YPEL2",4.37743917910112
"KIT",4.22063381424386
"PDE11A",4.21456424339635
"ENC1",4.17944742720911
"EFHC1",4.16266417270882
"CADM1",4.12119324686771
"EPHA7",4.08592894520057
"CNTNAP4",3.97849710455138
"TSHZ2",3.97072630365842
"GPM6A",3.92579358616635
"ATRNL1",3.90758169826952
"NEGR1",3.89957663504027
"SORL1",3.88181485099546
"KIAA1377",3.88000832730971
"PDE1A",3.85654301740372
"COL11A1",3.85379264580091
"RPS6KA5",3.84622363511296
"FANCL",3.80222532765972
"VASH2",3.6930736180398
"HTR2C",3.68161831814705
"NAALAD2",3.63173281480741
"TBC1D31",3.61948057044452
"ST3GAL6",3.57662147121456
"RAD51-AS1",3.56961066670062
"RP11-395I6.3",3.53897590640924
"PTPRZ1",3.50804246818556
"LDB2",3.47894263592181
"SCD5",3.47523078690268
"XPR1",3.43022928870155
"PLXNC1",3.42805884841699
"ARGLU1",3.40926452709692
"PLCL1",3.40784555611134
"SORCS3",3.38841720877851
"SIAH3",3.38539845632195
"CTA-390C10.10",3.36858191774335
"RIT2",3.36747554340724
"RFX5",3.3639245411796
"EDIL3",3.35735525221212
"C7orf63",3.32613067480393
"RNF145",3.3260788938242
"KCTD4",3.32390728708029
"CAPS2",3.31288893920922
"ERBB4",3.31149680201162
"STARD4",3.3084190572051
"TRPM3",3.30411727123834
"TP53INP1",3.28533593831978
"KCNK2",3.28459720303518
"RP11-166D19.1",3.27640603848556
"DCHS2",3.25474694450353
"SLC8A1",3.25338659953895
"SOX6",3.2509776674776
"PNRC1",3.23168736846526
"PCMTD2",3.23146432493323
"TCP11L2",3.23025839715002
"RP5-1092A3.4",3.22919192776414
"MSMO1",3.2221774773999
"SYT1",3.22188541072918
"H3F3A",3.21845538112974
"RP11-999E24.3",3.19715860304365
"RP11-355I22.7",3.19712052445084
"NKAIN2",3.16982531421276
"SULF1",3.16866151794142
"SPEF2",3.16833827682704
"ST6GALNAC3",3.16784967559779
"CXXC4",3.16640572535277
"RP4-593C16.3",3.16261929881291
"PDZRN4",3.1595266460036
"MAP3K5",3.15466690409564
"RTKN2",3.15071042138784
"RP11-389G6.3",3.14725185174125
"C3orf58",3.14717514755983
"LUC7L3",3.13837011807921
"FAM117B",3.11978092355489
"COL5A2",3.10595663643126
"SH3GL3",3.10183852515384
"ACVR2B",3.0854179281097
"NRG4",3.08192082431217
"GCLC",3.07432116315413
"SLC2A13",3.0713019750203
"FOXO3",3.07054919333589
"IGF1R",3.06641212775568
"SERINC1",3.06066644463575
"PPP2R3A",3.05389064797332
"ZNF577",3.03889050970785
"C1orf63",3.03251975780535
"ROBO2",3.03203359525891
"OGT",3.02711772015292
"SERPINI1",3.02206362244503
"SEPT10",3.02115512796491
"CLK1",3.01701267498299
"SMAD9",3.01553006008996
"OPCML",3.00577529640235
"DCDC1",3.00410893758648
"C21orf62",3.00382923990228
"GPR85",3.0014532527934
"CDK19",2.99552686540119
"RP11-196G18.22",2.98312929452202
"H3F3AP4",2.97913764490186
"TIA1",2.97826833397573
"KIDINS220",2.97596515532009
"ABCC5",2.97594182992132
"NIPAL3",2.97474780470842
"HNRNPA1P48",2.96549635715618
"GPRIN3",2.9644760386329
"GAB1",2.95888200640929
"CNR1",2.95480625793876
"MIAT",2.95353621678647
"KAL1",2.94880943287374
"CREBZF",2.94377048254703
"RP1-193H18.2",2.94214679026956
"GOLGA8A",2.93700934292302
"RP11-91J19.4",2.93084273406848
"PTPRO",2.93011752329331
"CCDC146",2.92584502558389
"DOCK4",2.91465043023595
"GPR137C",2.90652928454314
"RNA5SP187",2.88317272635716
"NRSN1",2.88020261358206
"DCTN1-AS1",2.87628214991096
"RNU1-122P",2.86784860765437
"SLC35F1",2.86783232171586
"CTD-2636A23.2",2.85766757195619
"C6orf3",2.85155999749104
"GOLGA8B",2.84981768537752
"PLK1S1",2.84950286751137
"PLCE1",2.84826033508464
"RP5-1159O4.2",2.83467580244535
"GPR155",2.8339199972418
"CD46",2.8313234289702
"SYTL2",2.82879108865511
"CCNG2",2.82142571515019
"RP11-344N10.5",2.81965058296322
"PLP1",2.81712628858564
"PBX3",2.81551674127406
"CDH8",2.80616230089596
"MAN1A1",2.80477906970931
"TDRP",2.79294363895525
"GLIPR1L1",2.79184177106259
"GRIA2",2.78471678143069
"COL24A1",2.77319448760471
"NCAM1",2.77151243262856
"DDX17",2.77033497912682
"HNRNPA1",2.76854879819581
"SLIT2",2.76759720745358
"RP11-348J24.2",2.76349275629342
"RP11-387M24.5",2.76059420431307
"DAB2",2.75685295228306
"BIVM",2.75446259546092
"SLC18B1",2.75182882650194
"RP11-23N2.4",2.75058362151193
"MT-TY",2.74764181662896
"ZNF781",2.74121879652533
"FAM13A",2.73303094441328
"NME5",2.73301812637049
"PLSCR5",2.73078822959875
"PCDH17",2.72648518109355
"HMGN3",2.72588008518177
"COL9A1",2.72513301377335
"PELI2",2.72496554863158
"CRIM1",2.72287798218364
"RP3-525N10.2",2.72148966215652
"KIAA1239",2.71955993831433
"FEZ2",2.71645031680017
"AK3",2.70777114177835
"FUT9",2.7049102937013
"NTN4",2.70454314542743
"PLCH1",2.69177428660678
"HIBCH",2.68708027659237
"SEMA3C",2.6846114349633
"PPP4R4",2.67953764399279
"SLC39A10",2.67405064272013
"CTD-2619J13.19",2.67258854853614
"HMGCR",2.67222590397213
"RP11-457M11.5",2.67032939878873
"RAD21",2.66810924953806
"TFDP2",2.66706997073505
"KLHL24",2.66392381059487
"SASH1",2.66155837683429
"RP11-326G21.1",2.66150863585598
"ACVR2A",2.65945280841297
"ROBO1",2.65705598140577
"NCOA3",2.65503616940557
"C2CD5",2.65474541832135
"HNRNPR",2.65406060213459
"MOCOS",2.6447443466716
"USP3",2.64256866014798
"RANP4",2.63726166170551
"TRANK1",2.63287114672215
"SOWAHC",2.62143866122128
"SATB1",2.61898275262733
"SYNPR",2.61307036837859
"ETNK1",2.61131958683759
"TMEM255A",2.61129600939363
"PHTF1",2.60388825162185
"CLUL1",2.60356268734898
"INSIG1",2.60123939161934
"DACH2",2.59921499880979
"CRB1",2.59850261976072
"KCNIP4",2.59470757794776
"PURG",2.59075339003289
"RNF152",2.59038067045596
"MANEA-AS1",2.59002936237874
"ZFC3H1",2.58710550816258
"RP11-491F9.1",2.58694761806561
"CTD-2034I4.1",2.58151649371195
"RP11-125B21.2",2.5810581349336
"RP11-491F9.6",2.57732112537646
"SCN2A",2.57555379062916
"GDA",2.57244705029008
"SLC44A5",2.57115814303591
"C14orf132",2.56910561652955
"GABRG2",2.56481250492284
"ANO5",2.56218346583533
"PDGFC",2.56207198051815
"NAV3",2.55944459683034
"C7orf73",2.55885342112408
"FNBP1L",2.55807554391109
"LINC00342",2.556253763103
"LMO3",2.55176261749736
"FAM214A",2.55064312740861
"RP11-88H12.2",2.54397490859698
"HERC2P2",2.54215419103733
"SLC11A2",2.54147665857336
"PSIP1",2.54094997766972
"SLC7A11",2.53688776396152
"UPF3B",2.53586935468775
"LINC00966",2.53215871224825
"CTB-175P5.4",2.53081456549258
"FBXO32",2.5304018844959
"CDH20",2.52516920024049
"BTN3A1",2.5204304358088
"RP11-95O2.5",2.51774386070412
"SORBS2",2.51401428585807
"PRLR",2.51391434348163
"RP11-627G23.1",2.51220188470956
"RP11-483C6.1",2.50914405895168
"RP11-37C7.3",2.50690494249783
"KLHL32",2.50431188702067
"SYNM",2.50359527153863
"LRRN1",2.49935207758048
"RFX3",2.49692906254896
"MARCKS",2.49691948439723
