"gene","profile_id","block","condition","vst","row_z","RIN_mean","libraries_n"
"NDUFB7","68_3__batch1__control","68_3 / B1","Control",6.61917073436901,-1.24154025797367,8.2,3
"NDUFB7","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",7.52562924213527,-0.480783301921937,8.06666666666667,3
"NDUFB7","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",8.11459116195029,0.0135105609631796,8.43333333333333,3
"NDUFB7","68_3__batch2__control","68_3 / B2","Control",7.4775181009676,-0.521161195662579,8.45,2
"NDUFB7","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",8.37632757105621,0.233176207182343,8.9,1
"NDUFB7","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",8.56164765651733,0.388708471376174,9.2,2
"NDUFB7","69_2__batch1__control","69_2 / B1","Control",7.52497862826256,-0.48132933797888,7.6,3
"NDUFB7","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.8820706958229,2.33615333841645,5.63333333333333,3
"NDUFB7","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",7.8045035135918,-0.246734484401081,8.2,3
"NDUFS6","68_3__batch1__control","68_3 / B1","Control",8.33956289493331,-2.00941281575045,8.2,3
"NDUFS6","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",9.67722910246217,0.355266325015965,8.06666666666667,3
"NDUFS6","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",9.67732644780613,0.355438408681544,8.43333333333333,3
"NDUFS6","68_3__batch2__control","68_3 / B2","Control",9.16875314683742,-0.543599534852266,8.45,2
"NDUFS6","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",9.78848024136906,0.551932164430134,8.9,1
"NDUFS6","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",9.87145786660878,0.69861708362023,9.2,2
"NDUFS6","69_2__batch1__control","69_2 / B1","Control",9.11298327643205,-0.64218754469252,7.6,3
"NDUFS6","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.3065714354219,1.46779550365198,5.63333333333333,3
"NDUFS6","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",9.34397439640558,-0.233849590104625,8.2,3
"NDUFS8","68_3__batch1__control","68_3 / B1","Control",8.58361780910626,-1.44870604340969,8.2,3
"NDUFS8","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",9.37281457464189,-0.279392428858516,8.06666666666667,3
"NDUFS8","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",9.58802446488722,0.0394733668966634,8.43333333333333,3
"NDUFS8","68_3__batch2__control","68_3 / B2","Control",9.38488591196387,-0.261506928444878,8.45,2
"NDUFS8","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",9.80746474935966,0.364607127474679,8.9,1
"NDUFS8","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",10.0096413919147,0.664162208042465,9.2,2
"NDUFS8","69_2__batch1__control","69_2 / B1","Control",9.10019511004167,-0.683319136961957,7.6,3
"NDUFS8","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.9860931217248,2.11092219424695,5.63333333333333,3
"NDUFS8","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",9.21970966720133,-0.506240358985722,8.2,3
"NDUFA3","68_3__batch1__control","68_3 / B1","Control",8.31968881023037,-1.72623996426403,8.2,3
"NDUFA3","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",9.01286957443064,-0.402957532772936,8.06666666666667,3
"NDUFA3","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",9.30614669374222,0.156908637187912,8.43333333333333,3
"NDUFA3","68_3__batch2__control","68_3 / B2","Control",9.22207484685639,-0.00358456128590679,8.45,2
"NDUFA3","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",9.43657252268827,0.405891610995748,8.9,1
"NDUFA3","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",9.79406912716199,1.08835281080065,9.2,2
"NDUFA3","69_2__batch1__control","69_2 / B1","Control",8.81175579530086,-0.78688383944166,7.6,3
"NDUFA3","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.0878418503512,1.64916508881596,5.63333333333333,3
"NDUFA3","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",9.02455384724008,-0.380652250035725,8.2,3
"NDUFV1","68_3__batch1__control","68_3 / B1","Control",10.4141144310567,-1.65419492350742,8.2,3
"NDUFV1","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",11.0755259597567,-0.420569934645078,8.06666666666667,3
"NDUFV1","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",11.1957905092144,-0.196259732830298,8.43333333333333,3
"NDUFV1","68_3__batch2__control","68_3 / B2","Control",11.2024088392773,-0.183915621795383,8.45,2
"NDUFV1","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",11.5750623162216,0.511135222341757,8.9,1
"NDUFV1","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",11.6783915205453,0.70385863734412,9.2,2
"NDUFV1","69_2__batch1__control","69_2 / B1","Control",10.9515215464728,-0.651855505455911,7.6,3
"NDUFV1","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",12.3500978456547,1.95668486107289,5.63333333333333,3
"NDUFV1","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",11.2662285149387,-0.0648830025246603,8.2,3
"NDUFB2","68_3__batch1__control","68_3 / B1","Control",9.74036466608043,-1.24520766257374,8.2,3
"NDUFB2","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",10.5789614812725,0.840324373869393,8.06666666666667,3
"NDUFB2","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",10.1706252213286,-0.175179544493647,8.43333333333333,3
"NDUFB2","68_3__batch2__control","68_3 / B2","Control",9.67504209132144,-1.40766036916034,8.45,2
"NDUFB2","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",10.322484907215,0.202484947217637,8.9,1
"NDUFB2","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",10.3481235881679,0.266246566068106,9.2,2
"NDUFB2","69_2__batch1__control","69_2 / B1","Control",10.132604747619,-0.269733821979174,7.6,3
"NDUFB2","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.9973987491968,1.88094879753617,5.63333333333333,3
"NDUFB2","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",10.2039821070303,-0.0922232864844245,8.2,3
"NDUFA2","68_3__batch1__control","68_3 / B1","Control",8.50685222842914,-1.24964639287425,8.2,3
"NDUFA2","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",8.9666575164471,-0.0201662690032905,8.06666666666667,3
"NDUFA2","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",9.0424206662955,0.182417931935332,8.43333333333333,3
"NDUFA2","68_3__batch2__control","68_3 / B2","Control",8.57991184697263,-1.05429120406376,8.45,2
"NDUFA2","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",8.9916527858058,0.0466689494427681,8.9,1
"NDUFA2","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",9.12842715021107,0.412391934526816,9.2,2
"NDUFA2","69_2__batch1__control","69_2 / B1","Control",8.81437353794079,-0.427360639395546,7.6,3
"NDUFA2","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",9.80426500404261,2.21952471420256,5.63333333333333,3
"NDUFA2","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",8.93323357985089,-0.109539024770622,8.2,3
"NDUFA8","68_3__batch1__control","68_3 / B1","Control",9.64874407753763,-1.64054434216473,8.2,3
"NDUFA8","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",10.4213137169287,0.86813790937787,8.06666666666667,3
"NDUFA8","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",10.2969285516728,0.464235347689432,8.43333333333333,3
"NDUFA8","68_3__batch2__control","68_3 / B2","Control",9.6973239492436,-1.48279615259437,8.45,2
"NDUFA8","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",10.132455655721,-0.0698397879310012,8.9,1
"NDUFA8","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",10.4103366150376,0.832493147684272,9.2,2
"NDUFA8","69_2__batch1__control","69_2 / B1","Control",10.067511227288,-0.280726841523762,7.6,3
"NDUFA8","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.5106165730712,1.15812146399062,5.63333333333333,3
"NDUFA8","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",10.2004402458177,0.150919255471678,8.2,3
"NDUFS3","68_3__batch1__control","68_3 / B1","Control",10.3042660873581,-1.31474113760659,8.2,3
"NDUFS3","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",10.8133992713842,0.582163553290021,8.06666666666667,3
"NDUFS3","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",10.7030211667721,0.170921954863198,8.43333333333333,3
"NDUFS3","68_3__batch2__control","68_3 / B2","Control",10.4165267501454,-0.896485591659843,8.45,2
"NDUFS3","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",10.5346447765311,-0.456406953377932,8.9,1
"NDUFS3","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",10.8943455769313,0.883749526313785,9.2,2
"NDUFS3","69_2__batch1__control","69_2 / B1","Control",10.448043803018,-0.779060824795353,7.6,3
"NDUFS3","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",11.1592565584461,1.87074251610796,5.63333333333333,3
"NDUFS3","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",10.6408042207808,-0.0608830431352257,8.2,3
"NDUFB6","68_3__batch1__control","68_3 / B1","Control",9.94459181979757,-0.38459923230054,8.2,3
"NDUFB6","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",10.453075763194,1.37954834551887,8.06666666666667,3
"NDUFB6","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",10.2187459840531,0.566558441607622,8.43333333333333,3
"NDUFB6","68_3__batch2__control","68_3 / B2","Control",9.49336331970975,-1.95010326799529,8.45,2
"NDUFB6","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",9.9366478386711,-0.412160289526649,8.9,1
"NDUFB6","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",10.1040130254912,0.168500895107616,9.2,2
"NDUFB6","69_2__batch1__control","69_2 / B1","Control",10.0016215809572,-0.186738677763961,7.6,3
"NDUFB6","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.4019370739021,1.20212643078856,5.63333333333333,3
"NDUFB6","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",9.94501453719462,-0.383132645436221,8.2,3
"NDUFAB1","68_3__batch1__control","68_3 / B1","Control",10.5031731587575,0.0706883089204764,8.2,3
"NDUFAB1","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",10.8103378455344,1.04099123798858,8.06666666666667,3
"NDUFAB1","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",10.5426393832672,0.1953582169196,8.43333333333333,3
"NDUFAB1","68_3__batch2__control","68_3 / B2","Control",9.90872671100503,-1.80710934900927,8.45,2
"NDUFAB1","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",10.3869562469698,-0.296429445070395,8.9,1
"NDUFAB1","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",10.605132210137,0.392766889100465,9.2,2
"NDUFAB1","69_2__batch1__control","69_2 / B1","Control",10.3392716873872,-0.44706026243366,7.6,3
"NDUFAB1","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.9902686738258,1.60937496579519,5.63333333333333,3
"NDUFAB1","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",10.240655026096,-0.758580562210999,8.2,3
"NDUFA1","68_3__batch1__control","68_3 / B1","Control",10.2447301091654,-0.901062130875068,8.2,3
"NDUFA1","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",10.7038316295823,1.04453104529413,8.06666666666667,3
"NDUFA1","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",10.4178446310507,-0.167432601245279,8.43333333333333,3
"NDUFA1","68_3__batch2__control","68_3 / B2","Control",10.1113639699324,-1.46624486036821,8.45,2
"NDUFA1","68_3__batch2__psilocin_day1","68_3 / B2","Day 1",10.378524959139,-0.334062599096598,8.9,1
"NDUFA1","68_3__batch2__psilocin_day3","68_3 / B2","Day 3",10.5391371193417,0.346584074903688,9.2,2
"NDUFA1","69_2__batch1__control","69_2 / B1","Control",10.333838233442,-0.523437246565444,7.6,3
"NDUFA1","69_2__batch1__psilocin_day1","69_2 / B1","Day 1",10.8916696527963,1.84055623784501,5.63333333333333,3
"NDUFA1","69_2__batch1__psilocin_day3","69_2 / B1","Day 3",10.495242934741,0.160568080107753,8.2,3
"NDUFA9","68_3__batch1__control","68_3 / B1","Control",8.61102674176298,-1.81966529993148,8.2,3
"NDUFA9","68_3__batch1__psilocin_day1","68_3 / B1","Day 1",9.1382745727023,0.711445930270274,8.06666666666667,3
"NDUFA9","68_3__batch1__psilocin_day3","68_3 / B1","Day 3",9.06716981888242,0.370099735268207,8.43333333333333,3
"NDUFA9","68_3__batch2__control","68_3 / B2","Control",8.91025989128395,-0.3831636383659,8.45,2
