"gene","functional_group","leading_edge","day1_log2fc","day3_log2fc","day3_minus_day1_log2fc","annotation_source","annotation_rule","ROS","Glycolysis","PI3K–mTOR","Resp. ET","Mitophagy"
"NDUFB7","Respiratory complex I","Shared",2.50666613047475,1.66292388678219,-0.843742243692563,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFS6","Respiratory complex I","Shared",1.17763209363306,0.873952568490641,-0.303679525142418,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFS8","Respiratory complex I","Shared",1.22233895347496,0.721409838384242,-0.500929115090715,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFA3","Respiratory complex I","Shared",0.873497699601297,0.712501234869577,-0.16099646473172,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFV1","Respiratory complex I","Shared",0.867086350518047,0.558525946899449,-0.308560403618598,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFB2","Respiratory complex I","Shared",0.839018021374634,0.430610858000339,-0.408407163374295,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFA2","Respiratory complex I","Shared",0.741467175372091,0.488969305875945,-0.252497869496146,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFA8","Respiratory complex I","Shared",0.588570912012013,0.536387020424415,-0.0521838915875981,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFS3","Respiratory complex I","Shared",0.482881709758016,0.38146342491566,-0.101418284842355,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFB6","Respiratory complex I","Shared",0.482064433469146,0.302919119928167,-0.179145313540979,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFAB1","Respiratory complex I","Shared",0.50776673243079,0.238968769530383,-0.268797962900407,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFA1","Respiratory complex I","Shared",0.457318176400923,0.272671768093119,-0.184646408307804,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFA9","Respiratory complex I","Shared",0.445821847609008,0.274946666272964,-0.170875181336044,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFB8","Respiratory complex I","Shared",0.282730379610407,0.26542757261029,-0.0173028070001169,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFS4","Respiratory complex I","Shared",0.324666379597991,0.210713507949264,-0.113952871648727,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
"NDUFS7","Respiratory complex I","Day 1 only",1.17667603396504,0.397079492815305,-0.779596541149734,"Project descriptive assignment; not an ontology or enrichment result","Symbol starts NDUF",FALSE,FALSE,FALSE,TRUE,FALSE
