"block","contrast","symbol","log2_normalized_ratio"
"68_3__batch1","day1_vs_control","MT-RNR2",-0.630477229724999
"68_3__batch1","day1_vs_control","MT-CO1",-0.0797024963764024
"68_3__batch1","day1_vs_control","MT-ND4",0.184012001719008
"68_3__batch1","day1_vs_control","MT-CO3",0.146295687888674
"68_3__batch1","day1_vs_control","MT-ND2",0.255123651556175
"68_3__batch1","day1_vs_control","MT-CYB",0.319977543467463
"68_3__batch1","day1_vs_control","MT-ND5",0.256305184578821
"68_3__batch1","day1_vs_control","MAP1B",0.176199577342597
"68_3__batch1","day1_vs_control","MT-CO2",0.129680978852392
"68_3__batch1","day1_vs_control","MT-ATP6",0.191431782720283
"68_3__batch1","day1_vs_control","TUBA1A",-0.116106334197905
"68_3__batch1","day1_vs_control","MT-ND1",0.124982990759079
"68_3__batch1","day1_vs_control","PEG10",0.187129927140131
"68_3__batch1","day1_vs_control","DPYSL3",0.219465165617525
"68_3__batch1","day1_vs_control","STMN2",0.106087054925212
"68_3__batch1","day1_vs_control","DCX",-0.121002360809847
"68_3__batch1","day1_vs_control","GNAS",0.281763781002933
"68_3__batch1","day1_vs_control","MT-ND6",-0.0607715869491798
"68_3__batch1","day1_vs_control","ACTB",1.08420035742704
"68_3__batch1","day1_vs_control","EIF4G2",0.327098615265136
"68_3__batch1","day1_vs_control","ACTG1",0.697954734417442
"68_3__batch1","day1_vs_control","MAP2",0.313774203759493
"68_3__batch1","day1_vs_control","NCAM1",-0.455792273622627
"68_3__batch1","day1_vs_control","APP",-0.331232047930548
"68_3__batch1","day1_vs_control","MT-ND3",-0.0478441541879384
"68_3__batch1","day1_vs_control","HSPA8",1.12888730008907
"68_3__batch1","day1_vs_control","XPR1",-0.501085279753102
"68_3__batch1","day1_vs_control","KIF5C",-0.501386294230578
"68_3__batch1","day1_vs_control","MT-ND4L",0.281814790271271
"68_3__batch1","day1_vs_control","STMN1",0.0169080931846892
"68_3__batch1","day1_vs_control","MT-RNR1",-0.339475514184274
"68_3__batch1","day1_vs_control","KIDINS220",-0.422304883184724
"68_3__batch1","day1_vs_control","GPM6A",-0.848066713903076
"68_3__batch1","day1_vs_control","RTN1",-0.408911698133792
"68_3__batch1","day1_vs_control","TTC3",0.0162070000193495
"68_3__batch1","day1_vs_control","RTN4",-0.0772007324678619
"68_3__batch1","day1_vs_control","HSP90AA1",0.644310972605384
"68_3__batch1","day1_vs_control","ANK2",-0.0483381313279629
"68_3__batch1","day1_vs_control","INA",0.0709849203900781
"68_3__batch1","day1_vs_control","NSG2",-0.206568282294212
"68_3__batch1","day1_vs_control","YWHAZ",0.648539047884277
"68_3__batch1","day1_vs_control","DPYSL2",-0.0347187379550391
"68_3__batch1","day1_vs_control","TUBB",-0.176457067579744
"68_3__batch1","day1_vs_control","MT-ATP8",0.0354923010143597
"68_3__batch1","day1_vs_control","EEF1A1",-0.191791026153128
"68_3__batch1","day1_vs_control","SERINC1",-0.767931497299084
"68_3__batch1","day1_vs_control","RTN3",-0.234840709065359
"68_3__batch1","day1_vs_control","HSP90AB1",0.669198905231251
"68_3__batch1","day1_vs_control","SEPT3",0.699952377997699
"68_3__batch1","day1_vs_control","DYNC1H1",0.529571265309221
"68_3__batch1","day1_vs_control","ATP9A",0.0183883249640395
"68_3__batch1","day1_vs_control","GAP43",0.48608415057476
"68_3__batch1","day1_vs_control","CCNI",0.27941343257435
"68_3__batch1","day1_vs_control","MIAT",-0.871904817853126
"68_3__batch1","day1_vs_control","CRMP1",0.5382786970446
"68_3__batch1","day1_vs_control","TMSB4X",0.777487423964514
"68_3__batch1","day1_vs_control","SPTAN1",0.644998339736699
"68_3__batch1","day1_vs_control","CALM1",0.228023426674795
"68_3__batch1","day1_vs_control","DDX17",-0.853249087554618
"68_3__batch1","day1_vs_control","HMGCS1",-0.343960549855042
"68_3__batch1","day1_vs_control","MAPT",0.6132964923834
"68_3__batch1","day1_vs_control","YWHAG",0.418240222490262
"68_3__batch1","day1_vs_control","BASP1",0.0413308695169636
"68_3__batch1","day1_vs_control","MORF4L2",-0.319129242426648
"68_3__batch1","day1_vs_control","UCHL1",0.185242866944584
"68_3__batch1","day1_vs_control","TMSB10",1.21497529313175
"68_3__batch1","day1_vs_control","KIF1A",0.730802191057084
"68_3__batch1","day1_vs_control","NEFL",0.682628865710381
"68_3__batch1","day1_vs_control","MATR3",-0.0425671726416219
"68_3__batch1","day1_vs_control","KIF1B",0.045566417327624
"68_3__batch1","day1_vs_control","CLTC",0.160188075849565
"68_3__batch1","day1_vs_control","NREP",-0.0937409941494103
"68_3__batch1","day1_vs_control","SPTBN1",0.298964988969312
"68_3__batch1","day1_vs_control","HMGCR",-0.561584615421911
"68_3__batch1","day1_vs_control","SCG2",-0.331963486893237
"68_3__batch1","day1_vs_control","YWHAE",0.429636039177481
"68_3__batch1","day1_vs_control","RBFOX2",-0.0500826299393964
"68_3__batch1","day1_vs_control","MLLT11",0.0876926788433927
"68_3__batch1","day1_vs_control","TMEM66",-0.41606155336104
"68_3__batch1","day1_vs_control","ATP1A3",0.958624654767972
"68_3__batch1","day1_vs_control","YWHAQ",0.450551763655103
"68_3__batch1","day1_vs_control","CLASP2",-0.424297796374539
"68_3__batch1","day1_vs_control","CALM2",-0.0157541815242173
"68_3__batch1","day1_vs_control","AP2B1",0.485665041603674
"68_3__batch1","day1_vs_control","MARCKS",-0.20418705290778
"68_3__batch1","day1_vs_control","MARCH6",-0.541852473474771
"68_3__batch1","day1_vs_control","GNB1",0.502051439072302
"68_3__batch1","day1_vs_control","SDC3",0.565720879139606
"68_3__batch1","day1_vs_control","TUBB2B",-0.232549645077254
"68_3__batch1","day1_vs_control","MARCKSL1",0.631854584959823
"68_3__batch1","day1_vs_control","PAK3",0.0795572203866879
"68_3__batch1","day1_vs_control","DDX5",-0.34295651103252
