"symbol","statistic"
"TH",4.45750161901334
"MLLT1",4.21754819390741
"MT3",4.16177827397602
"HRAS",4.15566840578059
"RAB1B",4.13621731984612
"TMSB10",4.12345734327309
"PRR5",4.07633173370801
"ATP6V0D1",4.06905076849656
"ETV4",4.06524873929805
"PRKAR1B",4.00862720092533
"DEAF1",3.99366425586048
"PPP1CA",3.95556813931241
"CALM3",3.94006273056479
"MPND",3.93901736901055
"ZP3",3.93557189771852
"CCDC86",3.88710407276184
"PAFAH1B3",3.88686329966724
"ECSIT",3.87459955355859
"PPP2R1A",3.87083559323522
"CTNNBIP1",3.83016880473638
"PPP2R4",3.81535388701871
"CTD-3193O13.9",3.80672145860321
"RAB3A",3.8029297614551
"GSK3A",3.79553600740503
"GPR153",3.77221156537161
"PRDX2",3.76311597149666
"DIO3",3.75687947654098
"NUDT14",3.75081052255767
"PKM",3.74966909471659
"MRPL54",3.74246219365415
"TPBGL",3.73744480431989
"MAPK8IP1",3.73603735796585
"ZNF423",3.72694217203504
"PPP1R14B",3.7213126079268
"LDOC1",3.70485992515597
"HCN2",3.69958365343825
"SNRNP25",3.69632881184155
"TPI1",3.68322904603908
"LRRC4",3.67283335382293
"SNX8",3.66213213685864
"PRDX5",3.66156198379094
"AC092171.4",3.65355865820053
"GNB2",3.64759267265606
"ALDOA",3.64543177559414
"KCTD17",3.64127107429848
"PUF60",3.63836163249804
"TBCB",3.63397706543641
"NGB",3.62820983715372
"RPS9",3.62812077341595
"CIB2",3.62521411284159
"SLC4A3",3.61973807073592
"APBB1",3.61220643830649
"C7orf43",3.61028503053166
"NUDT16L1",3.59077312848824
"SEPT5",3.58780554687374
"DGCR5",3.58043912492146
"ACTL6B",3.58034703338485
"R3HCC1",3.58018063639792
"AC013283.1",3.57852672231902
"FIS1",3.56730523344705
"VAC14",3.55626781067532
"CUEDC2",3.54918446436932
"RP11-161M6.2",3.54235345395306
"JUP",3.53686096215265
"ENHO",3.53593664337152
"CHMP1A",3.52728089659582
"COTL1",3.52356986062631
"TUBA1B",3.51982059749099
"STX1B",3.51696845646405
"MAP1LC3A",3.5114234839794
"PPP4C",3.51035784863295
"MEA1",3.50978417318738
"TRAPPC9",3.50795741992555
"ARL8A",3.50714041432701
"RASGEF1C",3.50443205947426
"GRK6",3.50195153583581
"SRM",3.50148495971868
"DPYSL5",3.50054416100165
"NSMF",3.49573552719432
"SH3BGRL3",3.49529987549192
"PHB",3.49437875311535
"PRR19",3.48988578022145
"DLGAP3",3.4883498251668
"NTHL1",3.48687440176854
"ATP6V0E2",3.48248110056364
"EMD",3.48012957659841
"STMN3",3.46346532525692
"GAPDH",3.46293065613456
"RAC3",3.46144362378272
"ACOT7",3.45870298480635
"EIF6",3.45825235296806
"ACTB",3.454957627928
"RHOBTB2",3.45294421859944
"LY6E",3.45277110096567
"NCS1",3.45265168540102
"KDM8",3.44867608254768
"ETNK2",3.44859588740472
"ODC1",3.44718946472965
"BTBD6",3.4427651253264
"CENPB",3.44169513611777
"B4GALT2",3.43863805771398
"C19orf53",3.43707096799378
"AES",3.42712885372893
"FAM149A",3.41592919874666
"LL22NC03-86G7.1",3.41171698116611
"GNG3",3.40943386710442
"FAM96B",3.40606061586803
"PKN1",3.40352062082738
"GFER",3.4027114263019
"MRPL23",3.40150185382506
"NDUFS6",3.3992674996201
"GIT1",3.39651333899526
"PSMC3",3.39495552068944
"PHPT1",3.38613280704404
"VAT1",3.38283370807629
"HSPB1",3.37937715435743
"CAMK2B",3.37868867917046
