"symbol","statistic"
"YPEL1",6.47894674935567
"YPEL2",5.6897164071351
"PDCD4",5.56509835289767
"KIT",5.32289754969627
"SCN1A",5.12848419263143
"SCD5",5.02259055871164
"NPFFR1",4.89441841970594
"ATRNL1",4.84382404012061
"RIT2",4.83243325731932
"CNTNAP4",4.73384853985341
"TCP11L2",4.68635571602457
"B3GAT2",4.64352976092893
"COL25A1",4.62175161801647
"GPM6A",4.5600935713521
"ENC1",4.55469469005809
"CTA-390C10.10",4.49161825473882
"RPS6KA5",4.44330101966327
"SIAH3",4.43883134776877
"PCDHGC4",4.37833886764771
"RP11-355I22.7",4.36323928534398
"PPP2R3A",4.36154753426538
"HTR2C",4.3604342686428
"SYT6",4.36010511365159
"BTN3A1",4.33404811865252
"FBXO32",4.33300500449576
"EDIL3",4.32401929141758
"NRSN1",4.31667033232014
"TUBA1A",4.29832482910926
"LDB2",4.2429030349652
"ARID5B",4.22991558059266
"PTPRZ1",4.21587325807751
"NEGR1",4.19980945547529
"SEMA3C",4.19461720207828
"EPHA7",4.17404428917375
"RP11-125B21.2",4.16843366081959
"RP11-395I6.3",4.13009301912912
"RP11-627G23.1",4.12849094507344
"ST3GAL6",4.10882898168504
"TUBB",4.08142753227031
"SERPINI1",4.07116944860944
"RP5-1074L1.4",4.05811681460804
"RAD51-AS1",4.01895031321523
"ROBO1",3.98907687732612
"CAPS2",3.98346156010623
"SLC6A1",3.97923847621429
"PLCL1",3.95633222737025
"RP11-999E24.3",3.93192195408558
"ETNK1",3.88036443319562
"PLXNC1",3.87045557743563
"KIAA1377",3.84817621788615
"SORCS3",3.84179469111957
"BCAS3",3.83575978893968
"TSHZ2",3.80565927521195
"N4BP2L1",3.78778578607895
"CADM1",3.77980434258549
"STX16-NPEPL1",3.77647641356315
"PNRC1",3.76784479515016
"SORL1",3.76606338154469
"MSMO1",3.76173795019716
"CALCOCO1",3.7569297558566
"SH3GL3",3.75307184422238
"FOXO3",3.74244537815792
"RNF145",3.74206007247716
"DOCK4",3.74035854187799
"ATP8A1",3.72974122217907
"SEC14L5",3.7269259110357
"COL13A1",3.71448922364874
"ZNF704",3.70363014392639
"RGS8",3.69052010965683
"OPCML",3.68257125386221
"CACNG8",3.67498029004553
"NIPAL3",3.67014660559256
"COL24A1",3.66389483912129
"TUBB2B",3.65196564689948
"SULF1",3.64501790146209
"MAOA",3.64275200178847
"IGF1R",3.63016704226974
"CDK19",3.62832026074544
"ST6GAL1",3.62411689768278
"NAALAD2",3.61735128577951
"RFX5",3.60928764730511
"RELN",3.60193365626373
"C3orf58",3.59997161801578
"CRIP3",3.59196216559933
"SMAD9",3.57910957402162
"TCF4",3.56123175652995
"VCAN",3.55664625679496
"NTN4",3.5557348015682
"TUBA1C",3.55452726236369
"EEF1A1",3.55015927407006
"C7orf63",3.54893774284619
"INSIG1",3.54158655599373
"RTKN2",3.54095014343183
"RP11-454P21.1",3.50182974387241
"KIDINS220",3.48660128296476
"MMRN1",3.48413402758157
"PDE11A",3.4827504230296
"EFHC1",3.48085819095678
"H3F3A",3.48027806700707
"CTD-2619J13.19",3.47903599982206
"TMC2",3.47677930135367
"ADAMTSL3",3.46438880815926
"MIAT",3.45978254117029
"ERBB4",3.4595832597065
"GAB1",3.45927158462186
"XPR1",3.44984544220266
"DEPTOR",3.44717031907929
"CTD-2636A23.2",3.44536389955275
"ELMOD1",3.42821385370192
"MOCOS",3.42129013114057
"TP53INP1",3.4109820594454
"SERINC1",3.41070591360196
"COL9A1",3.40389852496187
"VASH2",3.3955234022799
"COL11A1",3.39200268795171
"RBFOX1",3.39119096639776
"C14orf132",3.3871512716066
"PCMTD2",3.38667343704826
"TRANK1",3.37917217177337
"NCAM1",3.3663042995974
"RP5-1092A3.4",3.35918676245151
"PDE1A",3.35870642655746
"TBC1D31",3.35848379273715
"CDH20",3.35682106971161
"PAIP2B",3.35515732803867
"TRPM3",3.34920232313246
"SEC31B",3.34348969090658
"FAM117B",3.33834405223068
"SLC2A13",3.33799300534292
"FUT9",3.33103218789844
"PLP1",3.32493027222985
"SLIT2",3.32321100968107
"RNF152",3.3211681793174
"MICU1",3.29511306964357
"C10orf85",3.29307126473424
"TUBA1B",3.29297554611335
"SEMA4G",3.2888330268355
"CRIM1",3.28401093360324
"C1orf95",3.28281249136795
"EPHB1",3.28168444233207
"PLCH1",3.27736220874536
"SLC9A9",3.27312767614116
"NKAIN2",3.27095715403143
"CXXC4",3.26815099185806
"CACNA2D3",3.26065668450308
"SOX6",3.25498413231259
"GPR137C",3.25152667902891
"FAM49A",3.24676397813646
"KCTD4",3.24649761975689
"SCN2A",3.24382323279433
"TENM2",3.23422166937405
"PDZRN4",3.23315361060764
"DACH2",3.22929982652773
"ACVR2B",3.22677505639631
"MDGA1",3.21671044821502
"RP11-37E23.5",3.21660005387487
"HMGCR",3.21589920718759
"MYCL",3.21394153006901
"STARD4",3.21246172963081
"DNM3",3.19799689747722
"STK36",3.19467111307589
"RP4-610C12.4",3.19395493168209
"H3F3AP4",3.18401460604243
"RP11-91J19.4",3.18232915031132
"RPH3A",3.17640195277138
"GPRIN3",3.16126322661466
"KLHL32",3.1610308615217
"IGSF3",3.15515073703885
"C6orf3",3.15186893128147
"SYT1",3.14664388061826
"SCAMP1",3.14150666225806
"DCTN1-AS1",3.14026796617638
"NIPSNAP3A",3.12796700215864
"RP11-566E18.3",3.11954372803234
"DCHS2",3.11665383879008
"GRIA2",3.10852353954886
"RP11-326G21.1",3.1068500683466
"ST8SIA4",3.10436094706745
"FANCL",3.10427004756238
"RP1-193H18.2",3.10321417101614
"AP3M2",3.09836525448241
"AC007246.3",3.09732921021207
"RP11-95O2.1",3.09663051951512
"MARCKS",3.0893262199884
"LMO3",3.08869611547467
"ROBO2",3.08066705418241
"COL5A2",3.07749908275219
"RP4-593C16.3",3.07736070463342
"RP11-95O2.5",3.07580547597953
"SPEF2",3.07564671162293
"PCDH17",3.07536331673178
"RAD21",3.070614516925
"HIST2H2BE",3.0697735919143
"ANO5",3.06665564347383
"SERINC5",3.06545844389002
"C1orf145",3.06227185407879
"KCNS2",3.06069803350575
"GCLC",3.04242749070818
"MAP3K5",3.04233008455705
"TFDP2",3.03485706413805
"RP1-90J20.12",3.01998443051258
"KLHL24",3.00778548734482
"GALC",3.00710079292293
"SLC35F1",3.0056124940677
"TNR",3.00277828309706
"GPR155",2.9990571569963
"AP001468.1",2.99372832775967
"OR2L13",2.99193343170322
"SYN2",2.9894245715647
"PELI2",2.98582692819336
"RFX3",2.98530830241058
"SLC39A10",2.97965917010891
"HNRNPA1",2.9793904981635
"NRCAM",2.97465613226847
"CNR1",2.97366015997854
"BNIP3L",2.95461142435532
"GDA",2.95238500358506
"KCNIP4",2.95094745542069
"WSCD2",2.94991475187
"NRXN3",2.94832003074016
"RP13-216E22.5",2.93863089831312
"B4GALT5",2.93300231273259
"CECR2",2.93239681536266
"WNT7A",2.92733739009442
"FBXL4",2.92323936279997
"MAN1C1",2.91283934267058
"CHL1",2.91258574209197
"TMEM132C",2.90868464951972
"SYNM",2.90529771036079
"CAMK2A",2.90177261277956
"MAST4",2.89796899730795
"PPP4R4",2.89618238850163
"PRDM10",2.89095400404579
"CNGB1",2.8847554312291
"LANCL3",2.88316794560428
"TDRKH",2.88179081997284
"CCDC146",2.88058701552721
"RP11-660L16.2",2.88050662498095
"GLRB",2.8780045722355
"VANGL2",2.87126295113759
"PRRG1",2.87078598026638
"CLASP2",2.87004637217222
"TMEM74B",2.86709415049024
"ZDHHC22",2.86583951398548
"AC018696.2",2.8608817662902
"TMEM178A",2.85716313269521
"RP11-389G6.3",2.85609989915781
"DPYSL2",2.8542406192755
"FAM161A",2.85273486163026
"MT-TY",2.85022307467077
"FAM214A",2.84734785275906
"DPY19L1",2.8419347536368
"AC006978.6",2.84013228749529
"RP11-88L24.4",2.83928582729361
"ZBED6",2.83770468695018
"PASK",2.83669529816817
"GRIA1",2.83571180491877
"BDH2",2.83436957146414
"MARCH6",2.83238983017558
"RP11-359E3.4",2.83121626742776
"SLC38A2",2.8287643903193
"ST6GALNAC3",2.82780390179598
"CREBZF",2.82736798619347
"ZNF577",2.82174584493937
"GRIP2",2.82011295249655
"ZNF488",2.81957220232928
"SOWAHC",2.81883224256181
"TENM1",2.81163026044374
"FEZ2",2.81082387953293
"CCDC39",2.80269901693274
"CTC-523E23.1",2.79829400178231
"MAN1A1",2.79441143053807
"KDM4A",2.79325992523466
"APP",2.79134660757097
"RP11-348J24.2",2.79110022588833
"PNPLA3",2.78753342378331
"NXPH3",2.78605031876567
"ERO1LB",2.78599495600942
"APAF1",2.78545410696133
"COL15A1",2.78441440471473
"CACNA1E",2.78237708625694
"RN7SL417P",2.78170830438375
"HCG24",2.78087341767591
"NME5",2.78083390255829
"RP11-166D19.1",2.77446996605779
"AARD",2.77397686077886
"DCX",2.7713259947787
"ARL15",2.77046450363693
"ADAMTSL1",2.76909935339724
"PDZD2",2.76727190731408
"LRRC32",2.75778311082194
"CPSF6",2.75457616536107
"SCN7A",2.75251663688951
"SEZ6L",2.75231001794724
"SEPT10",2.74568240086962
"DCC",2.74442758024251
"NDP",2.74429299891626
"ASIC1",2.74340713934781
"RUSC1-AS1",2.73633388969986
"PARK2",2.7361345366514
"GALNT12",2.7348324748738
"BTBD11",2.72707613262957
"EBF1",2.7231192026208
"GATS",2.72094716006378
"NNAT",2.72075627955609
"TIA1",2.71968215149602
"PKIA",2.71916472328787
"REPS2",2.7182475414753
"PAQR8",2.71572448895805
"HIF3A",2.71151893291978
"TUBB2A",2.70746375268212
"NTM",2.70683325336543
"ABCC5",2.69981439320099
"TIAF1",2.69916026906046
"USP3",2.69590074848906
"RANP4",2.69560891801575
"RP11-359J14.2",2.69511417861828
"TBCK",2.69469970050363
"MYT1L",2.68983971057707
"SATB1",2.68783229787707
"RP1-90J20.11",2.68669263403926
"SLC9A6",2.68536517447298
"RP11-88H12.2",2.68160747912871
"AC004540.4",2.68121794532214
"GRM1",2.68011710840593
"PPP1R12B",2.67890499320662
"ACVR2A",2.67819206917545
"SLC6A15",2.67372738762062
"NPNT",2.66996976954931
"RNU1-122P",2.66931728540685
"CACNB4",2.66905005526376
"COLQ",2.66121197591549
"CTD-2530H12.4",2.66072160591006
"CLSTN1",2.66055063866946
"ZNF462",2.65940038954779
"CLCN4",2.65694546167848
"FNBP1L",2.65399873307531
"RP11-168O16.1",2.6519808963105
"TSPAN5",2.64953505588494
"CADM3",2.646481339015
"RP11-46C24.7",2.64555857006813
"RCBTB1",2.64505185144769
"GIPR",2.64229331205564
"ZNRF2",2.64182910785551
"CTNNA1",2.63670188277501
"RP11-491F9.1",2.6357788702448
"KIAA1239",2.63474840442262
"NDRG2",2.63217153467277
"PHTF2",2.63031485025046
"RP11-368I23.2",2.62448808709883
"ZNF781",2.62251848029539
"IFT27",2.62203530261822
"RP1-283E3.4",2.6210614389546
"SLC18B1",2.62066408957059
"DAB2",2.61673502025183
"NTNG1",2.61601415258992
"CDK14",2.61543573149067
"MEGF10",2.61459053160612
"GPR85",2.61354713770457
"ASTN1",2.61295871094223
"C21orf62",2.61222537707893
"DACT1",2.61105914818174
"GALNTL6",2.61031652740645
"COL4A1",2.60487920320128
"SLC4A10",2.60473199723291
"SYNPR",2.60438968877052
"ARHGAP6",2.60281745729644
"KAL1",2.60265392369983
"CTXN3",2.60112165756158
"PTPRO",2.59978373277995
"ZNF521",2.59881833235485
"PDGFC",2.59815470593908
"DDX17",2.59253725143824
"HHIP",2.59165998867181
"RTN1",2.58996371391396
"TMEM19",2.58969820713955
