contrast,pathway_a,pathway_b,shared_n,jaccard,shared_genes
day1_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,3,0.017857142857142856,GOT2;MDH2;SDHC
day1_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1,0.008695652173913044,GPX4
day1_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_MTORC1_SIGNALING,1,0.0064516129032258064,GPI
day1_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day1_vs_control,HALLMARK_GLYCOLYSIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4,0.043010752688172046,G6PD;PFKP;SOD1;TXN
day1_vs_control,HALLMARK_GLYCOLYSIS,HALLMARK_MTORC1_SIGNALING,10,0.07874015748031496,ALDOA;CXCR4;ENO1;G6PD;HSPA5;ME1;PGK1;PPIA;PSMC4;TPI1
day1_vs_control,HALLMARK_GLYCOLYSIS,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day1_vs_control,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_MTORC1_SIGNALING,2,0.025,G6PD;PRDX1
day1_vs_control,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day1_vs_control,HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,7,0.08333333333333333,CALR;CDKN1A;HSP90B1;MAP2K3;NFKBIB;SLC2A1;SQSTM1
day3_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,4,0.025477707006369428,GOT2;LDHA;MDH2;SDHC
day3_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1,0.008064516129032258,GPX4
day3_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_MTORC1_SIGNALING,2,0.012738853503184714,GPI;LDHA
day3_vs_control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day3_vs_control,HALLMARK_GLYCOLYSIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4,0.058823529411764705,G6PD;PFKP;SOD1;TXN
day3_vs_control,HALLMARK_GLYCOLYSIS,HALLMARK_MTORC1_SIGNALING,9,0.09278350515463918,ALDOA;ENO1;G6PD;GOT1;LDHA;PGK1;PPIA;PSMC4;TPI1
day3_vs_control,HALLMARK_GLYCOLYSIS,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day3_vs_control,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_MTORC1_SIGNALING,1,0.014492753623188406,G6PD
day3_vs_control,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day3_vs_control,HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,6,0.08571428571428572,CALR;MAP2K3;NFKBIB;PIK3R3;SLC2A1;SQSTM1
day3_vs_day1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,1,0.006211180124223602,MDH2
day3_vs_day1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1,0.009433962264150943,GPX4
day3_vs_day1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_MTORC1_SIGNALING,1,0.007142857142857143,HSPA9
day3_vs_day1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day3_vs_day1,HALLMARK_GLYCOLYSIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0,0.0,
day3_vs_day1,HALLMARK_GLYCOLYSIS,HALLMARK_MTORC1_SIGNALING,8,0.07766990291262135,AK4;ALDOA;AURKA;ENO1;HSPA5;ME1;PGK1;PSMC4
day3_vs_day1,HALLMARK_GLYCOLYSIS,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1,0.010526315789473684,CXCR4
day3_vs_day1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_MTORC1_SIGNALING,0,0.0,
day3_vs_day1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0,0.0,
day3_vs_day1,HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,6,0.08695652173913043,CALR;CDKN1A;DDIT3;HSP90B1;NFKBIB;SQSTM1
