"pathway_a","pathway_b","shared","jaccard"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS",8,0.0204081632653061
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",4,0.0163265306122449
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_MTORC1_SIGNALING",7,0.0178117048346056
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0,0
"HALLMARK_GLYCOLYSIS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",6,0.0246913580246914
"HALLMARK_GLYCOLYSIS","HALLMARK_MTORC1_SIGNALING",27,0.0723860589812333
"HALLMARK_GLYCOLYSIS","HALLMARK_PI3K_AKT_MTOR_SIGNALING",3,0.00993377483443709
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_MTORC1_SIGNALING",6,0.0246913580246914
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0,0
"HALLMARK_MTORC1_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",21,0.073943661971831
