pathway,pval,log2err,ES,NES,size,leadingEdge,tier,variant,contrast,rank_kind,fgsea_internal_padj,ranked_genes,rank_ties,family_fdr
HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.51077316022485e-17,1.05746357275086,0.556645418038892,2.47890938672093,182.0,GPX4;TIMM13;CYC1;COX8A;NDUFS6;OGDH;HSD17B10;MRPS12;NDUFB2;CYB5R3;RHOT2;UQCRC1;MDH2;NDUFS8;COX6B1;POLR2F;MRPS15;ATP6V1F;SLC25A11;COX10;SLC25A5;ACO2;MFN2;NDUFV1;ECI1;ACAA1;ECHS1;UQCR10;COX4I1;IDH2;TIMM8B;TIMM50;ECH1;NDUFA3;COX5B;SLC25A6;NDUFA2;COX17;UQCRQ;ETFB;MRPL15;GPI;NDUFA8;UQCR11;BAX;MRPL11;ATP6V0C;TOMM22;NDUFB7;TIMM10;TCIRG1;IDH3B;IDH3G;PHYH;SDHB;SLC25A3;GRPEL1;CYCS;PDHA1;SLC25A4;NDUFA1;ATP6V0B;UQCRFS1;NDUFB6;NDUFS3;NDUFAB1;ATP6V1E1;PHB2;NDUFA9;PMPCA;NDUFS7;GOT2;MRPS11;COX7C;VDAC1;SDHC;COX6C;HTRA2;NDUFS4;NDUFB3;SURF1;COX7B;MRPL34;ALAS1;COX5A;COX6A1;NDUFB8;NDUFA7;SDHA;DLST;ATP6AP1;UQCRC2;UQCRH;POR;FH,primary,primary,day1_vs_control,Wald,9.76400510829231e-16,21098,0,5.63307987016864e-16
HALLMARK_GLYCOLYSIS,0.0001479636867331,0.518848077743792,0.373975544604155,1.66841234041781,184.0,ALDOA;GYS1;SPAG4;ENO1;CLN6;FKBP4;PGLS;TPI1;MDH2;ARTN;TALDO1;GAL3ST1;B4GALT2;PKM;GPC1;SLC25A10;B4GALT7;DPYSL4;MPI;PSMC4;AGRN;B3GALT6;PC;GALE;G6PD;CACNA1H;PGAM1;PYGB;IGFBP3;ME1;PGK1;PFKP;XYLT2;RBCK1;POLR3K;GMPPB;HSPA5;HDLBP;HAX1;QSOX1;LHPP;ENO2;B3GAT1;MED24;TXN;CITED2;IDUA;MIF;ISG20;SDC3;NOL3;B3GAT3;GOT2;ALG1;CHPF2;PLOD1;SLC16A3;CHST1;CXCR4;CHPF;SDHC;PPIA;SOD1;PRPS1;IER3;IL13RA1;PDK3;ELF3;PGM2;GALK1;NSDHL;EFNA3;BIK;CD44;ME2;CLDN9,primary,primary,day1_vs_control,Wald,0.0002765573680163,21098,0,0.000279216573478
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5.56688130301332e-05,0.557332238758646,0.570385540028934,2.00520962473967,42.0,JUNB;GPX4;SBNO2;PRDX2;HMOX2;STK25;TXNRD2;MSRA;G6PD;CDKN2D;ATOX1;PFKP;NQO1;ERCC2;GLRX2;TXN;EGLN2;FTL;LAMTOR5;SOD1;PRDX1,primary,primary,day1_vs_control,Wald,0.0001553102898825,21098,0,0.0001670064390904
HALLMARK_MTORC1_SIGNALING,0.0174848688634835,0.125952931638622,0.308544686405794,1.38063715506516,189.0,CALR;ALDOA;NFKBIB;STIP1;PPP1R15A;ENO1;TOMM40;GAPDH;RRP9;DDX39A;FKBP2;SQSTM1;TPI1;SERPINH1;GBE1;PSMC4;ABCF2;HSPE1;MCM2;G6PD;CDC25A;GPI;PDAP1;PSMB5;CDKN1A;CORO1A;HSPD1;ME1;PGK1;MAP2K3;YKT6;ARPC5L;CYP51A1;HPRT1;CACYBP;HSPA5;NFYC;SDF2L1;HSP90B1;QDPR;PGM1;CYB5B;MCM4;FDXR;SLC2A1;CCNF;TM7SF2;CXCR4;PPIA;RPN1;PFKL;PRDX1;CFP;HMBS;PSMD13;GLA;DHFR;PNO1;PSME3;PNP;TES,primary,primary,day1_vs_control,Wald,0.0227303295225286,21098,0,0.0238430029956593
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0001489155058549,0.518848077743792,0.440692091339322,1.79998953664487,96.0,CALR;HRAS;ARHGDIA;ECSIT;NFKBIB;PPP1CA;SQSTM1;TRAF2;RPTOR;AKT1;PIN1;AP2M1;CFL1;AKT1S1;PFN1;MKNK2;PAK4;TSC2;CDKN1A;DUSP3;ARF1;MAP2K3;RPS6KA1;RALB;HSP90B1;MYD88;MAPKAP1;CDK4;E2F1;SLC2A1,primary,primary,day1_vs_control,Wald,0.0002765573680163,21098,0,0.000279216573478
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.76436971300556e-17,1.07686819261983,0.56248268162936,2.49587211600193,182.0,NDUFS6;SLC25A11;OGDH;HSD17B10;COX6B1;TIMM13;GPX4;GPI;COX4I1;CYC1;UQCRC1;COX8A;ACO2;MFN2;ATP6V1F;ECHS1;UQCR10;NDUFA8;SLC25A6;IDH2;POLR2F;CYB5R3;IDH3G;NDUFA3;MDH2;TIMM10;TOMM22;NDUFV1;ECH1;TIMM8B;SLC25A5;NDUFS8;UQCR11;ACAA1;BAX;ETFB;NDUFB2;TIMM50;MRPL11;GRPEL1;NDUFA2;COX5B;COX10;PHB2;MRPS11;MRPS12;IDH3B;NDUFS3;NDUFB7;GOT2;MRPS15;ATP6V0B;COX7C;ECI1;SLC25A4;SDHC;NDUFB6;UQCRH;NDUFA1;COX17;NDUFB8;ATP6AP1;SDHA;UQCRFS1;RHOT2;ALAS1;UQCRQ;ATP6V1E1;NDUFA9;COX6C;VDAC1;LDHA;COX5A;POR;COX7B;COX7A2;NDUFAB1;FH;NDUFS4;CS;NQO2;PHYH;SURF1;SDHB;MGST3;ATP6V0C;IMMT;HADHA;PMPCA;DLST;PDHA1;MRPL15;MRPL35;ATP6V1H;SLC25A3;UQCRC2;LDHB;FXN;ALDH6A1;COX7A2L;NDUFB4;NDUFS2;IDH1;AFG3L2;COX6A1;ATP6V1G1;HTRA2,primary,primary,day3_vs_control,Wald,2.2936806269072297e-16,21098,0,2.64655456950834e-16
HALLMARK_GLYCOLYSIS,0.004506824620139,0.245188063659135,0.33517428338869,1.48889545722401,184.0,PKM;TPI1;ALDOA;B4GALT2;PGLS;G6PD;ENO1;TALDO1;GYS1;PC;CLN6;PYGB;DPYSL4;MED24;PGAM1;ENO2;MDH2;SLC25A10;SDC3;B4GALT7;B3GAT1;CACNA1H;MPI;EFNA3;CAPN5;FKBP4;B3GALT6;GPC1;ARTN;GALE;GOT2;QSOX1;PFKP;POLR3K;GAL3ST1;AGRN;PPIA;NSDHL;STMN1;HDLBP;RBCK1;PRPS1;SDHC;PGK1;B3GAT3;TXN;SOD1;XYLT2;GOT1;PSMC4;SLC25A13;HAX1;MIF;LDHA,primary,primary,day3_vs_control,Wald,0.0058588720061807,21098,0,0.0067602369302086
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,9.42089397985824e-07,0.659444398037935,0.633917381816176,2.22684774171304,42.0,PRDX2;GPX4;G6PD;HMOX2;SBNO2;ATOX1;FTL;CDKN2D;STK25;ERCC2;MSRA;PDLIM1;EGLN2;TXNRD2;PFKP;NQO1;TXN;SOD1,primary,primary,day3_vs_control,Wald,2.44943243476314e-06,21098,0,4.71044698992912e-06
HALLMARK_MTORC1_SIGNALING,0.136018530433664,0.0419753966117665,0.265207840527051,1.18178898090724,189.0,TPI1;ALDOA;GAPDH;RRP9;GPI;G6PD;CALR;PSMB5;ENO1;SQSTM1;TOMM40;PDAP1;DDX39A;ABCF2;STIP1;NFKBIB;MCM2;FKBP2;CYB5B;CCNF;GBE1;ACLY;PIK3R3;MAP2K3;CYP51A1;NFYC;TM7SF2;CDC25A;SLC2A1;TUBG1;PPIA;PPP1R15A;PGK1;PSME3;CORO1A;YKT6;MCM4;TES;SLA;QDPR;DHCR7;RPA1;FADS2;NMT1;PSMD13;GOT1;PFKL;PSMC4;DHCR24;LDLR;LDHA;TMEM97,primary,primary,day3_vs_control,Wald,0.136018530433664,21098,0,0.156944458192689
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0001037278794474,0.538434096309916,0.440649425954448,1.79210622056256,96.0,HRAS;PPP1CA;ECSIT;AP2M1;CFL1;ARHGDIA;CALR;SQSTM1;AKT1;PFN1;TRAF2;NFKBIB;RPTOR;TSC2;RPS6KA1;PAK4;AKT1S1;PIN1;PIK3R3;MKNK2;MAP2K3;GRB2;RALB;SLC2A1,primary,primary,day3_vs_control,Wald,0.0001926374904024,21098,0,0.0002593196986186
