symbol,gene_id,pathway_membership,primary__day1_vs_control__log2FoldChange,primary__day1_vs_control__lfcSE,primary__day1_vs_control__stat,primary__day1_vs_control__pvalue,primary__day1_vs_control__padj,RIN_ge6__day1_vs_control__log2FoldChange,RIN_ge6__day1_vs_control__lfcSE,RIN_ge6__day1_vs_control__stat,RIN_ge6__day1_vs_control__pvalue,RIN_ge6__day1_vs_control__padj,68_3__batch1__day1_vs_control__log2_normalized_ratio,68_3__batch2__day1_vs_control__log2_normalized_ratio,69_2__batch1__day1_vs_control__log2_normalized_ratio,day1_vs_control__leading_edge_membership,primary__day3_vs_control__log2FoldChange,primary__day3_vs_control__lfcSE,primary__day3_vs_control__stat,primary__day3_vs_control__pvalue,primary__day3_vs_control__padj,RIN_ge6__day3_vs_control__log2FoldChange,RIN_ge6__day3_vs_control__lfcSE,RIN_ge6__day3_vs_control__stat,RIN_ge6__day3_vs_control__pvalue,RIN_ge6__day3_vs_control__padj,68_3__batch1__day3_vs_control__log2_normalized_ratio,68_3__batch2__day3_vs_control__log2_normalized_ratio,69_2__batch1__day3_vs_control__log2_normalized_ratio,day3_vs_control__leading_edge_membership,primary__day3_vs_day1__log2FoldChange,primary__day3_vs_day1__lfcSE,primary__day3_vs_day1__stat,primary__day3_vs_day1__pvalue,primary__day3_vs_day1__padj,RIN_ge6__day3_vs_day1__log2FoldChange,RIN_ge6__day3_vs_day1__lfcSE,RIN_ge6__day3_vs_day1__stat,RIN_ge6__day3_vs_day1__pvalue,RIN_ge6__day3_vs_day1__padj,68_3__batch1__day3_vs_day1__log2_normalized_ratio,68_3__batch2__day3_vs_day1__log2_normalized_ratio,69_2__batch1__day3_vs_day1__log2_normalized_ratio,day3_vs_day1__leading_edge_membership
ABCB6,ENSG00000115657.8,HALLMARK_GLYCOLYSIS,-0.442498253363057,0.205316507255676,-2.15520056948964,0.0311461423790824,0.128760112543895,-0.486380022068234,0.164143411927813,-2.96314068506225,0.0030451735544669,0.0315097933134304,-0.724199137985792,-0.557028992105991,-0.0219945234730989,,-0.241213391699938,0.204169577441116,-1.18143650353347,0.237429363913535,0.744240643100552,-0.234806293485347,0.161143665460552,-1.45712394473755,0.145082169820422,0.447777680242371,-0.490510295710186,-0.401789834074103,0.192286327931519,,0.201284861663119,0.205786688203331,0.978123820449627,0.32801308787748,0.884677195489635,0.251573728582886,0.164722556890038,1.52725730666521,0.126697041237799,0.532621067238554,0.233688842275606,0.155239158031888,0.214280851404618,
ABCB7,ENSG00000131269.11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.0516264378884395,0.198637673733068,-0.259902549794335,0.794938944395958,0.910506168701722,0.0738070580050151,0.146334244234225,0.504373110964226,0.613999209783148,0.816940643043758,0.0173730099144276,0.181388414598125,-0.359651167091991,,-0.164540705487629,0.197856114349542,-0.831617996889113,0.405624600452887,0.856014507508277,-0.165468519362289,0.143572606861667,-1.15250759165862,0.249112551954744,0.590909051811017,-0.18826852966615,-0.133552826282719,-0.169243121736169,,-0.11291426759919,0.199058735801975,-0.567240956013695,0.570550485749965,0.9607171736197,-0.239275577367304,0.146967759426631,-1.62808209297601,0.103507479991227,0.491851092583588,-0.205641539580578,-0.314941240880843,0.190408045355822,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ABCC1,ENSG00000103222.14,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.149724906456105,0.184883993035785,-0.809831635490074,0.418036947788273,0.654176179428401,-0.197073024808171,0.140758643214339,-1.40007761021168,0.161490078969518,0.411399752755515,-0.0992265715206013,-0.306970263224573,-0.0365855573972382,,0.204532917942852,0.184049901379865,1.11129055983959,0.266443301477452,0.773930234687702,0.206031529640806,0.138735552285416,1.485066561864,0.137526192757454,0.434154865586779,0.487165143683969,-0.1023262415431,0.219646559199582,,0.354257824398957,0.184735364656378,1.91765028346307,0.0551553696753267,0.569440355441636,0.403104554448977,0.140568262531667,2.86767828803579,0.0041349575608058,0.0887128724556672,0.58639171520457,0.204644021681473,0.25623211659682,
ABCF2,ENSG00000033050.3,HALLMARK_MTORC1_SIGNALING,0.611459999100809,0.177068858908988,3.45323284324713,0.0005539106622874,0.0075645101033111,0.547962879192496,0.141352137928291,3.87658005901885,0.0001059349636595,0.0029525009502688,0.857445616946736,0.528144933233476,0.460368150361321,HALLMARK_MTORC1_SIGNALING,0.446930229241991,0.176889704169537,2.5266039724598,0.0115171292168499,0.244637084954378,0.445192564110913,0.140471406687731,3.16927533231429,0.0015281955352069,0.0266196321513,0.720339309410862,0.359700073619825,0.270761933927901,HALLMARK_MTORC1_SIGNALING,-0.164529769858817,0.176691394253019,-0.931170250562476,0.351765504014313,0.892762556940651,-0.102770315081582,0.140885495063586,-0.729459871189714,0.46572040602237,0.836404149386604,-0.137106307535873,-0.168444859613651,-0.18960621643342,
ACAA1,ENSG00000060971.13,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.765910605657265,0.217035286290914,3.5289681173348,0.0004171833881391,0.0062192370632109,0.375793871756154,0.151008682130804,2.48855805145455,0.0128262295623693,0.0823447830538269,0.728790132996096,0.322106349887028,1.18577941314806,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.483159720641062,0.216968479749773,2.22686595397766,0.0259562338479756,0.332976452892708,0.474936620140647,0.148990573312559,3.18769576880749,0.0014341134031977,0.0256010421360718,0.64046644912731,0.425452717161425,0.371636498355572,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.282750885016203,0.216471069771744,-1.30618324801715,0.191490248221201,0.797459391182674,0.0991427483844936,0.150202226405603,0.660061776426472,0.509214186512508,0.858600816506018,-0.0883236838687864,0.103346367274398,-0.814142914792486,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACAA2,ENSG00000167315.13,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.278349205311022,0.283665933195932,-0.981257080027168,0.32646598231987,0.568187143230241,-0.254033611215641,0.252723162286237,-1.00518531391246,0.31480762548838,0.590218980254722,0.182775929537501,-0.7221237112925,-0.412709282424188,,-0.349014706140972,0.280469334686582,-1.24439524388999,0.213354132502006,0.71890557898462,-0.346060808115084,0.243403812449528,-1.42175590691227,0.155097123964315,0.464325581706924,-0.298271940806945,-0.546304626187713,-0.213355135269738,,-0.0706655008299503,0.286370238352041,-0.246762726589904,0.805091858422799,0.987471505535176,-0.0920271968994428,0.25587077247803,-0.359662793871249,0.719099318761313,0.933069189049674,-0.481047870344446,0.175819085104787,0.199354147154449,
ACACA,ENSG00000132142.15,HALLMARK_MTORC1_SIGNALING;HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.246876525834222,0.188503311106704,-1.30966678720288,0.190308583925066,0.417959695219149,-0.132788540824984,0.137143283855425,-0.968246764201507,0.332921144887149,0.606181261744082,0.0889767615666059,-0.36071737322902,-0.452080203057339,,0.152374862138733,0.188379564059198,0.808871508434159,0.418589058878369,0.861308094532864,0.153721356652298,0.136855066208354,1.12324198812096,0.261334734376127,0.605985889925385,0.50169377236667,-0.190761463533361,0.154007322780013,,0.399251387972955,0.188485161172383,2.11821124532881,0.0341571812410523,0.474432706482745,0.286509897477282,0.137119662544601,2.08948805853493,0.0366638117811075,0.302234755325354,0.412717010800064,0.169955909695659,0.606087525837351,
ACADM,ENSG00000117054.9,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.275479404264405,0.187468273323492,-1.46947213723488,0.141704773763104,0.347873132666207,-0.138433123266805,0.153191709442841,-0.903659367535532,0.366176050886973,0.636281269957534,-0.349536005672846,-0.0639363845731378,-0.392579977072439,,-0.156519079086911,0.186885611694162,-0.837512731279995,0.402304423731753,0.85534271954735,-0.156930151772443,0.151969154402442,-1.03264476524534,0.301770170900967,0.646276642014038,-0.466706447230163,0.187777309679598,-0.186462539676544,,0.118960325177494,0.187610812189981,0.634080327188344,0.526028400795628,0.948022530812026,-0.0184970285056382,0.153380603425084,-0.120595616998421,0.904011340634152,0.981764247734903,-0.117170441557317,0.251713694252736,0.206117437395894,
ACADSB,ENSG00000196177.8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.20374837884817,0.192125426133036,-1.0604966919219,0.288918694153285,0.531583232278844,-0.0331196134058086,0.131056135209731,-0.252713185481983,0.80048985800684,0.919853867479718,-0.112289237943459,-0.0362003497358483,-0.484377690933366,,-0.174201872634559,0.1917718705563,-0.908380734511412,0.363677100781757,0.835889765036218,-0.180241682643529,0.130056515071877,-1.38587199990648,0.165785992069781,0.481966704532328,-0.411900265741618,-0.082744369789804,-0.0454874315661637,,0.029546506213611,0.192240153236251,0.153695810766964,0.8778495880583,0.994564465593063,-0.147122069237721,0.131244865633141,-1.12097390269697,0.262298971179755,0.695523447160501,-0.299611027798159,-0.0465440200539557,0.438890259367202,
ACADVL,ENSG00000072778.15,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.125053427625166,0.184851033918451,0.676509213793928,0.498717398149624,0.718544566399371,-0.0748717243746062,0.128805549836627,-0.581277161345697,0.561053670563879,0.783091141931136,-0.0109760090191582,-0.135452616044184,0.516831493681483,,0.0336148589423456,0.184777402112855,0.181920833164517,0.855644854804582,0.982964660504841,0.0442125760679047,0.128406084036312,0.344318389581929,0.730606855971372,0.913735111533383,-0.15006598447396,0.0240540489349037,0.242290293690361,,-0.0914385686828205,0.184866059587142,-0.494620639867743,0.620867930030549,0.968439912370746,0.119084300442511,0.128820279834241,0.92442199780766,0.3552666459389,0.770841097854794,-0.139089975454802,0.159506664979087,-0.274541199991122,HALLMARK_OXIDATIVE_PHOSPHORYLATION
