pathway,pval,log2err,ES,NES,size,leadingEdge,tier,variant,contrast,rank_kind,fgsea_internal_padj,ranked_genes,rank_ties,family_fdr,robustness,test_status
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,1.3221857440287299e-11,0.875325132024659,0.531608452308215,2.30216033245925,145.0,ECSIT;SLC25A22;CYC1;COX8A;NDUFS6;NDUFB2;UQCRC1;MDH2;NDUFA13;TACO1;NDUFS8;COX6B1;SLC25A11;NDUFV1;COA3;UQCC2;UQCR10;NDUFAF3;COX4I1;SCO2;NDUFA3;COX5B;NDUFA2;COX17;LETM1;UQCRQ;ETFB;PNKD;NDUFB11;NDUFA8;NDUFB10;UQCR11;NDUFB7;TMEM126A;HIGD2A;SDHB;CYCS;NDUFAF2;NDUFA1;NDUFA12;UQCRFS1;NDUFB6;NDUFS3;NDUFAB1;LYRM4;NDUFA11;BCS1L;NDUFA9;NDUFB9;NDUFAF1;NDUFS7;ACAD9;GOT2;COX7C;SDHC;SLC25A18;COX6C;COX16;NDUFS4;NDUFS5;NDUFB3;TMEM223;SURF1;TRAP1;COX7B;COX5A;COX6A1;NDUFB8;HIGD1A;NDUFA7;TIMM21;PET100;COX19;SDHA;UQCRC2;UQCRH,secondary,primary,day1_vs_control,Wald,8.594207336186779e-11,21098,0,1.38829503123017e-10,robust,tested
REACTOME_AUTOPHAGY,0.000865634943205,0.477270815362862,0.369962029697294,1.60129926330684,144.0,MAP1LC3A;HSPA8;TOMM40;HSF1;LAMTOR1;MLST8;SQSTM1;VPS37B;ATG4D;CHMP6;RPTOR;DYNLL1;VPS28;LAMTOR2;MFN2;HSP90AB1;VPS37C;MVB12B;CHMP2A;LAMTOR4;AMBRA1;TSC2;TUBB3;PGAM5;VPS37D;PARK7;PINK1;TOMM22;HSP90AA1;UBAP1;VIM;UBA52;UBB;UBE2L3;TUBA8;UBC;MTMR14;RHEB;GABARAP;DYNLL2;VDAC1;LAMTOR5;WDR45B;SRC,secondary,primary,day1_vs_control,Wald,0.0012503615846294,21098,0,0.002596904829615,robust,tested
REACTOME_MITOPHAGY,0.0226035307704999,0.122637391177921,0.456788311816459,1.5433682298309,35.0,MAP1LC3A;TOMM40;SQSTM1;MFN2;PGAM5;PINK1;TOMM22;UBA52;UBB;UBE2L3;UBC;VDAC1;SRC,secondary,primary,day1_vs_control,Wald,0.0267132636378635,21098,0,0.043152195107318,robust,tested
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.233479105928086,0.0442587547733942,-0.347761958139385,-1.16415143377563,25.0,HERPUD1;ASNS;EXOSC8;CCL2;CEBPB;DCP2;CEBPG;NFYB;DDIT3;EXOSC3;ATF6,secondary,primary,day1_vs_control,Wald,0.252935698088759,21098,0,0.350218658892128,unsupported,tested
REACTOME_SIGNALING_BY_NTRK2_TRKB,0.749616499062553,0.0162843739747895,0.259221891145435,0.804203037121072,24.0,HRAS;FRS3;BDNF;CDK5;SRC;GRB2;CDK5R1,secondary,primary,day1_vs_control,Wald,0.749616499062553,21098,0,0.925996851783154,unsupported,tested
HALLMARK_FATTY_ACID_METABOLISM,5.97347268779122e-05,0.557332238758646,0.408723205204765,1.76046581132657,139.0,ODC1;ALDOA;MGLL;NTHL1;HSD17B10;TP53INP2;GPD1;S100A10;MDH2;GCDH;ACO2;NCAPH2;ECI1;ACAA1;ECHS1;GSTZ1;GRHPR;PCBD1;ECH1;ADSL;BLVRA;ME1;IDH3B;ACOT8;HSP90AA1;CBR1;ACADS;CRAT;IDH3G;YWHAH;UBE2L6;GAD2;PDHA1;UROD;SMS;UROS;LGALS1;ENO2;G0S2;MIF;HMGCL;APEX1;RAP1GDS1;D2HGDH;REEP6;PTS;FASN;HSPH1;SDHC;ERP29;CEL;ACOT2;CYP4A11;CPT2;SDHA;NSDHL;DLST;ACAT2;ALDH3A2;EPHX1;FH;ECI2;MLYCD,secondary,primary,day1_vs_control,Wald,0.0001553102898825,21098,0,0.000313607316109,robust,tested
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,,,,,,,secondary,primary,day1_vs_control,Wald,,21098,0,1.0,unsupported,untestable under frozen minSize=15
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,2.15737467276994e-14,0.97599468306432,0.567387721760187,2.44941366703407,145.0,ECSIT;NDUFS6;SLC25A11;COX6B1;COX4I1;CYC1;COA3;UQCRC1;COX8A;NDUFB11;UQCR10;NDUFA8;PNKD;SLC25A22;LETM1;NDUFA3;UQCC2;MDH2;NDUFB10;NDUFV1;SCO2;NDUFS8;UQCR11;NDUFA13;ETFB;NDUFB2;NDUFA2;TACO1;COX5B;COX16;NDUFS3;NDUFB7;GOT2;HIGD2A;TMEM126A;COX7C;NDUFB9;SDHC;NDUFB6;UQCRH;LYRM4;NDUFA1;NDUFS5;COX17;PET100;NDUFB8;BCS1L;SDHA;UQCRFS1;UQCRQ;NDUFA9;COX6C;GOT1;SLC25A13;TRAP1;TMEM186;NDUFAF3;ACAD9;COX5A;NDUFA12;NDUFAF4;COX7B;COX7A2;NDUFAB1;NDUFS4;NDUFA11;COX14;SURF1;SDHB;NDUFAF1;SLC25A18;NDUFV3;SMIM20;UQCRC2;NDUFAF2;FXN;COX7A2L;NDUFB4;NDUFS2,secondary,primary,day3_vs_control,Wald,1.40229353730046e-13,21098,0,4.53048681281688e-13,robust,tested
REACTOME_AUTOPHAGY,2.59502967153815e-07,0.674962860011025,0.465514488877948,2.00648820477847,144.0,TUBA1B;MAP1LC3A;AMBRA1;PINK1;TUBB4B;UBB;SQSTM1;UBC;MFN2;UBA52;LAMTOR1;LAMTOR2;CHMP6;TOMM40;MVB12B;CHMP2A;TUBB4A;PARK7;RPTOR;VPS28;DYNLL1;TSC2;TUBB3;TOMM22;SRC;HSF1;TUBB2A;TUBA1A;VCP;UBE2L3;MLST8;TUBB2B;LAMTOR4;GABARAP;ATG4D;VPS37D;TUBA1C;PGAM5;VPS37B;ATG9A;RRAGA;EEF1A1;DYNC1H1;PEX5;DYNLL2;CHMP4B;MTMR14;VPS37C;TOMM7;UBAP1;ULK1;WIPI2;TUBA8;VDAC1;HSPA8,secondary,primary,day3_vs_control,Wald,8.43384643249899e-07,21098,0,1.81652077007671e-06,robust,tested
REACTOME_MITOPHAGY,0.0007696476409313,0.477270815362862,0.558581506157122,1.88529424942123,35.0,MAP1LC3A;PINK1;UBB;SQSTM1;UBC;MFN2;UBA52;TOMM40;TOMM22;SRC;UBE2L3;PGAM5;ATG9A;TOMM7;ULK1;VDAC1,secondary,primary,day3_vs_control,Wald,0.0012506774165133,21098,0,0.002596904829615,robust,tested
